ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2012,n/a,n/a,426821,53107169,803.6975196,801.2881891,806.1123029,n/a
A,E12000001,North East,N/A,2012,n/a,n/a,21507,2596441,828.3261588,817.2923745,839.471672,Significantly worse than England average
B,E12000002,North West,N/A,2012,n/a,n/a,56777,7055961,804.667146,798.0617958,811.3135737,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,2012,n/a,n/a,36411,5288212,688.5313978,681.4771075,695.6405163,Significantly better than England average
E,E12000004,East Midlands,N/A,2012,n/a,n/a,31784,4537448,700.4818568,692.801864,708.2257576,Significantly better than England average
F,E12000005,West Midlands,N/A,2012,n/a,n/a,40264,5608667,717.8889387,710.8937593,724.9358092,Significantly better than England average
G,E12000006,East of England,N/A,2012,n/a,n/a,37383,5862418,637.6720323,631.2240976,644.1694237,Significantly better than England average
H,E12000007,London,N/A,2012,n/a,n/a,109672,8204407,1336.744996,1328.845229,1344.680076,Significantly worse than England average
J,E12000008,South East,N/A,2012,n/a,n/a,57234,8652784,661.4518518,656.043804,666.8933963,Significantly better than England average
K,E12000009,South West,N/A,2012,n/a,n/a,35789,5300831,675.1582912,668.1813166,682.1899644,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2012,n/a,n/a,2581,506550,509.5252196,490.0556868,529.5699203,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2012,n/a,n/a,3677,622312,590.8611757,571.9158364,610.274192,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2012,n/a,n/a,2310,499817,462.1691539,443.5122611,481.4091808,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2012,n/a,n/a,4261,770688,552.8826192,536.4051681,569.7375601,Significantly better than England average
18,E10000008,Devon CC,N/A,2012,,n/a,,747709,,,,No significance can be calculated
19,E10000009,Dorset CC,N/A,2012,n/a,n/a,2714,413813,655.8517978,631.4068699,681.0006761,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2012,n/a,n/a,3079,527209,584.0188616,563.5704275,605.0196188,Significantly better than England average
22,E10000012,Essex CC,N/A,2012,n/a,n/a,8145,1396599,583.2024797,570.6049342,596.0080405,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2012,n/a,n/a,3245,598289,542.3800204,523.8773763,561.3692927,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2012,n/a,n/a,7714,1322118,583.4577549,570.5093268,596.6259392,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2012,n/a,n/a,7984,1119824,712.9691809,697.414931,728.7828685,Significantly better than England average
29,E10000016,Kent CC,N/A,2012,n/a,n/a,8302,1466466,566.1229105,554.009853,578.4340656,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2012,n/a,n/a,8760,1171558,747.7222639,732.1452491,763.5472179,Significantly better than England average
31,E10000018,Leicestershire CC,N/A,2012,n/a,n/a,3833,651179,588.6246332,570.1359966,607.5601636,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2012,n/a,n/a,3662,714768,512.334072,495.8732832,529.2020478,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2012,n/a,n/a,5539,859426,644.4999337,627.637514,661.700653,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2012,n/a,n/a,4724,693967,680.7240114,661.4490917,700.418046,Significantly better than England average
36,E10000023,North Yorkshire CC,N/A,2012,n/a,n/a,2003,601206,333.1636743,318.7314552,348.0809345,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2012,n/a,n/a,5455,786796,693.3182172,675.0403269,711.9656487,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2012,n/a,n/a,4844,654791,739.778036,719.0902352,760.9100003,Significantly better than England average
40,E10000027,Somerset CC,N/A,2012,n/a,n/a,2668,531581,501.8990521,483.0332051,521.3129243,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2012,n/a,n/a,4678,849546,550.6470515,534.9793782,566.6570945,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2012,n/a,n/a,4137,730133,566.6090972,549.4732646,584.1434177,Significantly better than England average
43,E10000030,Surrey CC,N/A,2012,n/a,n/a,6195,1135367,545.6385468,532.1348647,559.398245,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2012,n/a,n/a,3346,546554,612.1993435,591.6298224,633.3015081,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2012,n/a,n/a,4657,808919,575.7065911,559.2892665,592.4834846,Significantly better than England average
