ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,5159799,,40.5611476,40.53416827,40.58813264,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,322578,,40.6130495,40.50556715,40.72062184,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,823415,,42.86637269,42.79639842,42.9363755,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,572909,,41.60025722,41.51800297,41.68255828,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,427052,,39.79293842,39.70089999,39.88504908,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,561852,,41.3739792,41.29115334,41.45685389,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,499405,,37.93573355,37.85299537,38.01854194,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,696216,,40.86353102,40.78933522,40.93776846,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,767875,,40.88491952,40.81436276,40.95551386,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,488497,,37.63614962,37.55305379,37.71931827,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,36416,,36.23086251,35.93320931,36.52957547,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,49878,,36.32100625,36.06841757,36.57435187,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,49636,,37.53958736,37.28146843,37.79841636,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,76883,,40.02199105,39.80487892,40.23949577,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,66912,,34.95574001,34.74337847,35.16870003,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,42114,,35.24187008,34.97144172,35.51324758,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,49680,,37.65729551,37.39571934,37.91959312,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,118318,,38.59440131,38.42288876,38.76619749,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,49079,,36.24205825,35.98775176,36.49713718,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,121361,,40.91911744,40.74192676,41.0965443,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,88752,,38.31134491,38.11286016,38.51022012,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,138413,,42.19707438,42.02789923,42.36643285,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,131691,,39.14762673,38.98302113,39.31247956,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,51432,,38.26659975,38.00932873,38.52452995,n/a
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,72008,,37.48172692,37.26697544,37.69697227,n/a
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,82151,,35.97245897,35.77638064,36.16900672,n/a
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,62931,,37.93039783,37.69787128,38.16348007,n/a
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,54385,,36.09223251,35.85096956,36.33419945,n/a
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,75029,,40.06681268,39.84689487,40.28713133,n/a
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,52750,,40.09755248,39.83365487,40.36202558,n/a
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,53504,,39.83243089,39.5717614,40.0936782,n/a
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,83452,,38.11829609,37.91599156,38.32101377,n/a
42,E10000029,Suffolk CC,N/A,2011/12,n/a,n/a,63463,,37.61212662,37.38169048,37.8431248,n/a
43,E10000030,Surrey CC,N/A,2011/12,n/a,n/a,92757,,38.38563098,38.19102014,38.5806145,n/a
44,E10000031,Warwickshire CC,N/A,2011/12,n/a,n/a,46895,,39.87327955,39.59531258,40.15190079,n/a
45,E10000032,West Sussex CC,N/A,2011/12,n/a,n/a,79463,,41.69074362,41.46899476,41.91282913,n/a
47,E10000034,Worcestershire CC,N/A,2011/12,n/a,n/a,49351,,38.93386213,38.66695663,39.20143244,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2011/12,n/a,n/a,19365,,46.34811156,45.862391,46.83452606,n/a
00AC,E09000003,Barnet LB,ONS2.4,2011/12,n/a,n/a,31664,,39.48288498,39.14325467,39.82353376,n/a
00AD,E09000004,Bexley LB,ONS5.8,2011/12,n/a,n/a,19972,,37.09643972,36.68938073,37.5053395,n/a
00AE,E09000005,Brent LB,ONS4.6,2011/12,n/a,n/a,25893,,40.78135173,40.39839684,41.16542953,n/a
00AF,E09000006,Bromley LB,ONS1.3,2011/12,n/a,n/a,25160,,33.13808508,32.80485861,33.47301025,n/a
00AG,E09000007,Camden LB,ONS3.5,2011/12,n/a,n/a,16341,,39.10930343,38.64260268,39.57800493,n/a
00AH,E09000008,Croydon LB,ONS2.4,2011/12,n/a,n/a,33690,,40.89858305,40.56197116,41.23605039,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2011/12,n/a,n/a,33135,,43.70883018,43.35457469,44.06372862,n/a
00AK,E09000010,Enfield LB,ONS2.4,2011/12,n/a,n/a,24977,,35.42344696,35.07090862,35.77757637,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2011/12,n/a,n/a,19691,,37.21784377,36.80652344,37.63102347,n/a
00AM,E09000012,Hackney LB,ONS4.6,2011/12,n/a,n/a,21344,,45.06517902,44.61297613,45.5181986,n/a
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2011/12,n/a,n/a,15888,,44.27847824,43.76442949,44.79375548,n/a
00AP,E09000014,Haringey LB,ONS4.6,2011/12,n/a,n/a,18967,,38.37321678,37.94583553,38.80240167,n/a
00AQ,E09000015,Harrow LB,ONS2.4,2011/12,n/a,n/a,19485,,37.5016437,37.08264042,37.92252779,n/a
00AR,E09000016,Havering LB,ONS5.8,2011/12,n/a,n/a,22303,,39.55872654,39.15383652,39.96505345,n/a
