ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,10623521,53107169,20.00393017,,,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,406994,2596441,15.67507215,,,n/a
B,E12000002,North West,N/A,2010,n/a,n/a,1173274,7055961,16.62812479,,,n/a
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,958691,5288212,18.12883069,,,n/a
E,E12000004,East Midlands,N/A,2010,n/a,n/a,904480,4537448,19.93367197,,,n/a
F,E12000005,West Midlands,N/A,2010,n/a,n/a,1134678,5608667,20.23079637,,,n/a
G,E12000006,East of England,N/A,2010,n/a,n/a,1271406,5862418,21.68739929,,,n/a
H,E12000007,London,N/A,2010,n/a,n/a,1622200,8204407,19.77230042,,,n/a
J,E12000008,South East,N/A,2010,n/a,n/a,1740003,8652784,20.10916949,,,n/a
K,E12000009,South West,N/A,2010,n/a,n/a,1411795,5300831,26.63346558,,,n/a
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,74164,506550,14.64100286,,,n/a
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,121756,622312,19.56510561,,,n/a
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,136388,499817,27.28758726,,,n/a
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,181204,770688,23.51197891,,,n/a
18,E10000008,Devon CC,N/A,2010,n/a,n/a,273173,747709,36.5346679,,,n/a
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,133991,413813,32.37960141,,,n/a
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,124781,527209,23.66822266,,,n/a
22,E10000012,Essex CC,N/A,2010,n/a,n/a,270855,1396599,19.39389904,,,n/a
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,138042,598289,23.07279592,,,n/a
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,200729,1322118,15.1823816,,,n/a
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,234589,1119824,20.94873837,,,n/a
29,E10000016,Kent CC,N/A,2010,n/a,n/a,358638,1466466,24.45593693,,,n/a
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,203416,1171558,17.3628621,,,n/a
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,106994,651179,16.43081242,,,n/a
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,187139,714768,26.18178206,,,n/a
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,267524,859426,31.12821814,,,n/a
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,111190,693967,16.0223757,,,n/a
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,126732,601206,21.07962994,,,n/a
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,169913,786796,21.59555971,,,n/a
38,E10000025,Oxfordshire CC,N/A,2010,n/a,n/a,122742,654791,18.74521794,,,n/a
40,E10000027,Somerset CC,N/A,2010,n/a,n/a,165076,531581,31.05378108,,,n/a
41,E10000028,Staffordshire CC,N/A,2010,n/a,n/a,182237,849546,21.45110447,,,n/a
42,E10000029,Suffolk CC,N/A,2010,n/a,n/a,168617,730133,23.09401164,,,n/a
43,E10000030,Surrey CC,N/A,2010,n/a,n/a,146909,1135367,12.93934032,,,n/a
44,E10000031,Warwickshire CC,N/A,2010,n/a,n/a,115171,546554,21.07220878,,,n/a
45,E10000032,West Sussex CC,N/A,2010,n/a,n/a,231655,808919,28.63760154,,,n/a
47,E10000034,Worcestershire CC,N/A,2010,n/a,n/a,131102,566557,23.14012535,,,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2010,n/a,n/a,13916,187029,7.440557347,,,n/a
00AC,E09000003,Barnet LB,ONS2.4,2010,n/a,n/a,118124,357538,33.03816657,,,n/a
00AD,E09000004,Bexley LB,ONS5.8,2010,n/a,n/a,40780,232774,17.51913874,,,n/a
00AE,E09000005,Brent LB,ONS4.6,2010,n/a,n/a,54005,312245,17.2957133,,,n/a
00AF,E09000006,Bromley LB,ONS1.3,2010,n/a,n/a,43157,310554,13.89677802,,,n/a
00AG,E09000007,Camden LB,ONS3.5,2010,n/a,n/a,45523,220087,20.68409311,,,n/a
00AH,E09000008,Croydon LB,ONS2.4,2010,n/a,n/a,93612,364815,25.66012911,,,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2010,n/a,n/a,105557,339314,31.10894334,,,n/a
00AK,E09000010,Enfield LB,ONS2.4,2010,n/a,n/a,61909,313935,19.72032427,,,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2010,n/a,n/a,42470,255483,16.62341526,,,n/a
00AM,E09000012,Hackney LB,ONS4.6,2010,n/a,n/a,0,247182,0,,,n/a
