ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,140860,,44.38985693,44.21476222,44.5650911,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,795,,45.0491166,42.63251627,47.48930432,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,8639,,44.71937338,43.99648715,45.44449901,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,5876,,46.40193912,45.51430712,47.29185671,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,5489,,45.06472772,44.17198408,45.96066037,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,15267,,46.35728359,45.81111027,46.90433227,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,6798,,43.48154288,42.70015834,44.2661799,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,86882,,43.72691067,43.50682881,43.94723978,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,7850,,47.14222734,46.36236764,47.92348453,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,3264,,44.06213034,42.91484803,45.21578996,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,541,,44.33624505,41.55051241,47.15805803,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,322,,42.37655009,38.91839774,45.91102012,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,27,,33.20371374,23.89664117,44.03807321,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,128,,40.21959484,35.09443242,45.567756,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,60,,42.64570811,34.65616568,51.03848457,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,48,,37.07877788,29.2353915,45.6684238,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,202,,46.97903249,42.29980933,51.71197483,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,916,,42.55393663,40.47872842,44.6557157,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,400,,41.00394507,37.92089747,44.15934765,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,536,,44.78576453,41.88389652,47.72358533,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,1930,,41.4944267,40.07021824,42.93299169,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,888,,49.81472709,47.42070561,52.20959838,n/a
