ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,185811,145722843,61937,48574281,108.1403673,107.6453825,108.6370511,n/a
A,E12000001,North East,N/A,2009 - 11,11394,7132468,3798,2377489,125.4508706,123.1353777,127.7986446,Significantly worse than England average
B,E12000002,North West,N/A,2009 - 11,28423,19445212,9474,6481737,120.1105871,118.705345,121.528198,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,20180,14543842,6727,4847947,115.1205249,113.5232002,116.7345506,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,16734,12451100,5578,4150367,107.8521149,106.2092845,109.5138187,Not significantly different from England average
F,E12000005,West Midlands,N/A,2009 - 11,20505,15394090,6835,5131363,110.3391532,108.8181549,111.8759271,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,19968,15959682,6656,5319894,100.6751491,99.26909262,102.0959851,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,20313,22920250,6771,7640083,103.2636444,101.8409938,104.7011208,Significantly better than England average
J,E12000008,South East,N/A,2009 - 11,28881,23586403,9627,7862134,100.9429467,99.77217518,102.1239409,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,19413,14289796,6471,4763265,101.1755813,99.73373124,102.6328034,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,1571,1391908,524,463969,92.51322697,87.96332646,97.23620218,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,1910,1704014,637,568005,94.46359798,90.2469019,98.82548315,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,2189,1359499,730,453166,109.9116625,105.2557707,114.7171152,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,3035,2109391,1012,703130,105.7714869,101.9946992,109.6510356,Not significantly different from England average
18,E10000008,Devon CC,N/A,2009 - 11,2977,1987949,992,662650,98.65311939,95.04413384,102.3612665,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,1578,1081347,526,360449,89.63904813,85.09035807,94.36037466,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,2145,1388385,715,462795,103.6546644,99.20315265,108.250657,Not significantly different from England average
22,E10000012,Essex CC,N/A,2009 - 11,5117,3802719,1706,1267573,103.2541856,100.408035,106.159771,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,2127,1624249,709,541416,99.76754403,95.52031773,104.1532132,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,4479,3592048,1493,1197349,95.90122522,93.07839551,98.78711146,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,3354,3068009,1118,1022670,97.72501837,94.43139665,101.1038245,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,5288,3983013,1763,1327671,104.7587247,101.9178336,107.6579629,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2009 - 11,4809,3212310,1603,1070770,115.6787212,112.3856224,119.0427822,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,2301,1780803,767,593601,99.44272367,95.37965711,103.6330366,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,3035,1932038,1012,644013,107.3871132,103.5110167,111.3686726,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2009 - 11,3337,2293957,1112,764652,99.65416713,96.20654848,103.1911832,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,2479,1922726,826,640909,110.0029653,105.692271,114.4436422,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,2358,1624965,786,541655,100.1790392,96.09259602,104.3918781,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,3161,2156517,1054,718839,109.9939224,106.1520826,113.9381577,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,2075,1800579,692,600193,100.7275358,96.41111119,105.1864428,Significantly better than England average
40,E10000027,Somerset CC,N/A,2009 - 11,1990,1425104,663,475035,96.99210035,92.68764258,101.4417037,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2009 - 11,3303,2331937,1101,777312,105.0285416,101.4214255,108.7296779,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2009 - 11,2634,1965526,878,655175,97.54806547,93.7842471,101.421932,Significantly better than England average
43,E10000030,Surrey CC,N/A,2009 - 11,3417,3088331,1139,1029444,91.42639864,88.3649323,94.5663014,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2009 - 11,1960,1498276,653,499425,100.8123341,96.34305025,105.4334919,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2009 - 11,2922,2155277,974,718426,99.68194445,96.03651884,103.4284854,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2009 - 11,2125,1543408,708,514469,100.0434919,95.76853804,104.4578592,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2009 - 11,545,516822,182,172274,135.9362087,124.6862738,147.9233519,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2009 - 11,921,984099,307,328033,97.62453259,91.39967431,104.1606259,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2009 - 11,753,636617,251,212206,104.0309031,96.67648297,111.7931659,Not significantly different from England average
00AE,E09000005,Brent LB,ONS4.6,2009 - 11,728,871545,243,290515,98.19121835,91.14394606,105.636158,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2009 - 11,938,847229,313,282410,94.15316923,88.18165925,100.4204558,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2009 - 11,524,615282,175,205094,102.3615078,93.72676496,111.5737182,Not significantly different from England average
00AH,E09000008,Croydon LB,ONS2.4,2009 - 11,952,1012354,317,337451,98.62755332,92.44333973,105.1157579,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2009 - 11,789,953626,263,317875,96.25514662,89.62329124,103.2460366,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2009 - 11,784,868707,261,289569,95.99096334,89.36294032,102.9789896,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2009 - 11,641,710889,214,236963,110.6066589,102.1542972,119.5683376,Not significantly different from England average
00AM,E09000012,Hackney LB,ONS4.6,2009 - 11,494,702391,165,234130,111.0478815,101.2997963,121.4681219,Not significantly different from England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2009 - 11,454,521222,151,173741,116.9237441,106.3013956,128.3113439,Not significantly different from England average
00AP,E09000014,Haringey LB,ONS4.6,2009 - 11,619,729169,206,243056,111.934902,103.1753472,121.2318917,Not significantly different from England average
00AQ,E09000015,Harrow LB,ONS2.4,2009 - 11,575,663629,192,221210,84.02106105,77.26962319,91.20282113,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2009 - 11,830,643969,277,214656,104.9789209,97.89561821,112.4358322,Not significantly different from England average
00AS,E09000017,Hillingdon LB,ONS1.3,2009 - 11,714,759830,238,253277,97.93289941,90.85184528,105.4175461,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2009 - 11,636,711344,212,237115,104.8734084,96.85065644,113.3815491,Not significantly different from England average
00AU,E09000019,Islington LB,ONS3.5,2009 - 11,517,578890,172,192963,124.0247976,113.4574295,135.3038238,Significantly worse than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2009 - 11,397,455322,132,151774,89.85430407,81.17498697,99.20408157,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2009 - 11,401,446104,134,148701,95.09621518,85.98687431,104.905571,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2009 - 11,699,864517,233,288172,122.7011085,113.6228042,132.3025359,Significantly worse than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2009 - 11,750,782676,250,260892,124.2246549,115.3817958,133.5589082,Significantly worse than England average
00BA,E09000024,Merton LB,ONS2.4,2009 - 11,443,564009,148,188003,89.18956887,81.02433874,97.95057947,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2009 - 11,542,868917,181,289639,102.6495698,94.01695147,111.8495026,Not significantly different from England average
00BC,E09000026,Redbridge LB,ONS2.4,2009 - 11,696,777496,232,259165,98.97417148,91.74159564,106.6244386,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2009 - 11,481,521693,160,173898,90.59449442,82.64618333,99.09849628,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2009 - 11,656,821974,219,273991,117.29436,108.3249464,126.7978312,Significantly worse than England average
00BF,E09000029,Sutton LB,ONS1.3,2009 - 11,569,528558,190,176186,102.8649146,94.5516377,111.710945,Not significantly different from England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2009 - 11,479,722665,160,240888,128.4789411,116.9849705,140.7782298,Significantly worse than England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2009 - 11,634,726032,211,242011,109.4272647,101.0075203,118.3572456,Not significantly different from England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2009 - 11,624,872044,208,290681,101.396492,93.48719644,109.7890428,Not significantly different from England average
00BK,E09000033,City of Westminster LB,ONS3.5,2009 - 11,511,619778,170,206593,95.05719634,86.92957894,103.7354885,Significantly better than England average
00BL,E08000001,Bolton MCD,ONS1.2,2009 - 11,985,769008,328,256336,110.5442236,103.6939738,117.7253656,Not significantly different from England average
00BM,E08000002,Bury MCD,ONS5.7,2009 - 11,701,514609,234,171536,113.4935861,105.1741463,122.291715,Not significantly different from England average
00BN,E08000003,Manchester MCD,ONS1.2,2009 - 11,1589,1410019,530,470006,153.1723148,145.689984,160.9376176,Significantly worse than England average
00BP,E08000004,Oldham MCD,ONS1.2,2009 - 11,932,628007,311,209336,132.7917954,124.3500097,141.6530939,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2009 - 11,837,590691,279,196897,127.5429635,119.0160603,136.5176795,Significantly worse than England average
00BR,E08000006,Salford MCD,ONS1.1,2009 - 11,921,648218,307,216073,134.7039169,126.0827825,143.7560971,Significantly worse than England average
