ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,330091,559093,59.04044586,58.91148252,59.16928498,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,16698,28554,58.47867199,57.90602569,59.04903727,Not significantly different from England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,46353,78707,58.89310989,58.54894327,59.23640846,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,33534,58520,57.30348599,56.90226103,57.70375215,Significantly worse than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,28310,49131,57.62146099,57.18392812,58.05780215,Significantly worse than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,37249,63309,58.83681625,58.45294226,59.21961791,Not significantly different from England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,37001,63546,58.22711107,57.84317051,58.61005701,Significantly worse than England average
H,E12000007,London,N/A,2011/12,n/a,n/a,46293,74338,62.27366892,61.92461182,62.62145758,Significantly better than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,53015,87975,60.26143791,59.93763067,60.58434905,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,31638,55013,57.51004308,57.09645636,57.92258105,Significantly worse than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,3831,5513,69.49029566,68.26162711,70.69182145,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,3380,5876,57.52212389,56.25373225,58.78068672,Significantly worse than England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,3222,5748,56.05427975,54.76758243,57.33289018,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,4741,8290,57.1893848,56.12116232,58.25094746,Significantly worse than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,4507,7699,58.54007014,57.4356235,59.6359988,Not significantly different from England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,2328,4302,54.11436541,52.62231058,55.59907898,Significantly worse than England average
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,2938,5053,58.14367702,56.77778561,59.49719565,Not significantly different from England average
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,9168,15553,58.94682698,58.17159417,59.7176413,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,4182,6716,62.26920786,61.1032535,63.42113462,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,8085,13833,58.4471915,57.62371355,59.26597913,Not significantly different from England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,8316,12634,65.82238404,64.99062951,66.64451968,Significantly better than England average
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,9940,16265,61.11281894,60.36109143,61.85929845,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,7995,13311,60.0631057,59.22829733,60.89210747,Significantly better than England average
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,4090,7187,56.90830666,55.76003891,58.04919337,Significantly worse than England average
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,5079,8177,62.11324447,61.05634214,63.15877082,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,4793,8616,55.62906221,54.57773624,56.67537096,Significantly worse than England average
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,4297,7645,56.20667103,55.09169445,57.31541329,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,4488,6846,65.55652936,64.42246885,66.67314136,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,5432,8988,60.43613707,59.42097062,61.44238655,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,3477,6006,57.89210789,56.63878459,59.135342,Not significantly different from England average
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,3010,5326,56.51520841,55.17961387,57.84141134,Significantly worse than England average
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,5604,9552,58.66834171,57.67753313,59.65218092,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2011/12,n/a,n/a,3818,7558,50.51600953,49.38885825,51.64263653,Significantly worse than England average
43,E10000030,Surrey CC,N/A,2011/12,n/a,n/a,6987,10783,64.79643884,63.88985315,65.69248578,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2011/12,n/a,n/a,3711,5893,62.97301884,61.73207316,64.19706213,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2011/12,n/a,n/a,4753,8269,57.47974362,56.41095456,58.5415863,Significantly worse than England average
47,E10000034,Worcestershire CC,N/A,2011/12,n/a,n/a,3672,6076,60.43449638,59.19874181,61.65706518,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2011/12,n/a,n/a,1232,2101,58.63874346,56.5190061,60.72694839,Not significantly different from England average
00AC,E09000003,Barnet LB,ONS2.4,2011/12,n/a,n/a,2305,3330,69.21921922,67.63006224,70.76408505,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2011/12,n/a,n/a,2132,3285,64.90106545,63.2523967,66.51492448,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2011/12,n/a,n/a,1685,2870,58.71080139,56.89903127,60.49928409,Not significantly different from England average
00AF,E09000006,Bromley LB,ONS1.3,2011/12,n/a,n/a,2295,3332,68.87755102,67.28449924,70.42712512,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2011/12,n/a,n/a,884,1499,58.97264843,56.46273466,61.43669169,Not significantly different from England average
00AH,E09000008,Croydon LB,ONS2.4,2011/12,n/a,n/a,2263,3637,62.22161122,60.63381209,63.78362025,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2011/12,n/a,n/a,1649,2857,57.71788589,55.89725873,59.51778633,Not significantly different from England average
00AK,E09000010,Enfield LB,ONS2.4,2011/12,n/a,n/a,2060,3712,55.49568966,53.89209598,57.08792038,Significantly worse than England average
00AL,E09000011,Greenwich LB,ONS2.4,2011/12,n/a,n/a,1383,2193,63.06429549,61.02312393,65.05977785,Significantly better than England average
00AM,E09000012,Hackney LB,ONS4.6,2011/12,n/a,n/a,954,1585,60.18927445,57.75756113,62.57171705,Not significantly different from England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2011/12,n/a,n/a,718,1095,65.57077626,62.70650683,68.32617739,Significantly better than England average
00AP,E09000014,Haringey LB,ONS4.6,2011/12,n/a,n/a,1258,2147,58.59338612,56.49635388,60.65972234,Not significantly different from England average
00AQ,E09000015,Harrow LB,ONS2.4,2011/12,n/a,n/a,1344,2113,63.60624704,61.53181577,65.63129546,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2011/12,n/a,n/a,1856,3019,61.47731037,59.72783671,63.19761305,Significantly better than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2011/12,n/a,n/a,1797,2947,60.97726502,59.20289509,62.72305414,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2011/12,n/a,n/a,1546,2500,61.84,59.91898986,63.72467967,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2011/12,n/a,n/a,783,1460,53.63013699,51.06598984,56.17523149,Significantly worse than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2011/12,n/a,n/a,481,594,80.97643098,77.62494361,83.92983727,Significantly better than England average
