ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,55059,8729667,457.1586301,453.1016484,461.2412335,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,3005,452557,499.6075265,480.8717742,518.8556277,Significantly worse than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,7442,1179299,472.4440189,461.1302661,483.9532954,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,5491,881165,456.6373119,443.896903,469.6344504,Not significantly different from England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,4958,779611,472.9143802,459.0941929,487.0278133,Significantly worse than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,5972,953050,463.3370443,450.9406585,475.9728472,Not significantly different from England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,6437,1033855,449.4741854,437.8574976,461.3068912,Not significantly different from England average
H,E12000007,London,N/A,2011/12,n/a,n/a,5413,910130,433.9765234,421.754947,446.4461623,Significantly better than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,9750,1495470,454.1195737,444.4823294,463.9021511,Not significantly different from England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,6591,1044530,436.6099809,425.3399172,448.0871292,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,533,84943,444.025666,404.9579612,485.6831637,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,600,101351,426.1984536,390.6376872,463.9764535,Not significantly different from England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,622,103567,453.6579341,416.630668,492.9513086,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,868,144047,455.2427012,423.7546873,488.3537575,Not significantly different from England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,1040,169840,416.7782673,389.7977389,445.0262306,Significantly better than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,654,105000,425.1191101,390.7173631,461.5724399,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,812,120722,431.5701807,399.5112798,465.3392077,Not significantly different from England average
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,1664,258177,471.0764034,447.3190364,495.7113472,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,672,112406,410.5752136,377.8187266,445.2579862,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,1469,245969,426.3920971,403.429697,450.2584272,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,1087,175349,431.0195617,403.8686192,459.4173675,Not significantly different from England average
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,1758,264931,469.0244247,445.8258989,493.0562025,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,1363,212932,473.6799062,447.3313146,501.1061901,Not significantly different from England average
