ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2008 - 09,n/a,n/a,n/a,42429686,22.32456692,14.7220425,40.14449524,n/a
A,E12000001,North East,N/A,2008 - 09,n/a,n/a,n/a,2144953,22.45019664,14.4470498,40.79014585,Not significantly different from England average
B,E12000002,North West,N/A,2008 - 09,n/a,n/a,n/a,5630801,22.39697566,14.59562323,40.13460751,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,2008 - 09,n/a,n/a,n/a,4321453,22.17697034,14.43651728,40.00650354,Not significantly different from England average
E,E12000004,East Midlands,N/A,2008 - 09,n/a,n/a,n/a,3659011,22.5085134,14.70876494,40.63643494,Not significantly different from England average
F,E12000005,West Midlands,N/A,2008 - 09,n/a,n/a,n/a,4395591,21.44217169,13.95930655,38.68959751,Not significantly different from England average
G,E12000006,East of England,N/A,2008 - 09,n/a,n/a,n/a,4731774,22.83843245,14.93967538,40.51503349,Not significantly different from England average
H,E12000007,London,N/A,2008 - 09,n/a,n/a,n/a,6291441,20.62736591,13.35037585,37.08003156,Not significantly different from England average
J,E12000008,South East,N/A,2008 - 09,n/a,n/a,n/a,6909635,23.27139383,15.04850444,41.08405001,Not significantly different from England average
K,E12000009,South West,N/A,2008 - 09,n/a,n/a,n/a,4345027,23.44546782,15.34251178,41.5702438,Not significantly different from England average
11,E10000002,Buckinghamshire CC,N/A,2008 - 09,n/a,n/a,n/a,396299,23.05210265,14.14304971,41.29506732,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,2008 - 09,n/a,n/a,n/a,503795,23.88258928,15.55055406,42.31532176,Not significantly different from England average
16,E10000006,Cumbria CC,N/A,2008 - 09,n/a,n/a,n/a,410530,23.53973114,14.73082763,42.58826865,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2008 - 09,n/a,n/a,n/a,627092,23.18512716,14.87638827,42.19280533,Not significantly different from England average
18,E10000008,Devon CC,N/A,2008 - 09,n/a,n/a,n/a,624589,23.79309814,15.12484636,42.19075737,Not significantly different from England average
19,E10000009,Dorset CC,N/A,2008 - 09,n/a,n/a,n/a,336032,23.10888909,14.58433061,41.03378941,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,2008 - 09,n/a,n/a,n/a,424658,22.63320212,14.7764702,40.45520218,Not significantly different from England average
22,E10000012,Essex CC,N/A,2008 - 09,n/a,n/a,n/a,1149121,22.74221433,14.79505916,40.67158864,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2008 - 09,n/a,n/a,n/a,484864,23.62816222,15.35703305,41.86621877,Not significantly different from England average
24,E10000014,Hampshire CC,N/A,2008 - 09,n/a,n/a,n/a,1054441,23.70050144,15.27907135,42.11953198,Not significantly different from England average
26,E10000015,Hertfordshire CC,N/A,2008 - 09,n/a,n/a,n/a,886649,22.91078106,14.55677009,41.11999146,Not significantly different from England average
29,E10000016,Kent CC,N/A,2008 - 09,n/a,n/a,n/a,1152516,23.07683832,15.03472803,41.10950049,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,2008 - 09,n/a,n/a,n/a,953576,22.80144847,14.91365446,40.61578557,Not significantly different from England average
31,E10000018,Leicestershire CC,N/A,2008 - 09,n/a,n/a,n/a,531852,22.96324959,14.61205632,41.58480284,Not significantly different from England average
32,E10000019,Lincolnshire CC,N/A,2008 - 09,n/a,n/a,n/a,580905,23.12736735,14.56516296,41.15934847,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2008 - 09,n/a,n/a,n/a,718606,23.13476445,14.75376803,41.40671434,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2008 - 09,n/a,n/a,n/a,550743,22.8417295,14.65843815,40.85310635,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2008 - 09,n/a,n/a,n/a,495553,24.09795646,15.41389589,42.46284217,Not significantly different from England average
37,E10000024,Nottinghamshire CC,N/A,2008 - 09,n/a,n/a,n/a,640647,22.93073294,14.8488898,41.36896379,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2008 - 09,n/a,n/a,n/a,525656,24.00063031,15.72218865,42.24855993,Not significantly different from England average
40,E10000027,Somerset CC,N/A,2008 - 09,n/a,n/a,n/a,429850,23.34260064,14.78179249,41.50034741,Not significantly different from England average
41,E10000028,Staffordshire CC,N/A,2008 - 09,n/a,n/a,n/a,683393,23.24594146,15.00155759,41.8676657,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2008 - 09,n/a,n/a,n/a,587490,23.10769606,14.91188038,41.27156481,Not significantly different from England average
43,E10000030,Surrey CC,N/A,2008 - 09,n/a,n/a,n/a,909599,23.55093886,14.68789985,41.91907849,Not significantly different from England average
44,E10000031,Warwickshire CC,N/A,2008 - 09,n/a,n/a,n/a,438123,23.33333977,15.2435902,42.01412214,Not significantly different from England average
45,E10000032,West Sussex CC,N/A,2008 - 09,n/a,n/a,n/a,654268,23.02725186,15.05502625,41.14912585,Not significantly different from England average
47,E10000034,Worcestershire CC,N/A,2008 - 09,n/a,n/a,n/a,456632,23.43622874,15.19270193,41.93714088,Not significantly different from England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2008 - 09,n/a,n/a,n/a,134917,18.06673791,10.81524726,34.53985448,Not significantly different from England average
00AC,E09000003,Barnet LB,ONS2.4,2008 - 09,n/a,n/a,n/a,277608,20.02576439,12.76738242,36.52594679,Not significantly different from England average
00AD,E09000004,Bexley LB,ONS5.8,2008 - 09,n/a,n/a,n/a,182066,21.44165353,13.75604175,38.79773203,Not significantly different from England average
00AE,E09000005,Brent LB,ONS4.6,2008 - 09,n/a,n/a,n/a,203638,16.47491699,10.48157099,29.67660895,Not significantly different from England average
00AF,E09000006,Bromley LB,ONS1.3,2008 - 09,n/a,n/a,n/a,251340,21.99975958,14.15548741,39.80015166,Not significantly different from England average
00AG,E09000007,Camden LB,ONS3.5,2008 - 09,n/a,n/a,n/a,198933,22.2558194,14.16134413,39.12471077,Not significantly different from England average
