ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,8771,2046182,2924,682061,4.286519967,4.197276243,4.377183285,n/a
A,E12000001,North East,N/A,2009 - 11,334,91131,111,30377,3.665053604,3.282491179,4.079959518,Significantly better than England average
B,E12000002,North West,N/A,2009 - 11,1195,265498,398,88499,4.500975525,4.249365528,4.763593043,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,998,199778,333,66593,4.995545055,4.690378891,5.315353025,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,697,164357,232,54786,4.240768571,3.931736414,4.567634556,Not significantly different from England average
F,E12000005,West Midlands,N/A,2009 - 11,1234,216155,411,72052,5.708866323,5.394745687,6.036505169,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,833,217556,278,72519,3.828899226,3.573261528,4.097995532,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,1717,395196,572,131732,4.344679602,4.141581483,4.555160972,Not significantly different from England average
J,E12000008,South East,N/A,2009 - 11,1137,317235,379,105745,3.584093811,3.378766016,3.79863616,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,626,179276,209,59759,3.491822664,3.223604736,3.776401551,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,75,18145,25,6048,4.133370074,3.251157768,5.18121518,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,79,22349,26,7450,3.534833773,2.798561187,4.405457567,Not significantly different from England average
16,E10000006,Cumbria CC,N/A,2009 - 11,44,15179,15,5060,2.898741683,2.106230144,3.891425409,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,80,24974,27,8325,3.203331465,2.540042628,3.986823295,Significantly better than England average
18,E10000008,Devon CC,N/A,2009 - 11,87,22258,29,7419,3.908706982,3.130714059,4.821375621,Not significantly different from England average
