ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,10455584,53107169,19.68770732,,,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,349508,2596441,13.46104148,,,n/a
B,E12000002,North West,N/A,2010,n/a,n/a,1056836,7055961,14.97791725,,,n/a
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,779010,5288212,14.731066,,,n/a
E,E12000004,East Midlands,N/A,2010,n/a,n/a,1020435,4537448,22.48918335,,,n/a
F,E12000005,West Midlands,N/A,2010,n/a,n/a,789039,5608667,14.06820908,,,n/a
G,E12000006,East of England,N/A,2010,n/a,n/a,1682840,5862418,28.70556143,,,n/a
H,E12000007,London,N/A,2010,n/a,n/a,657565,8204407,8.014777911,,,n/a
J,E12000008,South East,N/A,2010,n/a,n/a,3023310,8652784,34.94031516,,,n/a
K,E12000009,South West,N/A,2010,n/a,n/a,1097041,5300831,20.69564187,,,n/a
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,262189,506550,51.75974731,,,n/a
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,241165,622312,38.7530692,,,n/a
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,61065,499817,12.21747159,,,n/a
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,140633,770688,18.24772152,,,n/a
18,E10000008,Devon CC,N/A,2010,n/a,n/a,76617,747709,10.24690087,,,n/a
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,96710,413813,23.3704596,,,n/a
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,74145,527209,14.06368252,,,n/a
22,E10000012,Essex CC,N/A,2010,n/a,n/a,425623,1396599,30.47567698,,,n/a
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,194034,598289,32.43148378,,,n/a
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,638797,1322118,48.3161866,,,n/a
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,491214,1119824,43.86528597,,,n/a
29,E10000016,Kent CC,N/A,2010,n/a,n/a,289767,1466466,19.75954437,,,n/a
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,202635,1171558,17.29619874,,,n/a
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,264970,651179,40.69080852,,,n/a
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,128677,714768,18.00262463,,,n/a
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,128145,859426,14.91053331,,,n/a
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,221538,693967,31.92341999,,,n/a
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,172602,601206,28.70929432,,,n/a
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,168939,786796,21.47176651,,,n/a
