ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,10530957,53107169,19.82963355,,,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,391325,2596441,15.07159223,,,n/a
B,E12000002,North West,N/A,2010,n/a,n/a,1192402,7055961,16.89921472,,,n/a
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,1041503,5288212,19.69480422,,,n/a
E,E12000004,East Midlands,N/A,2010,n/a,n/a,961153,4537448,21.18267802,,,n/a
F,E12000005,West Midlands,N/A,2010,n/a,n/a,1025704,5608667,18.28783916,,,n/a
G,E12000006,East of England,N/A,2010,n/a,n/a,1481874,5862418,25.27752201,,,n/a
H,E12000007,London,N/A,2010,n/a,n/a,1171475,8204407,14.27860661,,,n/a
J,E12000008,South East,N/A,2010,n/a,n/a,1962838,8652784,22.6844678,,,n/a
K,E12000009,South West,N/A,2010,n/a,n/a,1302683,5300831,24.57507134,,,n/a
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,112381,506550,22.18556905,,,n/a
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,160369,622312,25.76987106,,,n/a
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,124528,499817,24.91471879,,,n/a
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,198173,770688,25.71377782,,,n/a
18,E10000008,Devon CC,N/A,2010,n/a,n/a,223349,747709,29.87111296,,,n/a
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,122961,413813,29.71414624,,,n/a
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,136498,527209,25.89068093,,,n/a
22,E10000012,Essex CC,N/A,2010,n/a,n/a,359226,1396599,25.72148484,,,n/a
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,160701,598289,26.86009604,,,n/a
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,316469,1322118,23.93651701,,,n/a
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,256296,1119824,22.88716798,,,n/a
29,E10000016,Kent CC,N/A,2010,n/a,n/a,405823,1466466,27.67353624,,,n/a
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,289355,1171558,24.69830772,,,n/a
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,199091,651179,30.57392821,,,n/a
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,168672,714768,23.59814653,,,n/a
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,209987,859426,24.4334009,,,n/a
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,147456,693967,21.24827261,,,n/a
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,209477,601206,34.84279931,,,n/a
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,169861,786796,21.58895063,,,n/a
38,E10000025,Oxfordshire CC,N/A,2010,n/a,n/a,158008,654791,24.13105861,,,n/a
40,E10000027,Somerset CC,N/A,2010,n/a,n/a,167762,531581,31.55906626,,,n/a
41,E10000028,Staffordshire CC,N/A,2010,n/a,n/a,255340,849546,30.05605347,,,n/a
42,E10000029,Suffolk CC,N/A,2010,n/a,n/a,261336,730133,35.79293088,,,n/a
43,E10000030,Surrey CC,N/A,2010,n/a,n/a,246276,1135367,21.69131215,,,n/a
44,E10000031,Warwickshire CC,N/A,2010,n/a,n/a,148880,546554,27.23976039,,,n/a
45,E10000032,West Sussex CC,N/A,2010,n/a,n/a,188660,808919,23.32248346,,,n/a
47,E10000034,Worcestershire CC,N/A,2010,n/a,n/a,170536,566557,30.10041355,,,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2010,n/a,n/a,0,187029,0,,,n/a
00AC,E09000003,Barnet LB,ONS2.4,2010,n/a,n/a,119967,357538,33.55363626,,,n/a
00AD,E09000004,Bexley LB,ONS5.8,2010,n/a,n/a,64036,232774,27.50994527,,,n/a
00AE,E09000005,Brent LB,ONS4.6,2010,n/a,n/a,6196,312245,1.984339221,,,n/a
00AF,E09000006,Bromley LB,ONS1.3,2010,n/a,n/a,79165,310554,25.49154092,,,n/a
00AG,E09000007,Camden LB,ONS3.5,2010,n/a,n/a,35174,220087,15.98186172,,,n/a
00AH,E09000008,Croydon LB,ONS2.4,2010,n/a,n/a,56304,364815,15.43357592,,,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2010,n/a,n/a,30456,339314,8.975756968,,,n/a
00AK,E09000010,Enfield LB,ONS2.4,2010,n/a,n/a,37625,313935,11.98496504,,,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2010,n/a,n/a,10895,255483,4.264471609,,,n/a
00AM,E09000012,Hackney LB,ONS4.6,2010,n/a,n/a,0,247182,0,,,n/a
