ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.88792497,82.85789345,82.91795649,n/a
A,E12000001,North East,N/A,2009 - 11,n/a,n/a,n/a,n/a,81.50971331,81.38050603,81.63892058,Significantly worse than England average
B,E12000002,North West,N/A,2009 - 11,n/a,n/a,n/a,n/a,81.53063458,81.44958312,81.61168604,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.03210921,81.93695531,82.12726312,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.76485755,82.66300115,82.86671394,Significantly worse than England average
F,E12000005,West Midlands,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.60940719,82.51511893,82.70369544,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.56531746,83.47684503,83.65378988,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.62381136,83.53483329,83.71278942,Significantly better than England average
J,E12000008,South East,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.75133216,83.67834258,83.82432174,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.73861474,83.64799263,83.82923685,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,84.42130068,84.10393237,84.73866899,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,84.46909244,84.18119237,84.75699251,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.21707935,81.92260547,82.51155323,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.98277097,82.75534291,83.21019903,Not significantly different from England average
18,E10000008,Devon CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.98154346,83.73991934,84.22316758,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,85.12315139,84.80238563,85.44391715,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.67108131,83.38300578,83.95915683,Significantly better than England average
22,E10000012,Essex CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.43156334,83.25290026,83.61022643,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.97519982,83.70202748,84.24837216,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,84.15318242,83.96704186,84.33932298,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.78684011,83.5810083,83.99267192,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.17181498,82.99910557,83.3445244,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,81.75010854,81.5491916,81.95102548,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,84.10528781,83.82765826,84.38291737,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.79155274,82.5406768,83.04242868,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.64157399,83.41770935,83.86543862,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.53974433,82.27530927,82.80417939,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,83.59400579,83.32695056,83.86106101,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,82.59068128,82.35812992,82.82323264,Significantly worse than England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,84.09689255,83.82109937,84.37268573,Significantly better than England average
