ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,48676,,40.04474901,39.75026511,40.33995384,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,1112,,45.81763423,43.58942386,48.06270029,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,5695,,42.03105425,41.13613849,42.93123963,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,3859,,44.56469306,43.42481654,45.71031572,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,3409,,42.78370491,41.61324077,43.96230242,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,7693,,43.63663423,42.83950838,44.43706163,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,4363,,40.83015822,39.83329126,41.83462641,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,13225,,34.86478281,34.36276498,35.3701826,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,6402,,42.76568016,41.92026509,43.61534134,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,2918,,38.79894098,37.63020897,39.98070331,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,488,,37.95461323,35.09755619,40.89768981,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,380,,36.84255803,33.775073,40.02027958,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,99,,46.90584362,39.90916865,54.02631239,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,269,,42.32187987,38.20941802,46.54356019,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,174,,34.90787431,30.62744236,39.44637068,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,131,,45.16181788,39.18367021,51.28293897,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,316,,42.25584389,38.52219185,46.08013044,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,739,,38.89834008,36.63077155,41.21498283,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,441,,35.35787216,32.54128515,38.27990784,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,670,,44.65616783,41.94642358,47.39804187,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,1055,,39.49313116,37.52905183,41.49172976,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,914,,43.37719584,41.11733298,45.6649397,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,638,,38.09323296,35.66373914,40.58382899,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,213,,34.98318515,31.10604223,39.06953198,n/a
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,315,,47.45808095,43.33616843,51.61492668,n/a
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,385,,40.79162404,37.51587536,44.1512928,n/a
