ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,10703188,53107169,20.15394193,,,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,606581,2596441,23.36201747,,,n/a
B,E12000002,North West,N/A,2010,n/a,n/a,1328765,7055961,18.8318076,,,n/a
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,1043466,5288212,19.73192451,,,n/a
E,E12000004,East Midlands,N/A,2010,n/a,n/a,884664,4537448,19.49695071,,,n/a
F,E12000005,West Midlands,N/A,2010,n/a,n/a,1052011,5608667,18.75688109,,,n/a
G,E12000006,East of England,N/A,2010,n/a,n/a,975174,5862418,16.63433075,,,n/a
H,E12000007,London,N/A,2010,n/a,n/a,2501679,8204407,30.49189295,,,n/a
J,E12000008,South East,N/A,2010,n/a,n/a,1299621,8652784,15.01968615,,,n/a
K,E12000009,South West,N/A,2010,n/a,n/a,1011227,5300831,19.07676362,,,n/a
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,57816,506550,11.41368078,,,n/a
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,83271,622312,13.38090861,,,n/a
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,97470,499817,19.50113742,,,n/a
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,156613,770688,20.32119353,,,n/a
18,E10000008,Devon CC,N/A,2010,n/a,n/a,138064,747709,18.46493756,,,n/a
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,41268,413813,9.972620483,,,n/a
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,122938,527209,23.31864593,,,n/a
22,E10000012,Essex CC,N/A,2010,n/a,n/a,257095,1396599,18.40864844,,,n/a
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,62590,598289,10.46149938,,,n/a
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,117621,1322118,8.896407129,,,n/a
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,127086,1119824,11.34874766,,,n/a
29,E10000016,Kent CC,N/A,2010,n/a,n/a,252649,1466466,17.22842534,,,n/a
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,209947,1171558,17.9203249,,,n/a
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,72497,651179,11.13319072,,,n/a
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,146895,714768,20.55142368,,,n/a
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,168569,859426,19.61413781,,,n/a
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,123409,693967,17.78312225,,,n/a
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,65296,601206,10.86083639,,,n/a
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,151042,786796,19.1970981,,,n/a
38,E10000025,Oxfordshire CC,N/A,2010,n/a,n/a,55240,654791,8.436279668,,,n/a
40,E10000027,Somerset CC,N/A,2010,n/a,n/a,102018,531581,19.19143084,,,n/a
41,E10000028,Staffordshire CC,N/A,2010,n/a,n/a,146715,849546,17.26981235,,,n/a
42,E10000029,Suffolk CC,N/A,2010,n/a,n/a,93879,730133,12.8577944,,,n/a
43,E10000030,Surrey CC,N/A,2010,n/a,n/a,59984,1135367,5.2832256,,,n/a
44,E10000031,Warwickshire CC,N/A,2010,n/a,n/a,85074,546554,15.56552509,,,n/a
45,E10000032,West Sussex CC,N/A,2010,n/a,n/a,108554,808919,13.41963781,,,n/a
47,E10000034,Worcestershire CC,N/A,2010,n/a,n/a,72558,566557,12.80683144,,,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2010,n/a,n/a,74823,187029,40.00609531,,,n/a
00AC,E09000003,Barnet LB,ONS2.4,2010,n/a,n/a,60911,357538,17.03623111,,,n/a
00AD,E09000004,Bexley LB,ONS5.8,2010,n/a,n/a,49837,232774,21.4100372,,,n/a
00AE,E09000005,Brent LB,ONS4.6,2010,n/a,n/a,165818,312245,53.10509376,,,n/a
00AF,E09000006,Bromley LB,ONS1.3,2010,n/a,n/a,54657,310554,17.59983771,,,n/a
00AG,E09000007,Camden LB,ONS3.5,2010,n/a,n/a,80466,220087,36.56099633,,,n/a
00AH,E09000008,Croydon LB,ONS2.4,2010,n/a,n/a,122310,364815,33.52658197,,,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2010,n/a,n/a,122384,339314,36.06806675,,,n/a
00AK,E09000010,Enfield LB,ONS2.4,2010,n/a,n/a,103348,313935,32.92019049,,,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2010,n/a,n/a,90842,255483,35.55696465,,,n/a
00AM,E09000012,Hackney LB,ONS4.6,2010,n/a,n/a,50271,247182,20.33764595,,,n/a
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2010,n/a,n/a,82767,182445,45.3654526,,,n/a
00AP,E09000014,Haringey LB,ONS4.6,2010,n/a,n/a,68920,255540,26.97033732,,,n/a
00AQ,E09000015,Harrow LB,ONS2.4,2010,n/a,n/a,39050,240499,16.23707375,,,n/a
00AR,E09000016,Havering LB,ONS5.8,2010,n/a,n/a,48340,237927,20.3171561,,,n/a
00AS,E09000017,Hillingdon LB,ONS1.3,2010,n/a,n/a,96859,275499,35.15765937,,,n/a
00AT,E09000018,Hounslow LB,ONS2.4,2010,n/a,n/a,103272,254927,40.51042063,,,n/a
00AU,E09000019,Islington LB,ONS3.5,2010,n/a,n/a,85441,206285,41.41891073,,,n/a
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2010,n/a,n/a,36260,158251,22.91296737,,,n/a
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2010,n/a,n/a,10544,160436,6.572091052,,,n/a
00AY,E09000022,Lambeth LB,ONS4.6,2010,n/a,n/a,160330,304481,52.65681602,,,n/a
00AZ,E09000023,Lewisham LB,ONS4.6,2010,n/a,n/a,135761,276938,49.02216381,,,n/a
00BA,E09000024,Merton LB,ONS2.4,2010,n/a,n/a,43847,200543,21.86413886,,,n/a
00BB,E09000025,Newham LB,ONS4.6,2010,n/a,n/a,50656,310460,16.31643368,,,n/a
00BC,E09000026,Redbridge LB,ONS2.4,2010,n/a,n/a,86656,281395,30.79514561,,,n/a
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2010,n/a,n/a,9988,187527,5.326166365,,,n/a
00BE,E09000028,Southwark LB,ONS4.6,2010,n/a,n/a,124437,288717,43.09999065,,,n/a
00BF,E09000029,Sutton LB,ONS1.3,2010,n/a,n/a,32940,191123,17.23497434,,,n/a
00BG,E09000030,Tower Hamlets LB,ONS3.5,2010,n/a,n/a,37122,256012,14.50010156,,,n/a
00BH,E09000031,Waltham Forest LB,ONS2.4,2010,n/a,n/a,103368,259742,39.79641336,,,n/a
00BJ,E09000032,Wandsworth LB,ONS3.5,2010,n/a,n/a,109883,307710,35.70992168,,,n/a
00BK,E09000033,City of Westminster LB,ONS3.5,2010,n/a,n/a,58584,219582,26.6797825,,,n/a
00BL,E08000001,Bolton MCD,ONS1.2,2010,n/a,n/a,50839,277296,18.33383821,,,n/a
00BM,E08000002,Bury MCD,ONS5.7,2010,n/a,n/a,47960,185422,25.86532342,,,n/a
00BN,E08000003,Manchester MCD,ONS1.2,2010,n/a,n/a,99782,502902,19.84124143,,,n/a
00BP,E08000004,Oldham MCD,ONS1.2,2010,n/a,n/a,35786,225157,15.89379855,,,n/a
00BQ,E08000005,Rochdale MCD,ONS1.2,2010,n/a,n/a,49004,211929,23.12283831,,,n/a
00BR,E08000006,Salford MCD,ONS1.1,2010,n/a,n/a,57506,234487,24.52417405,,,n/a
00BS,E08000007,Stockport MCD,ONS5.7,2010,n/a,n/a,54976,283253,19.40879708,,,n/a
00BT,E08000008,Tameside MCD,ONS7.11,2010,n/a,n/a,63685,219727,28.9836934,,,n/a
00BU,E08000009,Trafford MCD,ONS5.7,2010,n/a,n/a,39323,227091,17.31596585,,,n/a
00BW,E08000010,Wigan MCD,ONS7.12,2010,n/a,n/a,73531,318122,23.11408831,,,n/a
00BX,E08000011,Knowsley MCD,ONS7.11,2010,n/a,n/a,14915,145903,10.22254512,,,n/a
00BY,E08000012,Liverpool MCD,ONS1.1,2010,n/a,n/a,78948,465656,16.95414641,,,n/a
00BZ,E08000013,St Helens MCD,ONS7.11,2010,n/a,n/a,37898,175405,21.60599755,,,n/a
00CA,E08000014,Sefton MCD,ONS7.11,2010,n/a,n/a,49537,273969,18.08124277,,,n/a
00CB,E08000015,Wirral MCD,ONS7.11,2010,n/a,n/a,56172,319837,17.562696,,,n/a
00CC,E08000016,Barnsley MCD,ONS7.12,2010,n/a,n/a,69443,231865,29.94975525,,,n/a
00CE,E08000017,Doncaster MCD,ONS7.12,2010,n/a,n/a,79309,302468,26.22062499,,,n/a
00CF,E08000018,Rotherham MCD,ONS7.12,2010,n/a,n/a,65216,257716,25.30537491,,,n/a
00CG,E08000019,Sheffield MCD,ONS1.1,2010,n/a,n/a,101384,551756,18.37478886,,,n/a
00CH,E08000020,Gateshead MCD,ONS7.11,2010,n/a,n/a,56554,200349,28.22774259,,,n/a
00CJ,E08000021,Newcastle upon Tyne MCD,ONS1.1,2010,n/a,n/a,53806,279092,19.27894744,,,n/a
00CK,E08000022,North Tyneside MCD,ONS7.11,2010,n/a,n/a,51523,201206,25.60708925,,,n/a
00CL,E08000023,South Tyneside MCD,ONS7.11,2010,n/a,n/a,34277,148164,23.13449961,,,n/a
00CM,E08000024,Sunderland MCD,ONS7.11,2010,n/a,n/a,79755,275330,28.96705771,,,n/a
00CN,E08000025,Birmingham MCD,ONS1.2,2010,n/a,n/a,215234,1074283,20.03513041,,,n/a
00CQ,E08000026,Coventry MCD,ONS1.2,2010,n/a,n/a,86156,316915,27.18583847,,,n/a
00CR,E08000027,Dudley MCD,ONS7.12,2010,n/a,n/a,80428,313261,25.67443761,,,n/a
00CS,E08000028,Sandwell MCD,ONS1.2,2010,n/a,n/a,72765,309042,23.54534335,,,n/a
00CT,E08000029,Solihull MCD,ONS5.7,2010,n/a,n/a,18845,206856,9.110202266,,,n/a
00CU,E08000030,Walsall MCD,ONS1.2,2010,n/a,n/a,54873,269524,20.35922589,,,n/a
00CW,E08000031,Wolverhampton MCD,ONS1.2,2010,n/a,n/a,48332,249852,19.3442518,,,n/a
00CX,E08000032,Bradford MCD,ONS1.2,2010,n/a,n/a,95406,523115,18.23805473,,,n/a
00CY,E08000033,Calderdale MCD,ONS1.2,2010,n/a,n/a,53228,204170,26.0704315,,,n/a
00CZ,E08000034,Kirklees MCD,ONS1.2,2010,n/a,n/a,104792,422970,24.77527957,,,n/a
