ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,24154,156702135,8051,52234045,15.4,15.1,15.8,n/a
A,E12000001,North East,N/A,2009 - 11,429,7819875,143,2606625,5.5,4.6,6.5,Significantly better than England average
B,E12000002,North West,N/A,2009 - 11,2438,20807208,813,6935736,11.7,10.9,12.6,Significantly better than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,2001,15903756,667,5301252,12.6,11.6,13.6,Significantly better than England average
E,E12000004,East Midlands,N/A,2009 - 11,1524,13444293,508,4481431,11.3,10.4,12.4,Significantly better than England average
F,E12000005,West Midlands,N/A,2009 - 11,2892,16365537,964,5455179,17.7,16.6,18.8,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,1484,17495535,495,5831845,8.5,7.8,9.3,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,10180,23475531,3393,7825177,43.4,41.9,44.8,Significantly worse than England average
J,E12000008,South East,N/A,2009 - 11,2324,25569222,775,8523074,9.1,8.5,9.8,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,882,15821178,294,5273726,5.6,5,6.2,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,129,1494216,43,498072,8.6,6.2,11.6,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,105,1848846,35,616282,5.7,4,7.9,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,24,1483050,8,494350,1.6,0.7,3.2,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,87,2291172,29,763724,3.8,2.5,5.5,Significantly better than England average
18,E10000008,Devon CC,N/A,2009 - 11,70,2249832,23,749944,3.1,1.9,4.6,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,43,1214367,14,404789,3.5,1.9,5.8,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,72,1546566,24,515522,4.7,3,6.9,Significantly better than England average
22,E10000012,Essex CC,N/A,2009 - 11,210,4239075,70,1413025,5,3.9,6.3,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,70,1780581,23,593527,3.9,2.5,5.8,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,215,3890442,72,1296814,5.5,4.3,7,Significantly better than England average
