ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,66178,157927356,22059,52642452,41.90407645,41.58541435,42.22457365,n/a
A,E12000001,North East,N/A,2009 - 11,2732,7760604,911,2586868,35.20344551,33.89563056,36.54879588,Significantly better than England average
B,E12000002,North West,N/A,2009 - 11,8834,21059763,2945,7019921,41.94729067,41.07706742,42.83130662,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,7346,15764364,2449,5254788,46.59877176,45.53918437,47.6767913,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,6627,13521213,2209,4507071,49.0118749,47.83886973,50.20637452,Significantly worse than England average
F,E12000005,West Midlands,N/A,2009 - 11,6002,16697598,2001,5565866,35.94528986,35.04160119,36.86638773,Significantly better than England average
G,E12000006,East of England,N/A,2009 - 11,7689,17422206,2563,5807402,44.13333191,43.15231766,45.13102289,Significantly worse than England average
H,E12000007,London,N/A,2009 - 11,8928,24184485,2976,8061495,36.91622956,36.15440038,37.69006913,Significantly better than England average
J,E12000008,South East,N/A,2009 - 11,12165,25733313,4055,8577771,47.27335342,46.43698315,48.12100545,Significantly worse than England average
K,E12000009,South West,N/A,2009 - 11,5855,15783810,1952,5261270,37.09497263,36.15081982,38.05754354,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,675,1508460,225,502820,44.7476234,41.43508404,48.25451359,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,1060,1844697,353,614899,57.46201138,54.05440902,61.02813313,Significantly worse than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,729,1500495,243,500165,48.58396729,45.12069571,52.24252806,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,1098,2303844,366,767948,47.65947694,44.88178261,50.56407588,Significantly worse than England average
18,E10000008,Devon CC,N/A,2009 - 11,715,2231724,238,743908,32.03801187,29.73237009,34.47497151,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,677,1236045,226,412015,54.77146868,50.72277117,59.05734602,Significantly worse than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,993,1570953,331,523651,63.21003875,59.33912884,67.26715331,Significantly worse than England average
22,E10000012,Essex CC,N/A,2009 - 11,1950,4166739,650,1388913,46.79918757,44.74484677,48.92352046,Significantly worse than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,667,1782291,222,594097,37.42374281,34.63712483,40.37486401,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,2046,3937041,682,1312347,51.96796274,49.74030092,54.26968695,Significantly worse than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,1176,3322923,392,1107641,35.39052816,33.39646656,37.47254544,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,1693,4355715,564,1451905,38.8684751,37.0388343,40.76510826,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2009 - 11,2033,3502737,678,1167579,58.04032675,55.54451132,60.61938951,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,738,1938876,246,646292,38.06329028,35.36626844,40.91143505,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,1403,2135415,468,711805,65.70151469,62.30815051,69.23163524,Significantly worse than England average
33,E10000020,Norfolk CC,N/A,2009 - 11,1103,2558778,368,852926,43.10651413,40.59979182,45.7274948,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,993,2064033,331,688011,48.10969592,45.1635136,51.19760018,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,1483,1797084,494,599028,82.52257546,78.37549324,86.83212136,Significantly worse than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,1317,2350935,439,783645,56.02026428,53.03521058,59.12957265,Significantly worse than England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,1095,1946064,365,648688,56.26741978,52.98361442,59.70146295,Significantly worse than England average
40,E10000027,Somerset CC,N/A,2009 - 11,766,1585827,255,528609,48.30287289,44.9423128,51.84815877,Significantly worse than England average
41,E10000028,Staffordshire CC,N/A,2009 - 11,676,2535816,225,845272,26.6580856,24.68609548,28.74568652,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2009 - 11,989,2171928,330,723976,45.53557945,42.74148843,48.46435492,Significantly worse than England average
43,E10000030,Surrey CC,N/A,2009 - 11,1673,3377412,558,1125804,49.53496938,47.18950016,51.96684016,Significantly worse than England average
44,E10000031,Warwickshire CC,N/A,2009 - 11,922,1632498,307,544166,56.47786399,52.89065985,60.24432383,Significantly worse than England average
45,E10000032,West Sussex CC,N/A,2009 - 11,1279,2409462,426,803154,53.08238935,50.21274645,56.07328503,Significantly worse than England average
47,E10000034,Worcestershire CC,N/A,2009 - 11,518,1692240,173,564080,30.61031532,28.03064635,33.36353791,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2009 - 11,142,548514,47,182838,25.88812683,21.80535377,30.5133645,Significantly better than England average
00AC,E09000003,Barnet LB,ONS2.4,2009 - 11,410,1054314,137,351438,38.88784556,35.21421378,42.84053755,Not significantly different from England average
00AD,E09000004,Bexley LB,ONS5.8,2009 - 11,199,692133,66,230711,28.75169946,24.89554695,33.03595418,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2009 - 11,257,914355,86,304785,28.107245,24.77560653,31.76204797,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2009 - 11,298,925680,99,308560,32.19255034,28.64085426,36.06299505,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2009 - 11,353,644175,118,214725,54.79877363,49.23068009,60.82420595,Significantly worse than England average
00AH,E09000008,Croydon LB,ONS2.4,2009 - 11,303,1073853,101,357951,28.21615249,25.12819884,31.57882993,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2009 - 11,277,1002219,92,334073,27.63866979,24.47937369,31.09257868,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2009 - 11,293,922944,98,307648,31.74623812,28.21490625,35.59731477,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2009 - 11,297,747513,99,249171,39.73175048,35.34112344,44.51711126,Not significantly different from England average
00AM,E09000012,Hackney LB,ONS4.6,2009 - 11,314,725217,105,241739,43.29738547,38.64029502,48.36113384,Not significantly different from England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2009 - 11,244,542526,81,180842,44.97480305,39.50820059,50.98634643,Not significantly different from England average
00AP,E09000014,Haringey LB,ONS4.6,2009 - 11,255,758226,85,252742,33.63113373,29.62962686,38.02237995,Significantly better than England average
00AQ,E09000015,Harrow LB,ONS2.4,2009 - 11,125,712353,42,237451,17.54747997,14.60636798,20.90703023,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2009 - 11,212,708702,71,236234,29.91384249,26.02237998,34.22309991,Significantly better than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2009 - 11,245,808395,82,269465,30.30696627,26.63049208,34.34914296,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2009 - 11,271,747708,90,249236,36.24409529,32.05693451,40.82623655,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2009 - 11,258,600387,86,200129,42.97228288,37.88821331,48.54849412,Not significantly different from England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2009 - 11,256,481389,85,160463,53.17944531,46.8640135,60.10872324,Significantly worse than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2009 - 11,142,475944,47,158648,29.83544283,25.13014518,35.16591787,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2009 - 11,498,892950,166,297650,55.7701999,50.97884249,60.89055476,Significantly worse than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2009 - 11,322,817575,107,272525,39.38476592,35.19997896,43.93018942,Not significantly different from England average
00BA,E09000024,Merton LB,ONS2.4,2009 - 11,140,597408,47,199136,23.43457068,19.71359156,27.65371247,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2009 - 11,248,897513,83,299171,27.63191174,24.29962006,31.29355227,Significantly better than England average
00BC,E09000026,Redbridge LB,ONS2.4,2009 - 11,221,825264,74,275088,26.77930941,23.36481967,30.55241961,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2009 - 11,197,558912,66,186304,35.24705141,30.49668711,40.5276211,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2009 - 11,418,851331,139,283777,49.09958641,44.50478181,54.03993416,Significantly worse than England average
00BF,E09000029,Sutton LB,ONS1.3,2009 - 11,151,567963,50,189321,26.58623889,22.51488886,31.18105113,Significantly better than England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2009 - 11,299,745560,100,248520,40.10408284,35.68672176,44.9171866,Not significantly different from England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2009 - 11,196,762027,65,254009,25.72087341,22.24587615,29.58477489,Significantly better than England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2009 - 11,334,907860,111,302620,36.78981341,32.94965175,40.95463962,Significantly better than England average
00BK,E09000033,City of Westminster LB,ONS3.5,2009 - 11,607,651561,202,217187,93.16088593,85.89602201,100.8760108,Significantly worse than England average
00BL,E08000001,Bolton MCD,ONS1.2,2009 - 11,250,825504,83,275168,30.28452921,26.64650928,34.28059762,Significantly better than England average
00BM,E08000002,Bury MCD,ONS5.7,2009 - 11,178,554265,59,184755,32.11460222,27.56992877,37.19456659,Significantly better than England average
00BN,E08000003,Manchester MCD,ONS1.2,2009 - 11,527,1477794,176,492598,35.66126267,32.68113835,38.84010086,Significantly better than England average
00BP,E08000004,Oldham MCD,ONS1.2,2009 - 11,220,671421,73,223807,32.76632694,28.5793065,37.39416051,Significantly better than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2009 - 11,158,632274,53,210758,24.98916609,21.2445904,29.2036853,Significantly better than England average
00BR,E08000006,Salford MCD,ONS1.1,2009 - 11,203,695511,68,231837,29.18717317,25.30997916,33.49029353,Significantly better than England average
00BS,E08000007,Stockport MCD,ONS5.7,2009 - 11,193,847842,64,282614,22.76367531,19.66527696,26.21167707,Significantly better than England average
00BT,E08000008,Tameside MCD,ONS7.11,2009 - 11,164,656322,55,218774,24.98773468,21.30971765,29.11826237,Significantly better than England average
00BU,E08000009,Trafford MCD,ONS5.7,2009 - 11,147,675702,49,225234,21.75515242,18.38052187,25.5699357,Significantly better than England average
00BW,E08000010,Wigan MCD,ONS7.12,2009 - 11,241,948888,80,316296,25.39815026,22.29252754,28.81538284,Significantly better than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2009 - 11,152,439194,51,146398,34.60885167,29.32566845,40.56891456,Significantly better than England average
00BY,E08000012,Liverpool MCD,ONS1.1,2009 - 11,628,1384209,209,461403,45.36887132,41.88938808,49.06024929,Not significantly different from England average
00BZ,E08000013,St Helens MCD,ONS7.11,2009 - 11,181,525609,60,175203,34.43624443,29.6020289,39.83482125,Significantly better than England average
00CA,E08000014,Sefton MCD,ONS7.11,2009 - 11,248,821460,83,273820,30.19014925,26.54934495,34.19079441,Significantly better than England average
00CB,E08000015,Wirral MCD,ONS7.11,2009 - 11,377,957234,126,319078,39.38430937,35.50858138,43.56763218,Not significantly different from England average
00CC,E08000016,Barnsley MCD,ONS7.12,2009 - 11,230,690198,77,230066,33.32377086,29.15596155,37.92019485,Significantly better than England average
00CE,E08000017,Doncaster MCD,ONS7.12,2009 - 11,436,903897,145,301299,48.23558436,43.81352782,52.98298085,Significantly worse than England average
00CF,E08000018,Rotherham MCD,ONS7.12,2009 - 11,237,770679,79,256893,30.75210302,26.9612598,34.926679,Significantly better than England average
00CG,E08000019,Sheffield MCD,ONS1.1,2009 - 11,533,1633839,178,544613,32.62255339,29.91142079,35.5134066,Significantly better than England average
00CH,E08000020,Gateshead MCD,ONS7.11,2009 - 11,239,596193,80,198731,40.08768972,35.166075,45.5052993,Not significantly different from England average
00CJ,E08000021,Newcastle upon Tyne MCD,ONS1.1,2009 - 11,283,830043,94,276681,34.09461919,30.2376423,38.3072463,Significantly better than England average
00CK,E08000022,North Tyneside MCD,ONS7.11,2009 - 11,150,600492,50,200164,24.9795168,21.14202416,29.31215842,Significantly better than England average
00CL,E08000023,South Tyneside MCD,ONS7.11,2009 - 11,116,445404,39,148468,26.0437715,21.5204727,31.23702305,Significantly better than England average
00CM,E08000024,Sunderland MCD,ONS7.11,2009 - 11,264,827940,88,275980,31.88636858,28.15564275,35.97389202,Significantly better than England average
00CN,E08000025,Birmingham MCD,ONS1.2,2009 - 11,1305,3183222,435,1061074,40.99619819,38.801822,43.2823452,Not significantly different from England average
00CQ,E08000026,Coventry MCD,ONS1.2,2009 - 11,345,935022,115,311674,36.89752754,33.10633309,41.00386457,Significantly better than England average
00CR,E08000027,Dudley MCD,ONS7.12,2009 - 11,295,936618,98,312206,31.49629838,28.00431389,35.30333925,Significantly better than England average
00CS,E08000028,Sandwell MCD,ONS1.2,2009 - 11,334,918543,111,306181,36.36193406,32.56643493,40.47832178,Significantly better than England average
00CT,E08000029,Solihull MCD,ONS5.7,2009 - 11,215,618987,72,206329,34.73417051,30.24616719,39.70044884,Significantly better than England average
00CU,E08000030,Walsall MCD,ONS1.2,2009 - 11,222,800502,74,266834,27.73259779,24.20425866,31.63063247,Significantly better than England average
00CW,E08000031,Wolverhampton MCD,ONS1.2,2009 - 11,225,742920,75,247640,30.28589889,26.45760605,34.5124834,Significantly better than England average
00CX,E08000032,Bradford MCD,ONS1.2,2009 - 11,635,1554006,212,518002,40.86213309,37.74526398,44.1677308,Not significantly different from England average
00CY,E08000033,Calderdale MCD,ONS1.2,2009 - 11,291,609147,97,203049,47.77172013,42.440087,53.58784375,Significantly worse than England average
00CZ,E08000034,Kirklees MCD,ONS1.2,2009 - 11,457,1255017,152,418339,36.41384937,33.1513442,39.91058806,Significantly better than England average
00DA,E08000035,Leeds MCD,ONS1.1,2009 - 11,922,2242713,307,747571,41.11092235,38.49975294,43.85257416,Not significantly different from England average
00DB,E08000036,Wakefield MCD,ONS7.12,2009 - 11,466,976785,155,325595,47.70753032,43.47367904,52.24229069,Significantly worse than England average
00EB,E06000001,Hartlepool UA,ONS7.11,2009 - 11,86,275319,29,91773,31.23649294,24.9851628,38.57681463,Significantly better than England average
