ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,87637,658550,13.30756966,13.22574969,13.38981769,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,5968,29471,20.25041566,19.79549754,20.71308832,Significantly worse than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,14798,85925,17.22199593,16.97100559,17.47591695,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,10841,65166,16.63597582,16.35201985,16.92386509,Significantly worse than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,8468,53454,15.84165825,15.53458129,16.15364442,Significantly worse than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,10779,68714,15.68675961,15.41675935,15.96059622,Significantly worse than England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,9354,70422,13.28278095,13.03411907,13.53544839,Not significantly different from England average
H,E12000007,London,N/A,2011/12,n/a,n/a,7674,122005,6.289906151,6.155047,6.427517735,Significantly better than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,11925,103134,11.56262726,11.36889614,11.75922165,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,7830,60259,12.99390962,12.72780535,13.2647318,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,452,5969,7.576996365,6.932627711,8.275931443,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,970,7094,13.67352692,12.89366877,14.49270594,Not significantly different from England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,764,4994,15.29835803,14.32668649,16.32337457,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,1220,7809,15.6250578,14.83665519,16.44726424,Significantly worse than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,711,7111,9.998593728,9.322813821,10.71756891,Significantly better than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,506,3356,15.07747318,13.90680137,16.32800201,Significantly worse than England average
21,E10000011,East Sussex CC,N/A,2011/12,,,,,,,,No significance can be calculated
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,2113,16150,13.08335926,12.57204735,13.61222874,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,868,6511,13.33128552,12.52722609,14.17858817,Not significantly different from England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,1812,14488,12.50690226,11.9781718,13.05550987,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,1411,14356,9.828643076,9.352354558,10.3264244,Significantly better than England average
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,2611,17191,15.18817986,14.65944971,15.73246446,Significantly worse than England average
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,2578,12995,19.83839938,19.16171572,20.53290995,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,771,6734,11.45168157,10.71301271,12.23430333,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,1408,7652,18.40426917,17.55193711,19.28830804,Significantly worse than England average
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,1409,8850,15.91990371,15.17246269,16.69691825,Significantly worse than England average
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,1466,9160,16.00436681,15.26779887,16.76943652,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,887,6312,14.05660377,13.22102348,14.93590423,Not significantly different from England average
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,1560,8503,18.34920668,17.5408405,19.18615834,Significantly worse than England average
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,685,8409,8.147189196,7.581415092,8.751187007,Significantly better than England average
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,971,5412,17.94161123,16.94219981,18.98650072,Significantly worse than England average
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,1293,8531,15.15968389,14.41437467,15.93635432,Significantly worse than England average
42,E10000029,Suffolk CC,N/A,2011/12,n/a,n/a,1158,7770,14.90463548,14.13012649,15.71382863,Significantly worse than England average
43,E10000030,Surrey CC,N/A,2011/12,n/a,n/a,941,13161,7.151590197,6.72374278,7.604443002,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2011/12,n/a,n/a,1155,5858,19.71662684,18.71778122,20.75516384,Significantly worse than England average
45,E10000032,West Sussex CC,N/A,2011/12,n/a,n/a,843,8711,9.677419355,9.074218131,10.31616856,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2011/12,n/a,n/a,991,5931,16.70881807,15.78101335,17.67971972,Significantly worse than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2011/12,,,,,,,,No significance can be calculated
00AC,E09000003,Barnet LB,ONS2.4,2011/12,n/a,n/a,251,4812,5.216126351,4.622843155,5.880855173,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2011/12,n/a,n/a,297,2887,10.28749567,9.231577986,11.44895629,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2011/12,n/a,n/a,159,5145,3.090379009,2.651386783,3.599368099,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2011/12,n/a,n/a,237,3898,6.080041047,5.372235464,6.874327187,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2011/12,n/a,n/a,139,2567,5.414881184,4.604153873,6.358850394,Significantly better than England average
00AH,E09000008,Croydon LB,ONS2.4,2011/12,n/a,n/a,409,5112,8.000782473,7.288207568,8.776431367,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2011/12,n/a,n/a,222,5961,3.724207348,3.272552472,4.235467011,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2011/12,n/a,n/a,264,4376,6.032906764,5.365284149,6.777654444,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2011/12,n/a,n/a,387,4214,9.183673469,8.348503403,10.09319163,Significantly better than England average
00AM,E09000012,Hackney LB,ONS4.6,2011/12,n/a,n/a,283,4470,6.332744925,5.655575183,7.084906657,Significantly better than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2011/12,n/a,n/a,104,2491,4.175030108,3.457557877,5.033621314,Significantly better than England average
00AP,E09000014,Haringey LB,ONS4.6,2011/12,n/a,n/a,186,3829,4.857665187,4.220812463,5.585005566,Significantly better than England average
00AQ,E09000015,Harrow LB,ONS2.4,2011/12,n/a,n/a,123,3107,3.958802704,3.32809856,4.703215865,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2011/12,n/a,n/a,395,2671,14.78846874,13.49281624,16.18525893,Significantly worse than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2011/12,n/a,n/a,326,3912,8.333333333,7.507577488,9.24083957,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2011/12,n/a,n/a,219,4362,5.020632737,4.411250869,5.709168367,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2011/12,n/a,n/a,247,2642,9.348978047,8.297166431,10.51883092,Significantly better than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2011/12,,,,,,,,No significance can be calculated
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2011/12,n/a,n/a,139,2473,5.620703599,4.779872853,6.59919454,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2011/12,n/a,n/a,219,4686,4.673495519,4.105399509,5.315845595,Significantly better than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2011/12,n/a,n/a,327,4308,7.590529248,6.836893267,8.419731197,Significantly better than England average
00BA,E09000024,Merton LB,ONS2.4,2011/12,n/a,n/a,206,3067,6.704524638,5.872517488,7.644835248,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2011/12,n/a,n/a,345,6177,5.585235551,5.039688512,6.185991089,Significantly better than England average
00BC,E09000026,Redbridge LB,ONS2.4,2011/12,n/a,n/a,201,3893,5.16311328,4.511146182,5.903479692,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2011/12,n/a,n/a,86,2704,3.180473373,2.582621805,3.911165276,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2011/12,n/a,n/a,202,4575,4.415300546,3.857278634,5.049809818,Significantly better than England average
00BF,E09000029,Sutton LB,ONS1.3,2011/12,n/a,n/a,160,2392,6.704524638,5.769992948,7.777923319,Significantly better than England average
