ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,238329.42,88169904,79443,29389968,200.6608139,199.8152378,201.5089522,n/a
A,E12000001,North East,N/A,2009 - 11,15816.4,4478662,5272,1492887,257.993272,253.8152857,262.2206388,Significantly worse than England average
B,E12000002,North West,N/A,2009 - 11,38389.89,11876140,12797,3958713,245.2624302,242.7121142,247.8320486,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,27119.64,8819877,9040,2939959,228.3621517,225.5261757,231.2236861,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,20173.04,7763655,6724,2587885,194.043115,191.25539,196.8599928,Significantly better than England average
F,E12000005,West Midlands,N/A,2009 - 11,24817.23,9324970,8272,3108323,197.1669635,194.6012551,199.7568488,Significantly better than England average
G,E12000006,East of England,N/A,2009 - 11,25928.15,10060549,8643,3353516,180.7396974,178.4160863,183.0847274,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,24927.86,11630658,8309,3876886,191.9322827,189.4647513,194.4230139,Significantly better than England average
J,E12000008,South East,N/A,2009 - 11,36541.69,14780006,12181,4926669,175.1568542,173.2531474,177.0753308,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,24615.5,9435387,8205,3145129,172.3611561,170.0542954,174.6898439,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,1752.06,880771,584,293590,147.2746905,140.1553503,154.6501911,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,2316.09,1037627,772,345876,163.5974049,156.6819857,170.7286839,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,2817.06,945349,939,315116,205.1271054,197.2090274,213.2689313,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,3799.78,1410873,1267,470291,197.2761619,190.7794722,203.9305813,Not significantly different from England average
18,E10000008,Devon CC,N/A,2009 - 11,3618.37,1411757,1206,470586,156.1902046,150.6803411,161.8371968,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,2174.73,813943,725,271314,149.8024897,142.885533,156.9423836,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,3010.94,995296,1004,331765,178.8039332,171.7544184,186.046034,Significantly better than England average
22,E10000012,Essex CC,N/A,2009 - 11,6627.12,2470354,2209,823451,183.9601734,179.3022108,188.7034903,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,2587.76,1068210,863,356070,167.9323167,161.1225744,174.9429678,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,5468.36,2360685,1823,786895,160.2128518,155.7452299,164.7706894,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,4449.23,1870546,1483,623515,176.137754,170.6979925,181.6994419,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,7170.86,2531349,2390,843783,197.5887595,192.7685385,202.4938599,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,2009 - 11,6423.58,2042708,2141,680903,228.718584,222.8859188,234.6598265,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,2508.27,1154550,836,384850,159.663317,153.1992567,166.321135,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,3731.78,1313538,1244,437846,191.589374,185.1408376,198.19591,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2009 - 11,4583.64,1570939,1528,523646,182.4454836,176.7624106,188.2540321,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,2881.52,1171039,961,390346,198.2685843,190.8531364,205.8911839,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,2916.34,1124638,972,374879,172.669728,166.0818723,179.4404974,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,3737.02,1411410,1246,470470,195.0584318,188.5942635,201.6808702,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,2292.76,1072336,764,357445,157.5058269,150.7773968,164.4453646,Significantly better than England average
40,E10000027,Somerset CC,N/A,2009 - 11,2559.97,984151,853,328050,164.1295073,157.3381655,171.1223174,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2009 - 11,3787.46,1529207,1262,509736,182.0248232,176.0501133,188.1448288,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2009 - 11,3367.37,1303745,1122,434582,167.9682829,161.9273962,174.1650952,Significantly better than England average
43,E10000030,Surrey CC,N/A,2009 - 11,4262.64,1979790,1421,659930,150.0556422,145.2739275,154.9468837,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2009 - 11,2167.97,967687,723,322562,162.2511164,155.1595962,169.5715622,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2009 - 11,4015.05,1475129,1338,491710,168.8129147,163.1273068,174.6327602,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2009 - 11,2574.09,1031848,858,343949,174.8993012,167.8392685,182.1681882,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2009 - 11,777.35,250578,259,83526,276.1233491,255.8141541,297.5405104,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2009 - 11,1081.9,536165,361,178722,152.9769849,143.3748812,163.0211212,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2009 - 11,1031.56,384376,344,128125,195.1307386,182.7001916,208.1476765,Not significantly different from England average
00AE,E09000005,Brent LB,ONS4.6,2009 - 11,664.8,426360,222,142120,148.4534724,137.1536594,160.4214968,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2009 - 11,1293.86,537028,431,179009,168.9219735,159.1894758,179.0632873,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2009 - 11,628.68,302225,210,100742,192.0069149,176.7789639,208.1617185,Not significantly different from England average
00AH,E09000008,Croydon LB,ONS2.4,2009 - 11,1176.21,552054,392,184018,183.3811995,172.6705446,194.5642527,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2009 - 11,957.36,482290,319,160763,185.9882686,174.0765586,198.483834,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2009 - 11,954.1,461873,318,153958,171.3520052,160.2020537,183.0494317,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2009 - 11,940.49,351339,313,117113,249.2311743,232.9068039,266.3630248,Significantly worse than England average
00AM,E09000012,Hackney LB,ONS4.6,2009 - 11,638.93,293251,213,97750,253.237403,233.617411,274.0416371,Significantly worse than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2009 - 11,530.42,241797,177,80599,225.2949888,206.0319015,245.8382579,Significantly worse than England average
00AP,E09000014,Haringey LB,ONS4.6,2009 - 11,583.78,344498,195,114833,186.7232335,171.6731001,202.7251523,Not significantly different from England average
00AQ,E09000015,Harrow LB,ONS2.4,2009 - 11,618.3,369893,206,123298,129.9341766,119.4218762,141.0918389,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2009 - 11,1204.52,407760,402,135920,198.5768126,186.7106415,210.9600123,Not significantly different from England average
00AS,E09000017,Hillingdon LB,ONS1.3,2009 - 11,907.35,408337,302,136112,178.9515785,166.9830573,191.5231258,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2009 - 11,697.72,355080,233,118360,184.2530965,170.516783,198.7817051,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2009 - 11,668.43,264081,223,88027,264.3530502,244.2399839,285.6521623,Significantly worse than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2009 - 11,453.99,250397,151,83466,163.680135,148.5299659,179.9217764,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2009 - 11,489.86,245505,163,81835,163.1227029,148.1585408,179.1232104,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2009 - 11,779.15,386898,260,128966,233.5168907,217.0005257,250.9332287,Significantly worse than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2009 - 11,890.01,386767,297,128922,235.9784161,220.1738075,252.5872635,Significantly worse than England average
00BA,E09000024,Merton LB,ONS2.4,2009 - 11,537.29,297581,179,99194,155.5707004,142.0837887,169.9479677,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2009 - 11,668.94,343414,223,114471,221.7750146,204.9748065,239.5655246,Significantly worse than England average
00BC,E09000026,Redbridge LB,ONS2.4,2009 - 11,750.75,403006,250,134335,153.5813706,142.2427883,165.5497189,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2009 - 11,604.08,313795,201,104598,159.2347572,146.0838325,173.2027934,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2009 - 11,817.63,377976,273,125992,245.2137065,228.2031549,263.1284518,Significantly worse than England average
00BF,E09000029,Sutton LB,ONS1.3,2009 - 11,805.15,313257,268,104419,201.7472503,187.3230581,216.9442463,Not significantly different from England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2009 - 11,635.5,260428,212,86809,280.6115382,258.5434601,304.0153254,Significantly worse than England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2009 - 11,747.73,354082,249,118027,204.7521689,189.843143,220.4909902,Not significantly different from England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2009 - 11,785.71,395347,262,131782,198.1520622,184.0321212,213.0380832,Not significantly different from England average
00BK,E09000033,City of Westminster LB,ONS3.5,2009 - 11,588.38,320092,196,106697,171.8370338,157.7954217,186.7630556,Significantly better than England average
00BL,E08000001,Bolton MCD,ONS1.2,2009 - 11,1390.67,452899,464,150966,243.8889686,230.8004147,257.507398,Significantly worse than England average
00BM,E08000002,Bury MCD,ONS5.7,2009 - 11,951.92,314338,317,104779,239.6003905,224.1128644,255.8492641,Significantly worse than England average
00BN,E08000003,Manchester MCD,ONS1.2,2009 - 11,2305.36,607187,768,202396,356.198799,341.3048013,371.5588017,Significantly worse than England average
00BP,E08000004,Oldham MCD,ONS1.2,2009 - 11,1189.62,355414,397,118471,273.7748837,257.9779095,290.2645564,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2009 - 11,1084.01,340942,361,113647,262.9125015,247.0303965,279.5250081,Significantly worse than England average
00BR,E08000006,Salford MCD,ONS1.1,2009 - 11,1411.61,355262,471,118421,318.7134426,301.6075295,336.5066018,Significantly worse than England average
00BS,E08000007,Stockport MCD,ONS5.7,2009 - 11,1412.18,503815,471,167938,204.4278809,193.3377585,215.963467,Not significantly different from England average
00BT,E08000008,Tameside MCD,ONS7.11,2009 - 11,1359.35,369958,453,123319,294.8860999,278.9605108,311.4639706,Significantly worse than England average
00BU,E08000009,Trafford MCD,ONS5.7,2009 - 11,1031.59,385712,344,128571,203.9291618,191.0272186,217.4397226,Not significantly different from England average
00BW,E08000010,Wigan MCD,ONS7.12,2009 - 11,1706.19,548148,569,182716,253.3702547,241.2455049,265.9372055,Significantly worse than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2009 - 11,969.5,246109,323,82036,314.1758873,293.9932614,335.3413926,Significantly worse than England average
