ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,491837,657867,74.76237598,74.65726652,74.86719626,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,17604,29765,59.1432891,58.58370006,59.70051838,Significantly worse than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,53710,85132,63.09025983,62.76552051,63.41381785,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,45374,65449,69.32726245,68.97285193,69.67940432,Significantly worse than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,39266,53484,73.41634881,73.04027327,73.78906086,Significantly worse than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,47696,70165,67.97691157,67.63071211,68.32114269,Significantly worse than England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,53424,70506,75.7722747,75.45461444,76.08712675,Significantly better than England average
H,E12000007,London,N/A,2011/12,n/a,n/a,107002,121505,88.06386568,87.88036329,88.24496133,Significantly better than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,81447,103064,79.02565396,78.77601922,79.27312507,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,46314,58797,78.76932497,78.43690563,79.0979853,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,4754,5875,80.91480983,79.88987212,81.8993457,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,5889,7187,81.93961319,81.03324979,82.81185132,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,3368,4945,68.10920121,66.79659817,69.3936903,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,5516,7766,71.03449103,70.01541824,72.0327637,Significantly worse than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,5512,7067,77.99632093,77.01539127,78.94683081,Significantly better than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,2815,3432,82.02214452,80.70183997,83.27084406,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2011/12,,,,,,,,No significance can be calculated
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,11908,16023,74.31707236,73.63484198,74.98764578,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,5119,6518,78.53636085,77.52297332,79.51613172,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,11656,14679,79.40595408,78.74412102,80.05240024,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,11029,14394,76.6222037,75.92374518,77.30645618,Significantly better than England average
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,12485,17068,73.14858214,72.4785476,73.80819902,Significantly worse than England average
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,8898,12971,68.59918279,67.79506138,69.39229089,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,5007,6770,73.95539243,72.89655693,74.98705651,Not significantly different from England average
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,5819,7707,75.49754459,74.52476028,76.44492348,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,6742,8850,76.17903909,75.28028719,77.05507404,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,6960,9137,76.17379884,75.28938624,77.03621225,Significantly better than England average
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,4667,6342,73.57981221,72.48066318,74.65041424,Significantly worse than England average
