ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,97684,2871580,32561,957193,34.01750952,33.80451594,34.23151211,n/a
A,E12000001,North East,N/A,2009 - 11,6007,140976,2002,46992,42.61008966,41.53928658,43.70151267,Significantly worse than England average
B,E12000002,North West,N/A,2009 - 11,15372,391822,5124,130607,39.23210029,38.61433123,39.85727628,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,11342,289862,3781,96621,39.12896482,38.41212284,39.85582359,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,8427,248963,2809,82988,33.84840318,33.12952815,34.57894643,Not significantly different from England average
F,E12000005,West Midlands,N/A,2009 - 11,12334,320027,4111,106676,38.54049815,37.86329844,39.22676931,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,9282,322168,3094,107389,28.8110551,28.22788014,29.4032454,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,13281,405249,4427,135083,32.77244361,32.2174168,33.3346334,Significantly better than England average
J,E12000008,South East,N/A,2009 - 11,13197,471096,4399,157032,28.01339854,27.53746876,28.49549017,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,8442,281417,2814,93806,29.99818774,29.36164715,30.64505091,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,613,29695,204,9898,20.64320593,19.04114767,22.34405297,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,807,32565,269,10855,24.78120682,23.10070258,26.55163997,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,887,26936,296,8979,32.92990793,30.79817265,35.17030697,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,1291,43600,430,14533,29.61009174,28.01671946,31.27046893,Significantly better than England average
18,E10000008,Devon CC,N/A,2009 - 11,1110,38848,370,12949,28.57289951,26.91650283,30.30455169,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,560,22362,187,7454,25.04248278,23.01101741,27.20521233,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,923,28409,308,9470,32.48970397,30.42721308,34.65520195,Not significantly different from England average
22,E10000012,Essex CC,N/A,2009 - 11,2289,78021,763,26007,29.33825509,28.14856071,30.5653073,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,788,32921,263,10974,23.93608943,22.29378783,25.66735982,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,1847,73205,616,24402,25.23051704,24.09286091,26.40802007,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,1467,64543,489,21514,22.72903336,21.58067857,23.92262536,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,2814,84677,938,28226,33.23216458,32.01553631,34.48319066,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,2009 - 11,2466,65317,822,21772,37.75433654,36.27877482,39.27451074,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,932,35867,311,11956,25.98488862,24.34318644,27.70817483,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,1326,38601,442,12867,34.35144167,32.52715456,36.25140185,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2009 - 11,1443,44302,481,14767,32.57189292,30.91278873,34.29690733,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,1396,38281,465,12760,36.46717693,34.5790594,38.43158244,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,737,32829,246,10943,22.44966341,20.85790552,24.13067501,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,1407,43089,469,14363,32.6533454,30.96922668,34.40523731,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,807,33995,269,11332,23.73878512,22.1289713,25.43474498,Significantly better than England average
40,E10000027,Somerset CC,N/A,2009 - 11,897,30659,299,10220,29.25731433,27.37373779,31.2363534,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2009 - 11,1671,47481,557,15827,35.19302458,33.52565818,36.92185032,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2009 - 11,1055,39373,352,13124,26.79501181,25.20231504,28.4619796,Significantly better than England average
43,E10000030,Surrey CC,N/A,2009 - 11,1311,61282,437,20427,21.39290493,20.25040869,22.58306945,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2009 - 11,987,29453,329,9818,33.51101755,31.45271159,35.66864381,Not significantly different from England average
45,E10000032,West Sussex CC,N/A,2009 - 11,1120,41558,373,13853,26.95028635,25.39484094,28.57607673,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2009 - 11,946,31482,315,10494,30.04891684,28.1643257,32.02644807,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2009 - 11,560,11163,187,3721,50.16572606,46.09624396,54.49815983,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2009 - 11,361,18898,120,6299,19.10255053,17.18259572,21.17836753,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2009 - 11,447,14585,149,4862,30.64792595,27.87219977,33.62524072,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2009 - 11,416,15689,139,5230,26.51539295,24.02823641,29.19005847,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2009 - 11,503,17275,168,5758,29.11722142,26.62787377,31.77661644,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2009 - 11,209,8201,70,2734,25.48469699,22.1465479,29.18394701,Significantly better than England average
00AH,E09000008,Croydon LB,ONS2.4,2009 - 11,791,21385,264,7128,36.98854337,34.45541957,39.65862657,Significantly worse than England average
00AJ,E09000009,Ealing LB,ONS2.4,2009 - 11,435,16424,145,5475,26.48563078,24.05480584,29.0955102,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2009 - 11,542,18192,181,6064,29.79331574,27.3375096,32.41051143,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2009 - 11,565,13148,188,4383,42.97231518,39.50150174,46.66636786,Significantly worse than England average
00AM,E09000012,Hackney LB,ONS4.6,2009 - 11,461,12303,154,4101,37.47053564,34.12761185,41.05238288,Significantly worse than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2009 - 11,266,6651,89,2217,39.99398587,35.33173765,45.10035438,Significantly worse than England average
00AP,E09000014,Haringey LB,ONS4.6,2009 - 11,526,12469,175,4156,42.18461785,38.65607641,45.94867309,Significantly worse than England average
00AQ,E09000015,Harrow LB,ONS2.4,2009 - 11,247,13522,82,4507,18.26652862,16.059352,20.69231703,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2009 - 11,457,14158,152,4719,32.27857042,29.38656629,35.37820772,Not significantly different from England average
00AS,E09000017,Hillingdon LB,ONS1.3,2009 - 11,471,15309,157,5103,30.76621595,28.0500334,33.67437697,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2009 - 11,400,12528,133,4176,31.9284802,28.87575365,35.21610129,Not significantly different from England average
00AU,E09000019,Islington LB,ONS3.5,2009 - 11,312,7938,104,2646,39.30461073,35.06384444,43.91692165,Significantly worse than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2009 - 11,113,5264,38,1755,21.46656535,17.69148812,25.808732,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2009 - 11,186,7607,62,2536,24.4511634,21.06336748,28.22878018,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2009 - 11,569,12393,190,4131,45.91301541,42.21746964,49.84538899,Significantly worse than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2009 - 11,617,14197,206,4732,43.45988589,40.09782303,47.02857035,Significantly worse than England average
00BA,E09000024,Merton LB,ONS2.4,2009 - 11,282,9285,94,3095,30.37156704,26.92986019,34.13122184,Not significantly different from England average
00BB,E09000025,Newham LB,ONS4.6,2009 - 11,569,17127,190,5709,33.22239738,30.54832143,36.06784059,Not significantly different from England average
00BC,E09000026,Redbridge LB,ONS2.4,2009 - 11,473,16419,158,5473,28.80808819,26.27003668,31.52513384,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2009 - 11,157,8392,52,2797,18.70829361,15.89634728,21.87433545,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2009 - 11,605,12815,202,4272,47.21030043,43.52279423,51.12674061,Significantly worse than England average
00BF,E09000029,Sutton LB,ONS1.3,2009 - 11,320,10882,107,3627,29.40635913,26.2723438,32.81133892,Significantly better than England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2009 - 11,337,10800,112,3600,31.2037037,27.96075523,34.71954655,Not significantly different from England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2009 - 11,513,13308,171,4436,38.54824166,35.28416389,42.03302494,Significantly worse than England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2009 - 11,348,10272,116,3424,33.87850467,30.41214134,37.63170822,Not significantly different from England average
00BK,E09000033,City of Westminster LB,ONS3.5,2009 - 11,223,6650,74,2217,33.53383459,29.27666892,38.2360036,Not significantly different from England average
00BL,E08000001,Bolton MCD,ONS1.2,2009 - 11,662,16168,221,5389,40.94507669,37.88498653,44.18651684,Significantly worse than England average
00BM,E08000002,Bury MCD,ONS5.7,2009 - 11,397,10712,132,3571,37.06123973,33.50473704,40.89247536,Not significantly different from England average
00BN,E08000003,Manchester MCD,ONS1.2,2009 - 11,1300,24020,433,8007,54.12156536,51.219147,57.14560406,Significantly worse than England average
00BP,E08000004,Oldham MCD,ONS1.2,2009 - 11,540,13785,180,4595,39.17301415,35.93821196,42.6208069,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2009 - 11,489,13080,163,4360,37.3853211,34.14469899,40.85057447,Significantly worse than England average
00BR,E08000006,Salford MCD,ONS1.1,2009 - 11,618,12494,206,4165,49.4637426,45.64025549,53.52201243,Significantly worse than England average
00BS,E08000007,Stockport MCD,ONS5.7,2009 - 11,511,15630,170,5210,32.69353807,29.91991585,35.65508298,Not significantly different from England average
00BT,E08000008,Tameside MCD,ONS7.11,2009 - 11,635,12681,212,4227,50.07491523,46.25531637,54.12579345,Significantly worse than England average
00BU,E08000009,Trafford MCD,ONS5.7,2009 - 11,332,12617,111,4206,26.31370373,23.55901848,29.3020145,Significantly better than England average
00BW,E08000010,Wigan MCD,ONS7.12,2009 - 11,782,17828,261,5943,43.86358537,40.84270094,47.04876604,Significantly worse than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2009 - 11,367,9267,122,3089,39.60289198,35.65430347,43.86928204,Significantly worse than England average
00BY,E08000012,Liverpool MCD,ONS1.1,2009 - 11,990,24480,330,8160,40.44117647,37.96091498,43.04093281,Significantly worse than England average
00BZ,E08000013,St Helens MCD,ONS7.11,2009 - 11,494,10102,165,3367,48.90120768,44.68339051,53.40985405,Significantly worse than England average
00CA,E08000014,Sefton MCD,ONS7.11,2009 - 11,473,15503,158,5168,30.51022383,27.82221068,33.38780704,Significantly better than England average
00CB,E08000015,Wirral MCD,ONS7.11,2009 - 11,746,18227,249,6076,40.92829319,38.04357547,43.97375571,Significantly worse than England average
00CC,E08000016,Barnsley MCD,ONS7.12,2009 - 11,657,13019,219,4340,50.46470543,46.67910635,54.47552984,Significantly worse than England average
00CE,E08000017,Doncaster MCD,ONS7.12,2009 - 11,798,17438,266,5813,45.76212868,42.64168783,49.05052033,Significantly worse than England average
00CF,E08000018,Rotherham MCD,ONS7.12,2009 - 11,652,14959,217,4986,43.58580119,40.30395324,47.0636751,Significantly worse than England average
00CG,E08000019,Sheffield MCD,ONS1.1,2009 - 11,1083,28737,361,9579,37.68660612,35.47522113,39.99973748,Significantly worse than England average
00CH,E08000020,Gateshead MCD,ONS7.11,2009 - 11,414,10657,138,3552,38.84770573,35.1951984,42.77627029,Significantly worse than England average
00CJ,E08000021,Newcastle upon Tyne MCD,ONS1.1,2009 - 11,592,13255,197,4418,44.66239155,41.1365848,48.40956504,Significantly worse than England average
