ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,4307656,,41.07764986,41.04792331,41.10738291,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,300354,,41.36160223,41.24892736,41.47436762,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,721157,,42.95206905,42.87741122,43.02675897,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,496186,,42.02499313,41.93621061,42.11382728,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,378665,,40.34941337,40.2508325,40.44807224,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,451157,,41.26694958,41.17497581,41.35898435,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,434336,,38.37168951,38.28236341,38.46109415,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,412343,,41.86039567,41.76261045,41.95824489,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,669472,,42.23641114,42.15923815,42.31362205,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,443986,,38.07311095,37.98520827,38.16109187,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,29346,,37.53047364,37.19116315,37.87101324,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,43566,,36.1226526,35.85380357,36.39237386,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,45369,,37.51186175,37.24207916,37.78242209,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,72235,,41.00898105,40.78126247,41.23708573,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,61759,,34.74005098,34.52004789,34.96070758,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,38580,,35.0784968,34.79689117,35.36114548,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,44164,,38.45740095,38.17535382,38.74022614,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,106845,,39.83848245,39.65403296,40.02322088,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,44681,,35.90385192,35.63921197,36.16935261,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,110216,,42.46643693,42.27566442,42.65743415,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,75346,,39.31640332,39.09735033,39.53588689,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,124804,,43.55472009,43.3727806,43.73683331,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,115647,,39.33315476,39.1572231,39.50936357,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,47368,,38.36870711,38.1001833,38.63794213,n/a
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,68333,,38.12207123,37.89902687,38.34561773,n/a
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,76404,,35.87818697,35.67542851,36.08145139,n/a
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,57009,,38.01963563,37.77516642,38.26471405,n/a
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,48754,,36.23528045,35.97958279,36.49175949,n/a
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,68390,,41.73422151,41.49763678,41.97118739,n/a
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,45909,,40.68934787,40.40402148,40.97530382,n/a
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,50075,,43.47371225,43.18715814,43.76070317,n/a
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,75446,,38.53349871,38.31932189,38.7481206,n/a
42,E10000029,Suffolk CC,N/A,2011/12,n/a,n/a,56106,,38.51686322,38.26766463,38.76666552,n/a
43,E10000030,Surrey CC,N/A,2011/12,n/a,n/a,80186,,40.28869516,40.07200711,40.50576296,n/a
44,E10000031,Warwickshire CC,N/A,2011/12,n/a,n/a,42335,,40.47389304,40.17838562,40.77009263,n/a
45,E10000032,West Sussex CC,N/A,2011/12,n/a,n/a,68452,,42.67540701,42.43257814,42.9185895,n/a
47,E10000034,Worcestershire CC,N/A,2011/12,n/a,n/a,45753,,39.64622777,39.3654548,39.92768464,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2011/12,n/a,n/a,13335,,47.86171001,47.26894117,48.45508164,n/a
00AC,E09000003,Barnet LB,ONS2.4,2011/12,n/a,n/a,21201,,40.19600717,39.774675,40.61879233,n/a
00AD,E09000004,Bexley LB,ONS5.8,2011/12,n/a,n/a,15569,,37.37253966,36.90960381,37.83779955,n/a
00AE,E09000005,Brent LB,ONS4.6,2011/12,n/a,n/a,9431,,43.20395727,42.54473654,43.865594,n/a
00AF,E09000006,Bromley LB,ONS1.3,2011/12,n/a,n/a,21424,,34.3009578,33.93039349,34.67344525,n/a
00AG,E09000007,Camden LB,ONS3.5,2011/12,n/a,n/a,10779,,41.02312046,40.43267327,41.61616609,n/a
00AH,E09000008,Croydon LB,ONS2.4,2011/12,n/a,n/a,19166,,41.46202915,41.01227012,41.91321586,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2011/12,n/a,n/a,15327,,44.1245389,43.59906554,44.6513316,n/a
00AK,E09000010,Enfield LB,ONS2.4,2011/12,n/a,n/a,15372,,35.52148599,35.07175873,35.97378497,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2011/12,n/a,n/a,12565,,37.13807281,36.62657124,37.65247358,n/a
00AM,E09000012,Hackney LB,ONS4.6,2011/12,n/a,n/a,10475,,44.68535874,44.04678178,45.3256941,n/a
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2011/12,n/a,n/a,10242,,47.90546194,47.23592514,48.57575206,n/a
00AP,E09000014,Haringey LB,ONS4.6,2011/12,n/a,n/a,9248,,38.64367758,38.03059716,39.2603798,n/a
00AQ,E09000015,Harrow LB,ONS2.4,2011/12,n/a,n/a,9549,,39.54730891,38.92394578,40.17408853,n/a
00AR,E09000016,Havering LB,ONS5.8,2011/12,n/a,n/a,19967,,41.19762816,40.75740886,41.63926031,n/a
00AS,E09000017,Hillingdon LB,ONS1.3,2011/12,n/a,n/a,17772,,43.48418373,43.00241782,43.96718354,n/a
00AT,E09000018,Hounslow LB,ONS2.4,2011/12,n/a,n/a,11646,,47.10310435,46.47815467,47.72896353,n/a
00AU,E09000019,Islington LB,ONS3.5,2011/12,n/a,n/a,10527,,40.09735136,39.51123611,40.68631297,n/a
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2011/12,n/a,n/a,7537,,43.78630921,43.04563025,44.52976844,n/a
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2011/12,n/a,n/a,8315,,42.78246508,42.07828009,43.4895864,n/a
00AY,E09000022,Lambeth LB,ONS4.6,2011/12,n/a,n/a,11966,,43.04304367,42.46225933,43.62574873,n/a
00AZ,E09000023,Lewisham LB,ONS4.6,2011/12,n/a,n/a,13979,,39.90153998,39.38629656,40.41902908,n/a
00BA,E09000024,Merton LB,ONS2.4,2011/12,n/a,n/a,8685,,38.65806912,38.01281909,39.30732656,n/a
00BB,E09000025,Newham LB,ONS4.6,2011/12,n/a,n/a,9925,,52.47016988,51.75562094,53.18370881,n/a
00BC,E09000026,Redbridge LB,ONS2.4,2011/12,n/a,n/a,13878,,45.5221012,44.95691825,46.08844006,n/a
