ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,,,19.96459697,19.7898538,20.13934014,n/a
A,E12000001,North East,N/A,2011/12,,,,,21.23336618,20.61476423,21.85196814,Significantly worse than England average
B,E12000002,North West,N/A,2011/12,,,,,22.06924752,21.61812286,22.52037217,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,,,,,22.16263821,21.61159744,22.71367897,Significantly worse than England average
E,E12000004,East Midlands,N/A,2011/12,,,,,19.82392955,19.15750105,20.49035806,Not significantly different from England average
F,E12000005,West Midlands,N/A,2011/12,,,,,19.49722283,18.96913034,20.02531532,Not significantly different from England average
G,E12000006,East of England,N/A,2011/12,,,,,19.55266064,18.96592946,20.13939182,Not significantly different from England average
H,E12000007,London,N/A,2011/12,,,,,18.94632618,18.45941072,19.43324163,Significantly better than England average
J,E12000008,South East,N/A,2011/12,,,,,18.56013495,18.12458948,18.99568041,Significantly better than England average
K,E12000009,South West,N/A,2011/12,,,,,19.19105035,18.66504157,19.71705912,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,,,,,15.38082081,13.55265983,17.20898179,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,,,,,19.50386658,17.50597596,21.5017572,Not significantly different from England average
16,E10000006,Cumbria CC,N/A,2011/12,,,,,21.66416431,19.64305018,23.68527844,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2011/12,,,,,18.5753941,16.74643913,20.40434907,Not significantly different from England average
18,E10000008,Devon CC,N/A,2011/12,,,,,20.21287886,18.4340662,21.99169152,Not significantly different from England average
19,E10000009,Dorset CC,N/A,2011/12,,,,,17.11713671,15.3334223,18.90085113,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2011/12,,,,,19.84395661,17.69484773,21.9930655,Not significantly different from England average
