ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,275666,,45.30695087,45.17943498,45.43452837,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,4539,,43.84460868,42.85875623,44.83534481,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,35945,,46.08103246,45.71559476,46.44689191,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,32847,,48.40938679,48.01981705,48.79914994,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,17604,,43.70401522,43.22216815,44.18705349,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,50949,,47.63283797,47.32493584,47.94092015,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,15021,,42.71390862,42.18732223,43.24215157,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,92496,,44.08250034,43.8689244,44.29629551,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,22348,,44.862929,44.41569372,45.3109966,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,3917,,40.57286334,39.57716283,41.57637727,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,2587,,42.11694854,40.82943582,43.41527188,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,771,,35.72489865,33.69838524,37.80379349,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,136,,36.23328171,31.44920563,41.30659095,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,402,,40.03470894,37.07561483,43.06832825,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,222,,40.8307167,36.61183649,45.18917332,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,123,,42.33768583,36.72429885,48.15609458,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,365,,41.49927116,38.29870395,44.77321928,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,1133,,40.03909128,38.25751764,41.84739821,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,491,,38.3636865,35.71675285,41.08142101,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,1339,,46.89432978,45.05353405,48.74361603,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,3331,,39.5289895,38.48516312,40.58244978,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,1960,,44.89380733,43.4111417,46.38560344,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,6618,,43.68860422,42.86921744,44.51145038,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,1985,,39.30772517,37.9927142,40.6384216,n/a
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,319,,43.10642835,39.57221415,46.71228498,n/a
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,531,,40.85971724,38.17980872,43.59508143,n/a
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,1584,,40.14874467,38.6244495,41.6923318,n/a
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,211,,41.18983838,36.88815641,45.63046901,n/a
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,684,,42.13231693,39.76694814,44.53435515,n/a
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,1372,,44.84767911,43.04209189,46.66695134,n/a
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,158,,48.43265671,42.88721029,54.01697071,n/a
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,1379,,46.31731744,44.47695893,48.16776374,n/a
42,E10000029,Suffolk CC,N/A,2011/12,n/a,n/a,459,,40.74885904,37.82998205,43.73451955,n/a
43,E10000030,Surrey CC,N/A,2011/12,n/a,n/a,2322,,39.89881277,38.64065369,41.17045088,n/a
44,E10000031,Warwickshire CC,N/A,2011/12,n/a,n/a,1224,,39.91913847,38.21744585,41.64552727,n/a
45,E10000032,West Sussex CC,N/A,2011/12,n/a,n/a,1385,,45.87925408,44.06681078,47.70266659,n/a
47,E10000034,Worcestershire CC,N/A,2011/12,n/a,n/a,981,,50.10592571,47.81204344,52.39936217,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2011/12,n/a,n/a,1984,,46.8084184,45.25754578,48.36548189,n/a
00AC,E09000003,Barnet LB,ONS2.4,2011/12,n/a,n/a,3788,,40.52577486,39.54472349,41.51445157,n/a
00AD,E09000004,Bexley LB,ONS5.8,2011/12,n/a,n/a,519,,32.46925511,30.24310494,34.77757404,n/a
00AE,E09000005,Brent LB,ONS4.6,2011/12,n/a,n/a,6589,,41.49428704,40.72898569,42.26371463,n/a
00AF,E09000006,Bromley LB,ONS1.3,2011/12,n/a,n/a,545,,30.57860609,28.51448035,32.72375185,n/a
00AG,E09000007,Camden LB,ONS3.5,2011/12,n/a,n/a,1574,,38.92954284,37.42590882,40.45453158,n/a
00AH,E09000008,Croydon LB,ONS2.4,2011/12,n/a,n/a,3762,,44.54545121,43.49469557,45.60110546,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2011/12,n/a,n/a,9260,,49.31797338,48.60593656,50.03028699,n/a
00AK,E09000010,Enfield LB,ONS2.4,2011/12,n/a,n/a,1672,,34.88938902,33.55979244,36.24292744,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2011/12,n/a,n/a,1020,,38.05981436,36.24897427,39.90449228,n/a
00AM,E09000012,Hackney LB,ONS4.6,2011/12,n/a,n/a,1486,,44.13417783,42.4362738,45.84591073,n/a
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2011/12,n/a,n/a,825,,42.94846053,40.75282471,45.17219873,n/a
00AP,E09000014,Haringey LB,ONS4.6,2011/12,n/a,n/a,1021,,34.74197041,33.0463676,36.477175,n/a
00AQ,E09000015,Harrow LB,ONS2.4,2011/12,n/a,n/a,5916,,39.63282505,38.84916603,40.42184264,n/a
00AR,E09000016,Havering LB,ONS5.8,2011/12,n/a,n/a,578,,41.03923422,38.47109843,43.65716538,n/a
00AS,E09000017,Hillingdon LB,ONS1.3,2011/12,n/a,n/a,5280,,49.09451141,48.14659677,50.0430776,n/a
00AT,E09000018,Hounslow LB,ONS2.4,2011/12,n/a,n/a,4858,,45.18803808,44.25260679,46.12688175,n/a
00AU,E09000019,Islington LB,ONS3.5,2011/12,n/a,n/a,767,,39.44425522,37.29714568,41.63289927,n/a
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2011/12,n/a,n/a,655,,41.14251271,38.77934748,43.5472508,n/a
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2011/12,n/a,n/a,913,,45.90020851,43.7275614,48.08855516,n/a
00AY,E09000022,Lambeth LB,ONS4.6,2011/12,n/a,n/a,1058,,39.24784373,37.42542176,41.10071964,n/a
00AZ,E09000023,Lewisham LB,ONS4.6,2011/12,n/a,n/a,1108,,38.11006473,36.32337957,39.92952471,n/a
00BA,E09000024,Merton LB,ONS2.4,2011/12,n/a,n/a,1659,,37.07964888,35.65478799,38.52735687,n/a
00BB,E09000025,Newham LB,ONS4.6,2011/12,n/a,n/a,9519,,48.196174,47.48721497,48.90586003,n/a
00BC,E09000026,Redbridge LB,ONS2.4,2011/12,n/a,n/a,8370,,48.33521852,47.58693001,49.08425435,n/a
