ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,11273,,37.97715437,37.42262754,38.5348382,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,432,,36.12972203,33.41474409,38.9362999,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,2075,,39.14726506,37.81627207,40.49459754,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,893,,38.92395431,36.90278819,40.98391654,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,613,,37.22424049,34.92020892,39.58781871,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,1220,,44.8820652,42.95638598,46.82321124,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,896,,37.60045605,35.68963796,39.55066187,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,3439,,36.14926455,35.18912484,37.12059708,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,1254,,39.74983171,38.05333305,41.47132965,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,451,,31.32822423,29.00106895,33.75334199,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,56,,30.2608077,24.11160653,37.20931296,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,111,,28.8719495,24.56124587,33.60222567,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,59,,51.15273433,42.38160412,59.85345028,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,43,,25.57682209,19.5668712,32.68265346,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,34,,27.17602721,20.1991812,35.49093981,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,15,,25.02546412,15.87126555,37.12935597,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,46,,36.52396353,28.75260107,45.06715633,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,183,,36.75175269,32.70377821,40.99554572,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,38,,21.67008552,16.28332734,28.23778309,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,178,,43.11904027,38.43588846,47.92857378,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,253,,41.05146572,37.23835962,44.97522436,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,128,,40.12232224,35.01512903,45.45340378,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,149,,37.88122859,33.1456236,42.85966809,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,90,,38.67567848,32.68326295,45.03181346,n/a
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,68,,37.49319049,30.89610343,44.58997934,n/a
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,98,,37.33365453,31.70757122,43.32470662,n/a
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,87,,29.4941948,24.54301271,34.98115657,n/a
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,60,,32.46627317,26.22391529,39.40098498,n/a
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,81,,37.40627686,31.31965008,43.91935744,n/a
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,146,,40.0563852,35.15700822,45.16298237,n/a
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,30,,49.23486199,37.43609914,61.11947736,n/a
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,77,,35.40057715,29.36668167,41.93813566,n/a
