ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,10793919,53107169,20.32478704,20.31396622,20.33561214,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,842033,2596441,32.43027667,32.37336365,32.48724169,Significantly worse than England average
B,E12000002,North West,N/A,2010,n/a,n/a,2304684,7055961,32.66293564,32.62834121,32.69754894,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,1465542,5288212,27.71337458,27.67524317,27.75153837,Significantly worse than England average
E,E12000004,East Midlands,N/A,2010,n/a,n/a,766716,4537448,16.89751596,16.86306451,16.93202346,Significantly better than England average
F,E12000005,West Midlands,N/A,2010,n/a,n/a,1607235,5608667,28.6562743,28.61886873,28.6937091,Significantly worse than England average
G,E12000006,East of England,N/A,2010,n/a,n/a,451124,5862418,7.695186525,7.673640197,7.716788296,Significantly better than England average
H,E12000007,London,N/A,2010,n/a,n/a,2251488,8204407,27.4424221,27.41189913,27.4729662,Significantly worse than England average
J,E12000008,South East,N/A,2010,n/a,n/a,627012,8652784,7.246361402,7.229106268,7.263654498,Significantly better than England average
K,E12000009,South West,N/A,2010,n/a,n/a,478085,5300831,9.019057578,8.994701754,9.043472799,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,0,506550,0,0,0.000758352,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,15751,622312,2.531045521,2.492313977,2.570363101,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,80366,499817,16.07908495,15.97750806,16.18118324,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,94065,770688,12.20532823,12.13243334,12.27859988,Significantly better than England average
18,E10000008,Devon CC,N/A,2010,n/a,n/a,36506,747709,4.882380712,4.833766187,4.931458831,Significantly better than England average
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,18883,413813,4.563172254,4.500010461,4.627177627,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,68847,527209,13.05876796,12.9680833,13.14999096,Significantly better than England average
22,E10000012,Essex CC,N/A,2010,n/a,n/a,83800,1396599,6.000290706,5.961023808,6.039799654,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,42922,598289,7.174124879,7.109009448,7.239790255,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,48502,1322118,3.668507652,3.636598393,3.700686145,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,10639,1119824,0.950060009,0.932260502,0.968196038,Significantly better than England average
29,E10000016,Kent CC,N/A,2010,n/a,n/a,159589,1466466,10.88255711,10.83225625,10.93306292,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,266205,1171558,22.72230654,22.64651742,22.79827453,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,7627,651179,1.17126013,1.145415057,1.197681303,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,83385,714768,11.6660231,11.59180883,11.74064941,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,85201,859426,9.913709848,9.850707213,9.977070837,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,90374,693967,13.02280944,12.94383076,13.10219749,Significantly better than England average
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,27099,601206,4.507440046,4.455287246,4.560174198,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,127041,786796,16.14662505,16.06548519,16.22809547,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2010,n/a,n/a,32341,654791,4.93913325,4.88691357,4.991881644,Significantly better than England average
40,E10000027,Somerset CC,N/A,2010,n/a,n/a,19667,531581,3.699718387,3.649310766,3.75079518,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2010,n/a,n/a,78826,849546,9.278602924,9.217091803,9.34048231,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2010,n/a,n/a,53924,730133,7.385503737,7.325737989,7.445717899,Significantly better than England average
43,E10000030,Surrey CC,N/A,2010,n/a,n/a,3119,1135367,0.274712934,0.265252032,0.284510322,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2010,n/a,n/a,31767,546554,5.812234473,5.750514688,5.874575401,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2010,n/a,n/a,29352,808919,3.628546245,3.588015161,3.669517752,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2010,n/a,n/a,56425,566557,9.959280355,9.881575852,10.03752783,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2010,n/a,n/a,98290,187029,52.55334734,52.32699094,52.77959886,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2010,n/a,n/a,20257,357538,5.665691479,5.590387823,5.741947798,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2010,n/a,n/a,22090,232774,9.489891483,9.371500719,9.609619297,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2010,n/a,n/a,86226,312245,27.61485372,27.45831164,27.77194659,Significantly worse than England average
00AF,E09000006,Bromley LB,ONS1.3,2010,n/a,n/a,24091,310554,7.75742705,7.663867235,7.852031907,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2010,n/a,n/a,54280,220087,24.66297419,24.48333232,24.84350052,Significantly worse than England average
00AH,E09000008,Croydon LB,ONS2.4,2010,n/a,n/a,62304,364815,17.07824514,16.95647734,17.20070625,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2010,n/a,n/a,70973,339314,20.91661411,20.78009667,21.05379006,Significantly worse than England average
00AK,E09000010,Enfield LB,ONS2.4,2010,n/a,n/a,86710,313935,27.62036727,27.46423665,27.77704558,Significantly worse than England average
00AL,E09000011,Greenwich LB,ONS2.4,2010,n/a,n/a,111276,255483,43.55514848,43.36298235,43.74750842,Significantly worse than England average
00AM,E09000012,Hackney LB,ONS4.6,2010,n/a,n/a,196911,247182,79.66235405,79.50321569,79.82057046,Significantly worse than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2010,n/a,n/a,47611,182445,26.09608375,25.89507534,26.29809876,Significantly worse than England average
00AP,E09000014,Haringey LB,ONS4.6,2010,n/a,n/a,145496,255540,56.9366831,56.74459473,57.12856293,Significantly worse than England average
