ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010/11,n/a,n/a,298752,34754800,8.595992496,8.565195777,8.626872544,n/a
A,E12000001,North East,N/A,2010/11,n/a,n/a,18290,1710600,10.69223882,10.53783727,10.84833659,Significantly worse than England average
B,E12000002,North West,N/A,2010/11,n/a,n/a,49426,4624900,10.68697662,10.59296563,10.78161436,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2010/11,n/a,n/a,35308,3459200,10.20688561,10.10069465,10.31391477,Significantly worse than England average
E,E12000004,East Midlands,N/A,2010/11,n/a,n/a,24208,2964600,8.16565593,8.063112426,8.269177844,Significantly better than England average
F,E12000005,West Midlands,N/A,2010/11,n/a,n/a,34498,3611900,9.551104212,9.450579094,9.652432114,Significantly worse than England average
G,E12000006,East of England,N/A,2010/11,n/a,n/a,23851,3766300,6.332841301,6.252723796,6.413728963,Significantly better than England average
H,E12000007,London,N/A,2010/11,n/a,n/a,52623,5648700,9.315910564,9.236483231,9.395851036,Significantly worse than England average
J,E12000008,South East,N/A,2010/11,n/a,n/a,33170,5593100,5.930432537,5.866780831,5.994602682,Significantly better than England average
K,E12000009,South West,N/A,2010/11,n/a,n/a,27379,3375500,8.111026073,8.015230502,8.207680842,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2010/11,n/a,n/a,1666,325100,5.124577053,4.881426448,5.376703932,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2010/11,n/a,n/a,2172,411500,5.278250304,5.05858297,5.505002048,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2010/11,n/a,n/a,2599,320500,8.110036044,7.801222743,8.427939659,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2010/11,n/a,n/a,3607,499600,7.22022752,6.986508415,7.459772411,Significantly better than England average
18,E10000008,Devon CC,N/A,2010/11,n/a,n/a,2117,463200,4.570379965,4.377743661,4.769310535,Significantly better than England average
19,E10000009,Dorset CC,N/A,2010/11,n/a,n/a,1436,246900,5.816119887,5.519154238,6.124912255,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2010/11,n/a,n/a,2264,320400,7.066167291,6.778066028,7.363365955,Significantly better than England average
22,E10000012,Essex CC,N/A,2010/11,n/a,n/a,4556,894200,5.09525114,4.94836341,5.245391809,Significantly better than England average
