ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,105129.57,145722843,35043,48574281,60.9422929,60.57152449,61.31475424,n/a
A,E12000001,North East,N/A,2009 - 11,6276.16,7132468,2092,2377489,69.41009476,67.68531304,71.16736226,Significantly worse than England average
B,E12000002,North West,N/A,2009 - 11,17615.67,19445212,5872,6481737,74.18941881,73.08741438,75.30376056,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,12019.05,14543842,4006,4847947,68.43730139,67.20752379,69.68376859,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,9666.92,12451100,3222,4150367,62.36600378,61.11707029,63.63385307,Significantly worse than England average
F,E12000005,West Midlands,N/A,2009 - 11,11850.15,15394090,3950,5131363,63.56078445,62.40899827,64.72831362,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,10749.8,15959682,3583,5319894,53.89954653,52.87470684,54.93909909,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,12440.57,22920250,4147,7640083,62.69764422,61.5944489,63.81555354,Significantly worse than England average
J,E12000008,South East,N/A,2009 - 11,14737.8,23586403,4913,7862134,51.14548999,50.31597353,51.98516536,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,9773.44,14289796,3258,4763265,50.55938575,49.54541227,51.58863182,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,808.47,1391908,269,463969,47.25092608,44.02711299,50.64709373,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,989.82,1704014,330,568005,48.77577505,45.76546852,51.93112652,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,1284.68,1359499,428,453166,64.5646886,61.00254528,68.27700465,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,1798.02,2109391,599,703130,62.50757455,59.61620784,65.50160936,Not significantly different from England average
18,E10000008,Devon CC,N/A,2009 - 11,1430.81,1987949,477,662650,47.01874999,44.54456453,49.59165289,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,729.55,1081347,243,360449,41.25190358,38.19628027,44.47976273,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,1049.63,1388385,350,462795,50.3262453,47.24311391,53.55352679,Significantly better than England average
22,E10000012,Essex CC,N/A,2009 - 11,2581.41,3802719,860,1267573,51.81014334,49.80537099,53.87413577,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,1078.23,1624249,359,541416,50.18323936,47.19605842,53.30817256,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,2072.09,3592048,691,1197349,43.955983,42.06083699,45.91373115,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,1791.36,3068009,597,1022670,51.75388483,49.37480838,54.21759866,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,2946.18,3983013,982,1327671,57.9841892,55.88154622,60.14491097,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2009 - 11,2942.63,3212310,981,1070770,70.38854805,67.83145122,73.01631984,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,1210.06,1780803,403,593601,52.27599971,49.33980061,55.33983202,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,1745.63,1932038,582,644013,62.1090288,59.15471693,65.16983734,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2009 - 11,1801.56,2293957,601,764652,53.25478152,50.75282024,55.84549461,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,1353.32,1922726,451,640909,60.52594873,57.32590343,63.85735789,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,1303.64,1624965,435,541655,54.80696981,51.80560003,57.93392637,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,1678.15,2156517,559,718839,58.52015216,55.72132008,61.42192505,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,940.41,1800579,313,600193,45.48125102,42.60144555,48.50350948,Significantly better than England average
40,E10000027,Somerset CC,N/A,2009 - 11,965.51,1425104,322,475035,46.5432236,43.59290766,49.63751992,Significantly better than England average
