ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,Aug 2008 - Jul 2011,82392.5,432487.5,27464,144162,19.05083962,18.6408231,19.46227313,n/a
A,E12000001,North East,N/A,Aug 2008 - Jul 2011,4126.5,24643.5,1376,8214,16.74478057,15.05936797,18.45488143,Significantly better than England average
B,E12000002,North West,N/A,Aug 2008 - Jul 2011,11758,63848,3919,21283,18.41561208,17.35534255,19.48546082,Not significantly different from England average
D,E12000003,Yorkshire and the Humber,N/A,Aug 2008 - Jul 2011,8391,46016,2797,15339,18.23496175,16.98834709,19.4948602,Not significantly different from England average
E,E12000004,East Midlands,N/A,Aug 2008 - Jul 2011,7563.5,38446.5,2521,12816,19.67279206,18.29825931,21.0632958,Not significantly different from England average
F,E12000005,West Midlands,N/A,Aug 2008 - Jul 2011,9445.5,47087.5,3148,15696,20.05946376,18.81398105,21.3180024,Not significantly different from England average
G,E12000006,East of England,N/A,Aug 2008 - Jul 2011,9115.5,48321.5,3038,16107,18.86427367,17.64315615,20.09806619,Not significantly different from England average
H,E12000007,London,N/A,Aug 2008 - Jul 2011,8650.5,45187.5,2884,15062,19.14356846,17.87899656,20.42170633,Not significantly different from England average
J,E12000008,South East,N/A,Aug 2008 - Jul 2011,14223,69945,4741,23315,20.33454857,19.31006877,21.36782528,Significantly worse than England average
K,E12000009,South West,N/A,Aug 2008 - Jul 2011,9119,48992,3040,16331,18.61324298,17.40222973,19.83674792,Not significantly different from England average
11,E10000002,Buckinghamshire CC,N/A,Aug 2008 - Jul 2011,754.5,3595.5,252,1198,20.98456404,16.51466009,25.62594891,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,Aug 2008 - Jul 2011,652,4553,217,1518,14.32022842,10.49243869,18.28062428,Significantly better than England average
16,E10000006,Cumbria CC,N/A,Aug 2008 - Jul 2011,758.5,5164.5,253,1722,14.68680414,11.0811067,18.40954268,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,Aug 2008 - Jul 2011,1388.5,7061.5,463,2354,19.66296113,16.48046756,22.93240718,Not significantly different from England average
18,E10000008,Devon CC,N/A,Aug 2008 - Jul 2011,1463.5,7665.5,488,2555,19.09203574,16.04592416,22.2181053,Not significantly different from England average
19,E10000009,Dorset CC,N/A,Aug 2008 - Jul 2011,740,4475,247,1492,16.53631285,12.62451622,20.58397823,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,Aug 2008 - Jul 2011,1192,5815,397,1938,20.49871023,16.97956591,24.12372242,Not significantly different from England average
22,E10000012,Essex CC,N/A,Aug 2008 - Jul 2011,2456.5,11920.5,819,3974,20.60735707,18.13691475,23.12946051,Not significantly different from England average
23,E10000013,Gloucestershire CC,N/A,Aug 2008 - Jul 2011,1044.5,5149.5,348,1716,20.28352267,16.55197727,24.13453779,Not significantly different from England average
24,E10000014,Hampshire CC,N/A,Aug 2008 - Jul 2011,2199,10677,733,3559,20.59567294,17.98703441,23.26198726,Not significantly different from England average
26,E10000015,Hertfordshire CC,N/A,Aug 2008 - Jul 2011,1607.5,8305.5,536,2768,19.35464451,16.4223014,22.36084492,Not significantly different from England average
29,E10000016,Kent CC,N/A,Aug 2008 - Jul 2011,2646,12694,882,4231,20.84449346,18.44648092,23.29105505,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,Aug 2008 - Jul 2011,1881.5,11153.5,627,3718,16.86914421,14.37090149,19.42195691,Not significantly different from England average
31,E10000018,Leicestershire CC,N/A,Aug 2008 - Jul 2011,1201,5115,400,1705,23.4799609,19.66725997,27.41413773,Significantly worse than England average
32,E10000019,Lincolnshire CC,N/A,Aug 2008 - Jul 2011,1291.5,7042.5,430,2348,18.33865815,15.17633541,21.58780675,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,Aug 2008 - Jul 2011,1504.5,8494.5,502,2832,17.71146036,14.83912345,20.65563967,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,Aug 2008 - Jul 2011,988.5,5336.5,330,1779,18.52337675,14.89397504,22.26742813,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,Aug 2008 - Jul 2011,1027,5666,342,1889,18.12566184,14.60992773,21.74924339,Not significantly different from England average
37,E10000024,Nottinghamshire CC,N/A,Aug 2008 - Jul 2011,1448,7094,483,2365,20.41161545,17.22259358,23.68739415,Not significantly different from England average
