ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010/11,n/a,n/a,1168266,52234045,1895.180923,1891.633716,1898.73298,n/a
A,E12000001,North East,N/A,2010/11,n/a,n/a,80671,2606625,2596.529335,2578.027838,2615.127303,Significantly worse than England average
B,E12000002,North West,N/A,2010/11,n/a,n/a,195991,6969638,2425.494364,2414.44167,2436.583995,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2010/11,n/a,n/a,119745,5298784,1941.440676,1930.117795,1952.811991,Significantly worse than England average
E,E12000004,East Midlands,N/A,2010/11,n/a,n/a,97581,4449997,1812.632799,1800.858872,1824.462531,Significantly better than England average
F,E12000005,West Midlands,N/A,2010/11,n/a,n/a,123708,5455179,1910.265116,1899.243904,1921.332708,Significantly worse than England average
G,E12000006,East of England,N/A,2010/11,n/a,n/a,119385,5831845,1631.062594,1621.42125,1640.745242,Significantly better than England average
H,E12000007,London,N/A,2010/11,n/a,n/a,146391,7825177,1911.717716,1901.634618,1921.839814,Significantly worse than England average
J,E12000008,South East,N/A,2010/11,n/a,n/a,152804,8517953,1455.067699,1447.462609,1462.70158,Significantly better than England average
K,E12000009,South West,N/A,2010/11,n/a,n/a,119554,5278847,1753.699165,1743.167754,1764.275662,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2010/11,n/a,n/a,7043,498072,1137.079976,1109.608029,1165.040099,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2010/11,n/a,n/a,13550,616282,1828.770983,1797.171065,1860.774619,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2010/11,n/a,n/a,12413,494350,1924.326089,1888.324113,1960.808782,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2010/11,n/a,n/a,18656,763724,1908.9927,1880.241951,1938.056168,Not significantly different from England average
18,E10000008,Devon CC,N/A,2010/11,n/a,n/a,16794,749944,1593.175393,1566.899079,1619.753037,Significantly better than England average
19,E10000009,Dorset CC,N/A,2010/11,n/a,n/a,8876,404789,1466.253956,1430.779597,1502.289219,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2010/11,n/a,n/a,11712,515522,1610.502219,1577.877836,1643.575167,Significantly better than England average
22,E10000012,Essex CC,N/A,2010/11,n/a,n/a,27578,1413025,1514.86988,1496.151211,1533.755828,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2010/11,n/a,n/a,13145,593527,1723.154264,1692.209865,1754.500097,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2010/11,n/a,n/a,22318,1296814,1357.434513,1338.693043,1376.362259,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2010/11,n/a,n/a,18432,1107521,1402.463186,1381.56654,1423.588504,Significantly better than England average
29,E10000016,Kent CC,N/A,2010/11,n/a,n/a,27760,1427418,1542.87115,1523.845702,1562.066057,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2010/11,n/a,n/a,32460,1169270,2290.326657,2264.441522,2316.424929,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2010/11,n/a,n/a,12046,648748,1487.971495,1460.281097,1516.037259,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2010/11,n/a,n/a,15641,703008,1661.073732,1633.175557,1689.303491,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2010/11,n/a,n/a,20125,862346,1677.217015,1652.28601,1702.409049,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2010/11,n/a,n/a,13333,687319,1663.512445,1634.660643,1692.735864,Significantly better than England average
36,E10000023,North Yorkshire CC,N/A,2010/11,n/a,n/a,13275,599708,1640.908474,1611.10475,1671.096925,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2010/11,n/a,n/a,17335,779890,1773.714827,1746.242525,1801.497182,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2010/11,n/a,n/a,9495,648722,1245.480443,1219.721147,1271.633432,Significantly better than England average
