ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,107511,53107169,207.8915426,206.6438591,209.1448593,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,8743,2596441,353.7240864,346.2921247,361.2744585,Significantly worse than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,18510,7055961,271.8455749,267.9225168,275.8114723,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,12473,5288212,242.3160868,238.0575849,246.6313126,Significantly worse than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,9109,4537448,208.8472592,204.5479535,213.2136618,Not significantly different from England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,11716,5608667,217.564776,213.6217082,221.5620489,Significantly worse than England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,9126,5862418,164.176914,160.7964625,167.6100727,Significantly better than England average
H,E12000007,London,N/A,2011/12,n/a,n/a,9438,8204407,112.1535641,109.8492892,114.4931628,Significantly better than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,16331,8652784,198.1218184,195.0698416,201.20929,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,12065,5300831,244.8031478,240.4035259,249.2623633,Significantly worse than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,400,506550,85.07994891,76.80972035,93.98653692,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,1386,622312,228.2698935,216.3380664,240.6855916,Significantly worse than England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,1169,499817,266.3860209,251.0384577,282.4126195,Significantly worse than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,1725,770688,244.1405447,232.546188,256.1553946,Significantly worse than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,1532,747709,231.1814526,219.477584,243.3362771,Significantly worse than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,704,413813,200.2268612,185.0674991,216.2565535,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,746,527209,162.5583418,150.781755,174.991154,Significantly better than England average
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,1848,1396599,141.4703507,135.0076411,148.1593572,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,1411,598289,252.2059729,239.0502343,265.8903642,Significantly worse than England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,2675,1322118,220.1074799,211.709466,228.7491193,Significantly worse than England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,1188,1119824,110.231352,103.9980215,116.7382017,Significantly better than England average
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,3141,1466466,227.6859047,219.7085494,235.8765641,Significantly worse than England average
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,3131,1171558,285.3937471,275.4010294,295.6540897,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,783,651179,125.7984361,117.0151115,135.0591434,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,1445,714768,222.4324799,210.9131294,234.4091291,Significantly worse than England average
33,E10000020,Norfolk CC,N/A,2011/12,n/a,n/a,1797,859426,228.8340613,218.2241225,239.8208522,Significantly worse than England average
34,E10000021,Northamptonshire CC,N/A,2011/12,n/a,n/a,1696,693967,259.6469714,247.3449872,272.3989867,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2011/12,n/a,n/a,902,601206,167.5980865,156.5414095,179.2135347,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2011/12,n/a,n/a,1400,786796,189.4531719,179.5096638,199.7978531,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2011/12,n/a,n/a,1103,654791,171.7108747,161.6710958,182.2082745,Significantly better than England average
40,E10000027,Somerset CC,N/A,2011/12,n/a,n/a,1101,531581,233.6947668,219.7569482,248.2684732,Significantly worse than England average
41,E10000028,Staffordshire CC,N/A,2011/12,n/a,n/a,1533,849546,194.7797826,185.0207151,204.9147467,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2011/12,n/a,n/a,1260,730133,193.0467925,182.4017068,204.1451289,Significantly better than England average
43,E10000030,Surrey CC,N/A,2011/12,n/a,n/a,1357,1135367,128.1738467,121.3402999,135.2875256,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2011/12,n/a,n/a,1084,546554,212.2878918,199.7002988,225.4543692,Not significantly different from England average
45,E10000032,West Sussex CC,N/A,2011/12,n/a,n/a,1537,808919,211.895042,201.2277127,222.9727058,Not significantly different from England average
47,E10000034,Worcestershire CC,N/A,2011/12,n/a,n/a,1151,566557,223.1547314,210.2564111,236.6282764,Significantly worse than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2011/12,n/a,n/a,343,187029,186.5091344,166.9640453,207.6838458,Significantly better than England average
00AC,E09000003,Barnet LB,ONS2.4,2011/12,n/a,n/a,429,357538,121.1744137,109.8143077,133.3773693,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2011/12,n/a,n/a,236,232774,105.9341191,92.7806208,120.4220659,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2011/12,n/a,n/a,217,312245,68.02967047,59.10452542,77.90130164,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2011/12,n/a,n/a,372,310554,129.1144412,116.0712857,143.1999889,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2011/12,n/a,n/a,220,220087,95.24394166,82.47825052,109.3536142,Significantly better than England average
00AH,E09000008,Croydon LB,ONS2.4,2011/12,n/a,n/a,529,364815,144.2334058,132.1413346,157.1301926,Significantly better than England average
00AJ,E09000009,Ealing LB,ONS2.4,2011/12,n/a,n/a,434,339314,126.3426931,114.4432163,139.1197343,Significantly better than England average
00AK,E09000010,Enfield LB,ONS2.4,2011/12,n/a,n/a,270,313935,84.93415679,74.99623246,95.81136024,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2011/12,n/a,n/a,309,255483,118.9640492,105.8606978,133.2212424,Significantly better than England average
00AM,E09000012,Hackney LB,ONS4.6,2011/12,n/a,n/a,229,254594,89.37552792,77.44420285,102.5366847,Significantly better than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2011/12,n/a,n/a,260,182445,145.772223,127.3899252,165.9267263,Significantly better than England average
00AP,E09000014,Haringey LB,ONS4.6,2011/12,n/a,n/a,271,255540,103.9243364,91.48081737,117.5416678,Significantly better than England average
00AQ,E09000015,Harrow LB,ONS2.4,2011/12,n/a,n/a,203,240499,83.9220026,72.63579015,96.44805241,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2011/12,n/a,n/a,332,237927,144.033197,128.822247,160.5341912,Significantly better than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2011/12,n/a,n/a,516,275499,184.1215003,168.4889778,200.80785,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2011/12,n/a,n/a,389,254927,149.0922867,134.3142509,165.0240666,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2011/12,n/a,n/a,337,206285,157.1987784,139.7074727,176.1619788,Significantly better than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2011/12,n/a,n/a,144,158251,90.22977944,75.30505096,107.1227208,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2011/12,n/a,n/a,125,160436,75.88987685,62.99486995,90.61948278,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2011/12,n/a,n/a,252,304481,81.4250808,70.88349214,92.99981324,Significantly better than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2011/12,n/a,n/a,366,276938,127.6831533,114.591424,141.8300694,Significantly better than England average
00BA,E09000024,Merton LB,ONS2.4,2011/12,n/a,n/a,139,200543,70.65401662,59.01140948,83.86132378,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2011/12,n/a,n/a,454,310460,137.9830717,124.7100492,152.2123042,Significantly better than England average
00BC,E09000026,Redbridge LB,ONS2.4,2011/12,n/a,n/a,352,281395,124.2318113,111.4772828,138.0354912,Significantly better than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2011/12,n/a,n/a,185,187527,108.5672798,93.01541924,125.9137613,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2011/12,n/a,n/a,215,288717,72.19716738,62.32466047,83.12176064,Significantly better than England average
00BF,E09000029,Sutton LB,ONS1.3,2011/12,n/a,n/a,251,191123,132.4508455,116.3467634,150.1365382,Significantly better than England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2011/12,n/a,n/a,144,256012,51.23665642,42.45995082,61.17079845,Significantly better than England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2011/12,n/a,n/a,465,259742,174.12734,158.2635288,191.1198851,Significantly better than England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2011/12,n/a,n/a,252,307710,84.03655328,73.05319627,96.09635022,Significantly better than England average
00BK,E09000033,City of Westminster LB,ONS3.5,2011/12,n/a,n/a,198,219582,84.35668648,72.2072608,97.85851952,Significantly better than England average
00BL,E08000001,Bolton MCD,ONS1.2,2011/12,n/a,n/a,602,277296,224.3119483,206.6799067,243.0414681,Not significantly different from England average
00BM,E08000002,Bury MCD,ONS5.7,2011/12,n/a,n/a,431,185422,245.600762,222.779355,270.1112862,Significantly worse than England average
00BN,E08000003,Manchester MCD,ONS1.2,2011/12,n/a,n/a,1218,502902,232.6883848,219.1677146,246.7948177,Significantly worse than England average
00BP,E08000004,Oldham MCD,ONS1.2,2011/12,n/a,n/a,593,225157,276.324097,254.4663281,299.5530026,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2011/12,n/a,n/a,590,211929,288.2033244,265.3449923,312.4993234,Significantly worse than England average
00BR,E08000006,Salford MCD,ONS1.1,2011/12,n/a,n/a,956,234487,401.5308547,376.239827,428.062414,Significantly worse than England average
00BS,E08000007,Stockport MCD,ONS5.7,2011/12,n/a,n/a,661,283253,255.8679853,236.5132964,276.3705855,Significantly worse than England average
00BT,E08000008,Tameside MCD,ONS7.11,2011/12,n/a,n/a,650,219727,306.1481671,282.9138262,330.7725063,Significantly worse than England average
00BU,E08000009,Trafford MCD,ONS5.7,2011/12,n/a,n/a,362,227091,170.7669944,153.3602867,189.5847423,Significantly better than England average
00BW,E08000010,Wigan MCD,ONS7.12,2011/12,n/a,n/a,1006,318122,330.9606464,310.6473139,352.244624,Significantly worse than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2011/12,n/a,n/a,414,145903,293.7247848,265.8881127,323.6653579,Significantly worse than England average
00BY,E08000012,Liverpool MCD,ONS1.1,2011/12,n/a,n/a,723,465656,151.9610637,140.8838875,163.6655329,Significantly better than England average
00BZ,E08000013,St Helens MCD,ONS7.11,2011/12,n/a,n/a,661,175405,407.1790727,376.4843227,439.6943039,Significantly worse than England average
