ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2008 - 10,23056,143322008,7685,47774003,14.5,14.31,14.69,n/a
A,E12000001,North East,N/A,2008 - 10,1080,7133016,360,2377672,13.45,12.64,14.26,Significantly better than England average
B,E12000002,North West,N/A,2008 - 10,3327,19102435,1109,6367478,15.72,15.18,16.26,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2008 - 10,2203,14563461,734,4854487,13.87,13.29,14.45,Significantly better than England average
E,E12000004,East Midlands,N/A,2008 - 10,2052,12302882,684,4100961,14.66,14.02,15.3,Not significantly different from England average
F,E12000005,West Midlands,N/A,2008 - 10,2097,14995075,699,4998358,12.5,11.96,13.04,Significantly better than England average
G,E12000006,East of England,N/A,2008 - 10,2850,15872959,950,5290986,15.64,15.06,16.22,Significantly worse than England average
H,E12000007,London,N/A,2008 - 10,1900,21934284,633,7311428,9.07,8.65,9.49,Significantly better than England average
J,E12000008,South East,N/A,2008 - 10,4420,23204575,1473,7734858,16.73,16.23,17.23,Significantly worse than England average
K,E12000009,South West,N/A,2008 - 10,3127,14213321,1042,4737774,18.44,17.78,19.1,Significantly worse than England average
11,E10000002,Buckinghamshire CC,N/A,2008 - 10,243,1370993,81,456998,15.3,13.36,17.24,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,2008 - 10,371,1687395,124,562465,19.58,17.57,21.59,Significantly worse than England average
16,E10000006,Cumbria CC,N/A,2008 - 10,231,1345135,77,448378,13.37,11.59,15.15,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2008 - 10,372,2088566,124,696189,15.11,13.54,16.68,Not significantly different from England average
18,E10000008,Devon CC,N/A,2008 - 10,582,2000908,194,666969,22.75,20.82,24.68,Significantly worse than England average
19,E10000009,Dorset CC,N/A,2008 - 10,310,1060074,103,353358,20.98,18.47,23.49,Significantly worse than England average
21,E10000011,East Sussex CC,N/A,2008 - 10,305,1353766,102,451255,17.85,15.76,19.94,Significantly worse than England average
22,E10000012,Essex CC,N/A,2008 - 10,724,3840159,241,1280053,16.15,14.96,17.34,Significantly worse than England average
23,E10000013,Gloucestershire CC,N/A,2008 - 10,263,1608792,88,536264,13.47,11.81,15.13,Not significantly different from England average
24,E10000014,Hampshire CC,N/A,2008 - 10,850,3529911,283,1176637,20.07,18.7,21.44,Significantly worse than England average
26,E10000015,Hertfordshire CC,N/A,2008 - 10,482,3033890,161,1011297,14.74,13.42,16.06,Not significantly different from England average
29,E10000016,Kent CC,N/A,2008 - 10,664,3876386,221,1292129,14.73,13.59,15.87,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,2008 - 10,652,3210856,217,1070285,17.65,16.27,19.03,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2008 - 10,337,1777802,112,592601,15.97,14.24,17.7,Not significantly different from England average
32,E10000019,Lincolnshire CC,N/A,2008 - 10,319,1897238,106,632413,13.41,11.87,14.95,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2008 - 10,469,2300720,156,766907,15.88,14.4,17.36,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2008 - 10,352,1908058,117,636019,16.54,14.8,18.28,Significantly worse than England average
36,E10000023,North Yorkshire CC,N/A,2008 - 10,313,1622492,104,540831,15.76,13.96,17.56,Not significantly different from England average
37,E10000024,Nottinghamshire CC,N/A,2008 - 10,403,2136242,134,712081,15.93,14.35,17.51,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2008 - 10,462,1779528,154,593176,24.12,21.91,26.33,Significantly worse than England average
40,E10000027,Somerset CC,N/A,2008 - 10,357,1410339,119,470113,20.94,18.68,23.2,Significantly worse than England average
41,E10000028,Staffordshire CC,N/A,2008 - 10,362,2284763,121,761588,13.13,11.75,14.51,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2008 - 10,403,1940447,134,646816,16.92,15.23,18.61,Significantly worse than England average
43,E10000030,Surrey CC,N/A,2008 - 10,565,3058791,188,1019597,16.3,14.94,17.66,Significantly worse than England average
44,E10000031,Warwickshire CC,N/A,2008 - 10,242,1471960,81,490653,14,12.21,15.79,Not significantly different from England average
45,E10000032,West Sussex CC,N/A,2008 - 10,432,2129024,144,709675,16.61,15.01,18.21,Significantly worse than England average
47,E10000034,Worcestershire CC,N/A,2008 - 10,292,1523574,97,507858,15.82,13.96,17.68,Not significantly different from England average
