ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.91014127,78.87884204,78.9414405,n/a
A,E12000001,North East,N/A,2009 - 11,n/a,n/a,n/a,n/a,77.49621215,77.35776211,77.6346622,Significantly worse than England average
B,E12000002,North West,N/A,2009 - 11,n/a,n/a,n/a,n/a,77.39239187,77.30635942,77.47842433,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.0898004,77.99140638,78.18819441,Significantly worse than England average
E,E12000004,East Midlands,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.74912288,78.64406782,78.85417795,Significantly worse than England average
F,E12000005,West Midlands,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.42704042,78.33007618,78.52400467,Significantly worse than England average
G,E12000006,East of England,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.86094166,79.7687013,79.95318202,Significantly better than England average
H,E12000007,London,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.31426423,79.22367282,79.40485565,Significantly better than England average
J,E12000008,South East,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.99838125,79.92178114,80.07498136,Significantly better than England average
K,E12000009,South West,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.7592819,79.66234258,79.85622123,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.59631796,80.27013519,80.92250073,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.61469979,80.32506363,80.90433595,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.67613374,78.36169018,78.9905773,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.02877938,78.77782956,79.27972921,Not significantly different from England average
18,E10000008,Devon CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.32015156,80.06204788,80.57825524,Significantly better than England average
19,E10000009,Dorset CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,81.07495724,80.72569705,81.42421744,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.47054906,79.15460911,79.78648902,Significantly better than England average
22,E10000012,Essex CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.90773665,79.72235135,80.09312195,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.77473664,79.48245005,80.06702323,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.82219224,80.6283562,81.01602828,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.24696273,80.03710404,80.45682143,Significantly better than England average
29,E10000016,Kent CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.37330267,79.19153027,79.55507507,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,77.81691417,77.60464668,78.02918166,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.81605513,79.53955267,80.09255759,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.94026127,78.6830078,79.19751474,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.72840979,79.48704623,79.96977336,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.81956283,78.54484522,79.09428043,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.85216218,79.56605335,80.13827102,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,78.9595537,78.71696775,79.20213966,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.28008246,79.99490849,80.56525644,Significantly better than England average
40,E10000027,Somerset CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.01105575,79.70852292,80.31358859,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.04172331,78.79769766,79.28574895,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.25817342,79.99806487,80.51828197,Significantly better than England average
43,E10000030,Surrey CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,81.06931449,80.85758424,81.28104474,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.49647132,79.19705743,79.79588521,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,80.22840673,79.98572707,80.47108638,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2009 - 11,n/a,n/a,n/a,n/a,79.64814813,79.35741464,79.93888161,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2009 - 11,n/a,n/a,n/a,n/a,77.17047168,76.59414964,77.74679373,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2009 - 11,n/a,n/a,n/a,n/a,80.75559301,80.34178246,81.16940356,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2009 - 11,n/a,n/a,n/a,n/a,80.00503942,79.53654885,80.47352999,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2009 - 11,n/a,n/a,n/a,n/a,79.83222206,79.32182781,80.34261631,Significantly better than England average
00AF,E09000006,Bromley LB,ONS1.3,2009 - 11,n/a,n/a,n/a,n/a,80.68278139,80.27651801,81.08904476,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2009 - 11,n/a,n/a,n/a,n/a,79.85022131,79.24663723,80.45380539,Significantly better than England average
00AH,E09000008,Croydon LB,ONS2.4,2009 - 11,n/a,n/a,n/a,n/a,79.20745508,78.80213853,79.61277162,Not significantly different from England average
00AJ,E09000009,Ealing LB,ONS2.4,2009 - 11,n/a,n/a,n/a,n/a,78.6634455,78.2086842,79.11820679,Not significantly different from England average
00AK,E09000010,Enfield LB,ONS2.4,2009 - 11,n/a,n/a,n/a,n/a,79.78863828,79.34816955,80.229107,Significantly better than England average
00AL,E09000011,Greenwich LB,ONS2.4,2009 - 11,n/a,n/a,n/a,n/a,77.83016037,77.34962979,78.31069095,Significantly worse than England average
00AM,E09000012,Hackney LB,ONS4.6,2009 - 11,n/a,n/a,n/a,n/a,77.71305948,77.07001554,78.35610342,Significantly worse than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2009 - 11,n/a,n/a,n/a,n/a,78.59875505,77.90801468,79.28949542,Not significantly different from England average
00AP,E09000014,Haringey LB,ONS4.6,2009 - 11,n/a,n/a,n/a,n/a,78.89252111,78.30518516,79.47985707,Not significantly different from England average
