ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2012,n/a,n/a,325738,34347372,9.483634342,9.451094103,9.516258898,n/a
A,E12000001,North East,N/A,2012,n/a,n/a,25357,1681674,15.07822959,14.89320434,15.26497958,Significantly worse than England average
B,E12000002,North West,N/A,2012,n/a,n/a,48215,4552765,10.59017615,10.495856,10.68513301,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2012,n/a,n/a,42962,3409275,12.60153063,12.48264915,12.72126244,Significantly worse than England average
E,E12000004,East Midlands,N/A,2012,n/a,n/a,25606,2919158,8.771650364,8.664536657,8.879757653,Significantly better than England average
F,E12000005,West Midlands,N/A,2012,n/a,n/a,45857,3561093,12.87724958,12.75965533,12.99565786,Significantly worse than England average
G,E12000006,East of England,N/A,2012,n/a,n/a,27494,3719075,7.392743267,7.30561389,7.480652464,Significantly better than England average
H,E12000007,London,N/A,2012,n/a,n/a,62199,5664416,10.9806848,10.8945572,11.06732405,Significantly worse than England average
J,E12000008,South East,N/A,2012,n/a,n/a,30118,5513564,5.462437726,5.400918204,5.524483215,Significantly better than England average
K,E12000009,South West,N/A,2012,n/a,n/a,17930,3326352,5.390414685,5.311800127,5.469901553,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2012,n/a,n/a,1194,319524,3.736026089,3.527069943,3.954128619,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2012,n/a,n/a,1827,408141,4.475577476,4.272664363,4.685637918,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2012,n/a,n/a,1970,312967,6.293262016,6.018368662,6.577473536,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2012,n/a,n/a,3892,490087,7.941617169,7.694057489,8.195114486,Significantly better than England average
18,E10000008,Devon CC,N/A,2012,n/a,n/a,1824,454791,4.010083753,3.828131483,4.198450256,Significantly better than England average
19,E10000009,Dorset CC,N/A,2012,n/a,n/a,475,241615,1.964213039,1.791444114,2.149145245,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2012,n/a,n/a,2404,315412,7.62230564,7.320632775,7.933217861,Significantly better than England average
22,E10000012,Essex CC,N/A,2012,n/a,n/a,6362,878495,7.242025661,7.065151738,7.422208151,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2012,n/a,n/a,2194,379078,5.788166727,5.548485049,6.035538458,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2012,n/a,n/a,3012,829792,3.629925732,3.50143853,3.761922358,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2012,n/a,n/a,3944,720473,5.474412874,5.30488367,5.647980892,Significantly better than England average
29,E10000016,Kent CC,N/A,2012,n/a,n/a,6700,917814,7.299954021,7.126192328,7.476882202,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2012,n/a,n/a,4847,744442,6.510469139,6.32845442,6.696390594,Significantly better than England average
31,E10000018,Leicestershire CC,N/A,2012,n/a,n/a,1946,417422,4.662547733,4.457681304,4.87440088,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2012,n/a,n/a,3139,443761,7.074003048,6.828683002,7.325884574,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2012,n/a,n/a,4393,527795,8.323149455,8.078821411,8.57298919,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2012,n/a,n/a,3188,448332,7.111545313,6.866815703,7.362769205,Significantly better than England average
36,E10000023,North Yorkshire CC,N/A,2012,n/a,n/a,2208,373401,5.911874901,5.667803284,6.163753318,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2012,n/a,n/a,3947,500881,7.88028161,7.636338001,8.130034684,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2012,n/a,n/a,1367,427818,3.195478763,3.028312885,3.3694715,Significantly better than England average
40,E10000027,Somerset CC,N/A,2012,n/a,n/a,1157,324400,3.565556926,3.363009702,3.777114428,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2012,n/a,n/a,2975,541221,5.496060451,5.300306891,5.697194812,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2012,n/a,n/a,3269,450808,7.25086955,7.004407361,7.503789879,Significantly better than England average
43,E10000030,Surrey CC,N/A,2012,n/a,n/a,2259,720392,3.136024091,3.008027054,3.268067298,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2012,n/a,n/a,1635,347866,4.698887886,4.473828978,4.93233627,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2012,n/a,n/a,2313,495650,4.666431286,4.478173895,4.860569015,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2012,n/a,n/a,2211,355931,6.211409889,5.955163347,6.475846365,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2012,n/a,n/a,2040,119166,17.12247341,16.38750784,17.88190818,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2012,n/a,n/a,1706,235392,7.248547104,6.908650612,7.600839535,Significantly better than England average
00AD,E09000004,Bexley LB,ONS5.8,2012,n/a,n/a,1067,147684,7.222628495,6.795633665,7.669423097,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2012,n/a,n/a,2685,216488,12.40061035,11.93591296,12.87876409,Significantly worse than England average
00AF,E09000006,Bromley LB,ONS1.3,2012,n/a,n/a,1456,197398,7.375116938,7.001090901,7.763934626,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2012,n/a,n/a,1512,160488,9.421784391,8.95282037,9.908938966,Not significantly different from England average
00AH,E09000008,Croydon LB,ONS2.4,2012,n/a,n/a,2618,240851,10.87117485,10.45871859,11.29572728,Significantly worse than England average
00AJ,E09000009,Ealing LB,ONS2.4,2012,n/a,n/a,2325,233700,9.946869206,9.546581594,10.3596281,Significantly worse than England average
00AK,E09000010,Enfield LB,ONS2.4,2012,n/a,n/a,2868,204508,14.02145637,13.5128985,14.5442559,Significantly worse than England average
00AL,E09000011,Greenwich LB,ONS2.4,2012,n/a,n/a,2005,173696,11.54315586,11.043368,12.05973215,Significantly worse than England average
00AM,E09000012,Hackney LB,ONS4.6,2012,n/a,n/a,3265,178569,18.28658203,17.66469371,18.92477435,Significantly worse than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2012,n/a,n/a,1430,136275,10.49042989,9.953613275,11.04867431,Significantly worse than England average
00AP,E09000014,Haringey LB,ONS4.6,2012,n/a,n/a,2985,181136,16.48163075,15.89565987,17.08367888,Significantly worse than England average
00AQ,E09000015,Harrow LB,ONS2.4,2012,n/a,n/a,822,158438,5.186045435,4.83745895,5.55311379,Significantly better than England average
00AR,E09000016,Havering LB,ONS5.8,2012,n/a,n/a,1334,150839,8.84497157,8.376665868,9.33264212,Significantly better than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2012,n/a,n/a,971,182832,5.309974913,4.981165546,5.654785503,Significantly better than England average
00AT,E09000018,Hounslow LB,ONS2.4,2012,n/a,n/a,984,176220,5.582510498,5.239065848,5.942555598,Significantly better than England average
00AU,E09000019,Islington LB,ONS3.5,2012,n/a,n/a,2041,155402,13.13528783,12.57158218,13.71775702,Significantly worse than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2012,n/a,n/a,970,114461,8.470861982,7.945988499,9.021294873,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2012,n/a,n/a,372,109526,3.397214664,3.060035648,3.759758076,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2012,n/a,n/a,3898,226412,17.21419359,16.67795506,17.76328458,Significantly worse than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2012,n/a,n/a,2828,193427,14.61791787,14.08402376,15.16687017,Significantly worse than England average
00BA,E09000024,Merton LB,ONS2.4,2012,n/a,n/a,966,138315,6.982853149,6.549354254,7.437503877,Significantly better than England average
