ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,10793919,53107169,20.32478704,,,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,842033,2596441,32.43027667,,,n/a
B,E12000002,North West,N/A,2010,n/a,n/a,2304684,7055961,32.66293564,,,n/a
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,1465542,5288212,27.71337458,,,n/a
E,E12000004,East Midlands,N/A,2010,n/a,n/a,766716,4537448,16.89751596,,,n/a
F,E12000005,West Midlands,N/A,2010,n/a,n/a,1607235,5608667,28.6562743,,,n/a
G,E12000006,East of England,N/A,2010,n/a,n/a,451124,5862418,7.695186525,,,n/a
H,E12000007,London,N/A,2010,n/a,n/a,2251488,8204407,27.4424221,,,n/a
J,E12000008,South East,N/A,2010,n/a,n/a,627012,8652784,7.246361402,,,n/a
K,E12000009,South West,N/A,2010,n/a,n/a,478085,5300831,9.019057578,,,n/a
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,0,506550,0,,,n/a
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,15751,622312,2.531045521,,,n/a
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,80366,499817,16.07908495,,,n/a
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,94065,770688,12.20532823,,,n/a
18,E10000008,Devon CC,N/A,2010,n/a,n/a,36506,747709,4.882380712,,,n/a
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,18883,413813,4.563172254,,,n/a
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,68847,527209,13.05876796,,,n/a
22,E10000012,Essex CC,N/A,2010,n/a,n/a,83800,1396599,6.000290706,,,n/a
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,42922,598289,7.174124879,,,n/a
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,48502,1322118,3.668507652,,,n/a
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,10639,1119824,0.950060009,,,n/a
29,E10000016,Kent CC,N/A,2010,n/a,n/a,159589,1466466,10.88255711,,,n/a
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,266205,1171558,22.72230654,,,n/a
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,7627,651179,1.17126013,,,n/a
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,83385,714768,11.6660231,,,n/a
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,85201,859426,9.913709848,,,n/a
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,90374,693967,13.02280944,,,n/a
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,27099,601206,4.507440046,,,n/a
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,127041,786796,16.14662505,,,n/a
38,E10000025,Oxfordshire CC,N/A,2010,n/a,n/a,32341,654791,4.93913325,,,n/a
40,E10000027,Somerset CC,N/A,2010,n/a,n/a,19667,531581,3.699718387,,,n/a
41,E10000028,Staffordshire CC,N/A,2010,n/a,n/a,78826,849546,9.278602924,,,n/a
42,E10000029,Suffolk CC,N/A,2010,n/a,n/a,53924,730133,7.385503737,,,n/a
43,E10000030,Surrey CC,N/A,2010,n/a,n/a,3119,1135367,0.274712934,,,n/a
44,E10000031,Warwickshire CC,N/A,2010,n/a,n/a,31767,546554,5.812234473,,,n/a
45,E10000032,West Sussex CC,N/A,2010,n/a,n/a,29352,808919,3.628546245,,,n/a
47,E10000034,Worcestershire CC,N/A,2010,n/a,n/a,56425,566557,9.959280355,,,n/a
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2010,n/a,n/a,98290,187029,52.55334734,,,n/a
00AC,E09000003,Barnet LB,ONS2.4,2010,n/a,n/a,20257,357538,5.665691479,,,n/a
00AD,E09000004,Bexley LB,ONS5.8,2010,n/a,n/a,22090,232774,9.489891483,,,n/a
00AE,E09000005,Brent LB,ONS4.6,2010,n/a,n/a,86226,312245,27.61485372,,,n/a
00AF,E09000006,Bromley LB,ONS1.3,2010,n/a,n/a,24091,310554,7.75742705,,,n/a
00AG,E09000007,Camden LB,ONS3.5,2010,n/a,n/a,54280,220087,24.66297419,,,n/a
00AH,E09000008,Croydon LB,ONS2.4,2010,n/a,n/a,62304,364815,17.07824514,,,n/a
00AJ,E09000009,Ealing LB,ONS2.4,2010,n/a,n/a,70973,339314,20.91661411,,,n/a
00AK,E09000010,Enfield LB,ONS2.4,2010,n/a,n/a,86710,313935,27.62036727,,,n/a
00AL,E09000011,Greenwich LB,ONS2.4,2010,n/a,n/a,111276,255483,43.55514848,,,n/a
00AM,E09000012,Hackney LB,ONS4.6,2010,n/a,n/a,196911,247182,79.66235405,,,n/a
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2010,n/a,n/a,47611,182445,26.09608375,,,n/a
00AP,E09000014,Haringey LB,ONS4.6,2010,n/a,n/a,145496,255540,56.9366831,,,n/a
00AQ,E09000015,Harrow LB,ONS2.4,2010,n/a,n/a,4883,240499,2.030361873,,,n/a
00AR,E09000016,Havering LB,ONS5.8,2010,n/a,n/a,18103,237927,7.608636262,,,n/a
00AS,E09000017,Hillingdon LB,ONS1.3,2010,n/a,n/a,19587,275499,7.109644681,,,n/a
00AT,E09000018,Hounslow LB,ONS2.4,2010,n/a,n/a,21503,254927,8.434963735,,,n/a
00AU,E09000019,Islington LB,ONS3.5,2010,n/a,n/a,108842,206285,52.76292508,,,n/a
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2010,n/a,n/a,36952,158251,23.35024739,,,n/a
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2010,n/a,n/a,1751,160436,1.091400932,,,n/a
00AY,E09000022,Lambeth LB,ONS4.6,2010,n/a,n/a,111732,304481,36.69588579,,,n/a
00AZ,E09000023,Lewisham LB,ONS4.6,2010,n/a,n/a,101346,276938,36.59519459,,,n/a
00BA,E09000024,Merton LB,ONS2.4,2010,n/a,n/a,2949,200543,1.470507572,,,n/a
00BB,E09000025,Newham LB,ONS4.6,2010,n/a,n/a,259804,310460,83.68356632,,,n/a
00BC,E09000026,Redbridge LB,ONS2.4,2010,n/a,n/a,20289,281395,7.210149434,,,n/a
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2010,n/a,n/a,0,187527,0,,,n/a
00BE,E09000028,Southwark LB,ONS4.6,2010,n/a,n/a,104068,288717,36.04498523,,,n/a
00BF,E09000029,Sutton LB,ONS1.3,2010,n/a,n/a,9235,191123,4.831966849,,,n/a
00BG,E09000030,Tower Hamlets LB,ONS3.5,2010,n/a,n/a,178879,256012,69.87133416,,,n/a
00BH,E09000031,Waltham Forest LB,ONS2.4,2010,n/a,n/a,138768,259742,53.42532205,,,n/a
