ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,84465,,46.39329225,46.15965689,46.62708605,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,2200,,44.02318032,42.54556059,45.51146748,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,7589,,51.88416169,51.04360917,52.72364907,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,6516,,49.73076429,48.82486845,50.63683693,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,4628,,45.05669604,44.07894489,46.03828009,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,7072,,45.76486997,44.94919997,46.58281676,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,4272,,44.63918019,43.63240413,45.65037307,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,42032,,46.54386816,46.21504574,46.87299126,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,7740,,45.00684107,44.25253306,45.76345179,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,2416,,37.82782202,36.64840573,39.02181504,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,429,,41.70679371,38.68340463,44.79385756,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,238,,44.27285795,40.10917888,48.51860908,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,59,,42.92755839,35.13472915,51.08751762,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,273,,34.54008287,31.30667714,37.92307768,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,159,,40.9838632,36.193485,45.95166053,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,65,,36.33162311,29.63078084,43.60873658,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,239,,43.23238567,39.18809519,47.36894113,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,745,,41.29779359,39.0372676,43.59561049,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,315,,31.5176371,28.69285199,34.4860244,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,641,,39.94021829,37.56296738,42.36583309,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,1547,,47.73621718,46.00535415,49.47253411,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,1018,,46.84252822,44.72441307,48.97208276,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,509,,44.02123488,41.09464223,46.9899867,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,535,,51.31771725,48.19971534,54.42549706,n/a
32,E10000019,Lincolnshire CC,N/A,2011/12,n/a,n/a,323,,37.48559328,34.32343763,40.75827975,n/a
