ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,2566288,44566837,5.758290691,5.751455221,5.765133788,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,133507,2175048,6.13811795,6.106296434,6.170094398,Significantly worse than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,358269,5932721,6.038865013,6.019725634,6.058061322,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,259658,4398261,5.903651381,5.881662923,5.925716867,Significantly worse than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,230331,3783939,6.087069579,6.063023794,6.111204524,Significantly worse than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,297934,4648085,6.409823171,6.387592816,6.432125577,Significantly worse than England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,269516,4850205,5.556795579,5.536443181,5.577218377,Significantly better than England average
H,E12000007,London,N/A,2011/12,n/a,n/a,395721,7073918,5.594084978,5.577174196,5.611043988,Significantly better than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,376848,7227610,5.214005737,5.197822306,5.230236775,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,244504,4477050,5.46127516,5.440265679,5.482361072,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,21221,416751,5.092004661,5.025674682,5.159162523,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,26519,515287,5.146452868,5.086460578,5.20711392,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,23967,426110,5.62460281,5.555824888,5.694180828,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,39734,623810,6.369564612,6.309231123,6.430435455,Significantly worse than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,34613,628696,5.505521983,5.449412704,5.562174999,Significantly better than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,19281,336151,5.735816188,5.657715534,5.814928514,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,24620,437899,5.622298038,5.554460098,5.690914575,Significantly better than England average
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,65752,1153475,5.700342267,5.658178972,5.742800626,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,29770,498787,5.968474661,5.90306875,6.034558793,Significantly worse than England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,57309,1083333,5.290065569,5.248074087,5.33237413,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,46020,944669,4.871548405,4.828320895,4.91514294,Significantly better than England average
