ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2012,n/a,n/a,n/a,n/a,56.02802415,55.77842065,56.27762765,n/a
A,E12000001,North East,N/A,2012,n/a,n/a,n/a,n/a,53.87988294,52.56003374,55.19973215,Significantly worse than England average
B,E12000002,North West,N/A,2012,n/a,n/a,n/a,n/a,53.49228185,52.77077636,54.21378734,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2012,n/a,n/a,n/a,n/a,55.267176,54.26956689,56.2647851,Not significantly different from England average
E,E12000004,East Midlands,N/A,2012,n/a,n/a,n/a,n/a,56.2528616,55.54678847,56.95893473,Not significantly different from England average
F,E12000005,West Midlands,N/A,2012,n/a,n/a,n/a,n/a,52.38625583,51.55826803,53.21424362,Significantly worse than England average
G,E12000006,East of England,N/A,2012,n/a,n/a,n/a,n/a,57.11134797,56.46063849,57.76205745,Significantly better than England average
H,E12000007,London,N/A,2012,n/a,n/a,n/a,n/a,57.19623611,56.40129394,57.99117828,Significantly better than England average
J,E12000008,South East,N/A,2012,n/a,n/a,n/a,n/a,58.72369641,58.18042922,59.26696361,Significantly better than England average
K,E12000009,South West,N/A,2012,n/a,n/a,n/a,n/a,57.47785024,56.73323116,58.22246932,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2012,n/a,n/a,n/a,n/a,56.99374993,54.74497683,59.24252303,Not significantly different from England average
12,E10000003,Cambridgeshire CC,N/A,2012,n/a,n/a,n/a,n/a,60.27989155,58.31606411,62.24371899,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2012,n/a,n/a,n/a,n/a,55.28053287,53.4262386,57.13482713,Not significantly different from England average
17,E10000007,Derbyshire CC,N/A,2012,n/a,n/a,n/a,n/a,56.69480313,55.11997,58.26963626,Not significantly different from England average
18,E10000008,Devon CC,N/A,2012,n/a,n/a,n/a,n/a,59.50907284,57.95363005,61.06451563,Significantly better than England average
19,E10000009,Dorset CC,N/A,2012,n/a,n/a,n/a,n/a,56.31772715,54.49417072,58.14128358,Not significantly different from England average
21,E10000011,East Sussex CC,N/A,2012,n/a,n/a,n/a,n/a,60.17429955,58.20793694,62.14066216,Significantly better than England average
22,E10000012,Essex CC,N/A,2012,n/a,n/a,n/a,n/a,57.43895706,56.1527644,58.72514972,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2012,n/a,n/a,n/a,n/a,59.84545052,58.03965286,61.65124818,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2012,n/a,n/a,n/a,n/a,58.92113378,57.58237954,60.25988803,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2012,n/a,n/a,n/a,n/a,58.21823316,56.80999424,59.62647207,Significantly better than England average
29,E10000016,Kent CC,N/A,2012,n/a,n/a,n/a,n/a,57.19129591,55.90085021,58.48174162,Not significantly different from England average
30,E10000017,Lancashire CC,N/A,2012,n/a,n/a,n/a,n/a,53.98483659,52.68716186,55.28251131,Significantly worse than England average
31,E10000018,Leicestershire CC,N/A,2012,n/a,n/a,n/a,n/a,60.23598029,58.57093682,61.90102376,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2012,n/a,n/a,n/a,n/a,55.72759932,54.03568571,57.41951293,Not significantly different from England average
33,E10000020,Norfolk CC,N/A,2012,n/a,n/a,n/a,n/a,57.08792541,55.41259227,58.76325855,Not significantly different from England average
34,E10000021,Northamptonshire CC,N/A,2012,n/a,n/a,n/a,n/a,56.74608819,55.054444,58.43773238,Not significantly different from England average
36,E10000023,North Yorkshire CC,N/A,2012,n/a,n/a,n/a,n/a,57.83397745,56.15036089,59.51759401,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2012,n/a,n/a,n/a,n/a,56.73142257,55.04761253,58.41523261,Not significantly different from England average
38,E10000025,Oxfordshire CC,N/A,2012,n/a,n/a,n/a,n/a,61.22939576,59.27231997,63.18647155,Significantly better than England average
40,E10000027,Somerset CC,N/A,2012,n/a,n/a,n/a,n/a,57.89813185,55.89466731,59.9015964,Not significantly different from England average
41,E10000028,Staffordshire CC,N/A,2012,n/a,n/a,n/a,n/a,55.90484873,54.31888322,57.49081424,Not significantly different from England average
42,E10000029,Suffolk CC,N/A,2012,n/a,n/a,n/a,n/a,56.43100625,54.72520089,58.13681162,Not significantly different from England average
43,E10000030,Surrey CC,N/A,2012,n/a,n/a,n/a,n/a,60.11870498,58.78832144,61.44908851,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2012,n/a,n/a,n/a,n/a,55.33979581,53.32848746,57.35110415,Not significantly different from England average
45,E10000032,West Sussex CC,N/A,2012,n/a,n/a,n/a,n/a,58.90745922,57.2249594,60.58995904,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2012,n/a,n/a,n/a,n/a,58.40314075,56.58748082,60.21880067,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2012,n/a,n/a,n/a,n/a,48.85028321,44.43327019,53.26729623,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2012,n/a,n/a,n/a,n/a,56.01097702,51.44998717,60.57196686,Not significantly different from England average
00AD,E09000004,Bexley LB,ONS5.8,2012,n/a,n/a,n/a,n/a,51.37727538,46.8729404,55.88161037,Significantly worse than England average
00AE,E09000005,Brent LB,ONS4.6,2012,n/a,n/a,n/a,n/a,52.32452077,47.80419418,56.84484735,Not significantly different from England average
00AF,E09000006,Bromley LB,ONS1.3,2012,n/a,n/a,n/a,n/a,62.14333179,57.66188467,66.6247789,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2012,n/a,n/a,n/a,n/a,55.86442025,51.43145202,60.29738847,Not significantly different from England average
00AH,E09000008,Croydon LB,ONS2.4,2012,n/a,n/a,n/a,n/a,56.75210064,52.24908895,61.25511233,Not significantly different from England average
00AJ,E09000009,Ealing LB,ONS2.4,2012,n/a,n/a,n/a,n/a,52.27235248,47.77096356,56.77374141,Not significantly different from England average
00AK,E09000010,Enfield LB,ONS2.4,2012,n/a,n/a,n/a,n/a,59.28741825,54.78294967,63.79188684,Not significantly different from England average
00AL,E09000011,Greenwich LB,ONS2.4,2012,n/a,n/a,n/a,n/a,53.01455346,48.49756601,57.5315409,Not significantly different from England average
00AM,E09000012,Hackney LB,ONS4.6,2012,n/a,n/a,n/a,n/a,58.05619995,53.59959839,62.5128015,Not significantly different from England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2012,n/a,n/a,n/a,n/a,64.88686803,60.49609149,69.27764457,Significantly better than England average
00AP,E09000014,Haringey LB,ONS4.6,2012,n/a,n/a,n/a,n/a,60.69205928,56.27151513,65.11260344,Significantly better than England average
00AQ,E09000015,Harrow LB,ONS2.4,2012,n/a,n/a,n/a,n/a,54.46937028,49.86297814,59.07576242,Not significantly different from England average
00AR,E09000016,Havering LB,ONS5.8,2012,n/a,n/a,n/a,n/a,55.33182623,50.75363877,59.91001368,Not significantly different from England average
00AS,E09000017,Hillingdon LB,ONS1.3,2012,n/a,n/a,n/a,n/a,56.44270558,51.90659025,60.97882091,Not significantly different from England average
00AT,E09000018,Hounslow LB,ONS2.4,2012,n/a,n/a,n/a,n/a,54.52450516,50.02264785,59.02636247,Not significantly different from England average
00AU,E09000019,Islington LB,ONS3.5,2012,n/a,n/a,n/a,n/a,61.99918473,57.53913379,66.45923568,Significantly better than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2012,n/a,n/a,n/a,n/a,65.29304379,60.98927568,69.59681191,Significantly better than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2012,n/a,n/a,n/a,n/a,56.38156921,51.96345449,60.79968393,Not significantly different from England average
