ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2010,n/a,n/a,2066320,9798620,21.08786748,21.06233687,21.11342075,n/a
A,E12000001,North East,N/A,2010,n/a,n/a,113975,459695,24.79361316,24.66899658,24.91865101,Significantly worse than England average
B,E12000002,North West,N/A,2010,n/a,n/a,300595,1312810,22.89706812,22.82527337,22.96902149,Significantly worse than England average
D,E12000003,Yorkshire and the Humber,N/A,2010,n/a,n/a,215245,978345,22.00093014,21.9189545,22.08312566,Significantly worse than England average
E,E12000004,East Midlands,N/A,2010,n/a,n/a,159005,824465,19.28583991,19.20081908,19.37114695,Significantly better than England average
F,E12000005,West Midlands,N/A,2010,n/a,n/a,254720,1069085,23.82598203,23.74532091,23.90683125,Significantly worse than England average
G,E12000006,East of England,N/A,2010,n/a,n/a,184860,1080740,17.10494661,17.03407104,17.17605603,Significantly better than England average
H,E12000007,London,N/A,2010,n/a,n/a,442375,1590795,27.80842283,27.73885033,27.87810251,Significantly worse than England average
J,E12000008,South East,N/A,2010,n/a,n/a,243950,1570515,15.5331213,15.47655565,15.58985556,Significantly better than England average
K,E12000009,South West,N/A,2010,n/a,n/a,151590,912170,16.61861276,16.54236238,16.6951443,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2010,n/a,n/a,10530,97395,10.81164331,10.61816639,11.00821144,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2010,n/a,n/a,14360,106845,13.44002995,13.2368267,13.64586203,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2010,n/a,n/a,12830,82860,15.48394883,15.23923717,15.73186073,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2010,n/a,n/a,23355,134395,17.37787864,17.17622877,17.58139336,Significantly better than England average
18,E10000008,Devon CC,N/A,2010,n/a,n/a,17680,122900,14.38567941,14.19058726,14.58299787,Significantly better than England average
19,E10000009,Dorset CC,N/A,2010,n/a,n/a,9005,65780,13.6895713,13.42901033,13.95437297,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2010,n/a,n/a,16485,87960,18.7414734,18.48494616,19.00073081,Significantly better than England average
22,E10000012,Essex CC,N/A,2010,n/a,n/a,44875,257935,17.39779402,17.25198269,17.54457643,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2010,n/a,n/a,16270,105350,15.4437589,15.22680647,15.66323133,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2010,n/a,n/a,30185,236110,12.78429546,12.65021337,12.9195885,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2010,n/a,n/a,30315,216260,14.01784889,13.87216755,14.16480851,Significantly better than England average
29,E10000016,Kent CC,N/A,2010,n/a,n/a,49980,270645,18.46699551,18.32125502,18.61363113,Significantly better than England average
30,E10000017,Lancashire CC,N/A,2010,n/a,n/a,39210,213010,18.4075865,18.24357887,18.57273359,Significantly better than England average
31,E10000018,Leicestershire CC,N/A,2010,n/a,n/a,13880,114080,12.16690042,11.97847541,12.35787328,Significantly better than England average
32,E10000019,Lincolnshire CC,N/A,2010,n/a,n/a,21380,123380,17.32857838,17.11840081,17.54079034,Significantly better than England average
33,E10000020,Norfolk CC,N/A,2010,n/a,n/a,26245,141160,18.59237744,18.39028159,18.79618267,Significantly better than England average
34,E10000021,Northamptonshire CC,N/A,2010,n/a,n/a,22990,136815,16.80371304,16.60652226,17.00276793,Significantly better than England average
36,E10000023,North Yorkshire CC,N/A,2010,n/a,n/a,12155,100235,12.12650272,11.92586732,12.33004098,Significantly better than England average
37,E10000024,Nottinghamshire CC,N/A,2010,n/a,n/a,24480,137840,17.75972142,17.55886732,17.96237246,Significantly better than England average
38,E10000025,Oxfordshire CC,N/A,2010,n/a,n/a,14890,117425,12.68043432,12.49133163,12.87197869,Significantly better than England average
40,E10000027,Somerset CC,N/A,2010,n/a,n/a,13770,92405,14.90179103,14.67364602,15.13285412,Significantly better than England average
41,E10000028,Staffordshire CC,N/A,2010,n/a,n/a,23130,145195,15.93030063,15.74296576,16.11943823,Significantly better than England average
42,E10000029,Suffolk CC,N/A,2010,n/a,n/a,19955,125010,15.96272298,15.76073699,16.16680079,Significantly better than England average
43,E10000030,Surrey CC,N/A,2010,n/a,n/a,21980,206575,10.64020332,10.50796397,10.7739065,Significantly better than England average
44,E10000031,Warwickshire CC,N/A,2010,n/a,n/a,14050,96410,14.57317706,14.35186748,14.79730969,Significantly better than England average
45,E10000032,West Sussex CC,N/A,2010,n/a,n/a,19345,140540,13.76476448,13.58562926,13.94588052,Significantly better than England average
47,E10000034,Worcestershire CC,N/A,2010,n/a,n/a,15825,99965,15.83054069,15.60557264,16.05813477,Significantly better than England average
00AB,E09000002,Barking and Dagenham LB,ONS1.2,2010,n/a,n/a,16405,46525,35.26061257,34.82770137,35.69595757,Significantly worse than England average
00AC,E09000003,Barnet LB,ONS2.4,2010,n/a,n/a,14870,70295,21.15370937,20.85338517,21.45718616,Not significantly different from England average
00AD,E09000004,Bexley LB,ONS5.8,2010,n/a,n/a,9100,45565,19.97146933,19.60692823,20.34107324,Significantly better than England average
00AE,E09000005,Brent LB,ONS4.6,2010,n/a,n/a,18365,62300,29.47833066,29.12157692,29.837615,Significantly worse than England average
00AF,E09000006,Bromley LB,ONS1.3,2010,n/a,n/a,10455,59720,17.50669792,17.20400128,17.81357452,Significantly better than England average
00AG,E09000007,Camden LB,ONS3.5,2010,n/a,n/a,11350,33225,34.16102333,33.6529365,34.67277232,Significantly worse than England average
00AH,E09000008,Croydon LB,ONS2.4,2010,n/a,n/a,18915,73735,25.65267512,25.33873171,25.9691553,Significantly worse than England average
00AJ,E09000009,Ealing LB,ONS2.4,2010,n/a,n/a,17920,68545,26.14340944,25.81579827,26.47369444,Significantly worse than England average
00AK,E09000010,Enfield LB,ONS2.4,2010,n/a,n/a,23395,69410,33.70551794,33.35476561,34.05807379,Significantly worse than England average
00AL,E09000011,Greenwich LB,ONS2.4,2010,n/a,n/a,15950,51600,30.91085271,30.5135517,31.31099577,Significantly worse than England average
00AM,E09000012,Hackney LB,ONS4.6,2010,n/a,n/a,19495,53235,36.62064431,36.21237552,37.03084389,Significantly worse than England average
00AN,E09000013,Hammersmith and Fulham LB,ONS3.5,2010,n/a,n/a,9260,29785,31.08947457,30.5662889,31.61753749,Significantly worse than England average
00AP,E09000014,Haringey LB,ONS4.6,2010,n/a,n/a,17325,52560,32.96232877,32.56171368,33.36543414,Significantly worse than England average
00AQ,E09000015,Harrow LB,ONS2.4,2010,n/a,n/a,9655,45480,21.2291117,20.85572379,21.60735945,Not significantly different from England average
00AR,E09000016,Havering LB,ONS5.8,2010,n/a,n/a,8810,43925,20.0569152,19.68507284,20.43399443,Significantly better than England average
00AS,E09000017,Hillingdon LB,ONS1.3,2010,n/a,n/a,13360,56455,23.66486582,23.31606563,24.0172497,Significantly worse than England average
00AT,E09000018,Hounslow LB,ONS2.4,2010,n/a,n/a,12845,50080,25.64896166,25.26837218,26.03328662,Significantly worse than England average
00AU,E09000019,Islington LB,ONS3.5,2010,n/a,n/a,13610,33300,40.87087087,40.3439536,41.39989416,Significantly worse than England average
00AW,E09000020,Kensington and Chelsea LB,ONS3.5,2010,n/a,n/a,5250,20935,25.07762121,24.49506401,25.66932297,Significantly worse than England average
00AX,E09000021,Kingston upon Thames LB,ONS1.3,2010,n/a,n/a,4335,28995,14.9508536,14.5450529,15.36594017,Significantly better than England average
00AY,E09000022,Lambeth LB,ONS4.6,2010,n/a,n/a,17855,54655,32.66855731,32.27659313,33.06295763,Significantly worse than England average
00AZ,E09000023,Lewisham LB,ONS4.6,2010,n/a,n/a,17905,56530,31.67344773,31.29121669,32.05816934,Significantly worse than England average
00BA,E09000024,Merton LB,ONS2.4,2010,n/a,n/a,7065,38605,18.30073825,17.91818072,18.68960373,Significantly better than England average
00BB,E09000025,Newham LB,ONS4.6,2010,n/a,n/a,23990,69900,34.3204578,33.96936175,34.67327714,Significantly worse than England average
00BC,E09000026,Redbridge LB,ONS2.4,2010,n/a,n/a,14830,59305,25.00632324,24.65942001,25.35646418,Significantly worse than England average
00BD,E09000027,Richmond upon Thames LB,ONS1.3,2010,n/a,n/a,3670,35035,10.47523905,10.15889633,10.8002483,Significantly better than England average
00BE,E09000028,Southwark LB,ONS4.6,2010,n/a,n/a,16690,53225,31.35744481,30.96465598,31.75292446,Significantly worse than England average
00BF,E09000029,Sutton LB,ONS1.3,2010,n/a,n/a,6560,37735,17.38439115,17.00534361,17.77007862,Significantly better than England average
00BG,E09000030,Tower Hamlets LB,ONS3.5,2010,n/a,n/a,23350,50820,45.94647776,45.51352018,46.38004811,Significantly worse than England average
00BH,E09000031,Waltham Forest LB,ONS2.4,2010,n/a,n/a,16845,55425,30.39242219,30.01087361,30.77668856,Significantly worse than England average
00BJ,E09000032,Wandsworth LB,ONS3.5,2010,n/a,n/a,11785,52565,22.41986112,22.06535763,22.77839544,Significantly worse than England average
00BK,E09000033,City of Westminster LB,ONS3.5,2010,n/a,n/a,11025,30595,36.03529989,35.49911513,36.57499097,Significantly worse than England average
00BL,E08000001,Bolton MCD,ONS1.2,2010,n/a,n/a,13155,56575,23.25231993,22.90604502,23.60222695,Significantly worse than England average
00BM,E08000002,Bury MCD,ONS5.7,2010,n/a,n/a,6775,37005,18.30833671,17.91760124,18.70565127,Significantly better than England average
00BN,E08000003,Manchester MCD,ONS1.2,2010,n/a,n/a,35310,92815,38.04341971,37.73158429,38.35624481,Significantly worse than England average
00BP,E08000004,Oldham MCD,ONS1.2,2010,n/a,n/a,13525,49565,27.28740038,26.897027,27.6812941,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2010,n/a,n/a,12005,44435,27.01699111,26.60611945,27.43183625,Significantly worse than England average
00BR,E08000006,Salford MCD,ONS1.1,2010,n/a,n/a,13030,44405,29.34354239,28.9218331,29.76882534,Significantly worse than England average
00BS,E08000007,Stockport MCD,ONS5.7,2010,n/a,n/a,8470,51925,16.31198844,15.99668908,16.63227198,Significantly better than England average
00BT,E08000008,Tameside MCD,ONS7.11,2010,n/a,n/a,10490,43510,24.10940014,23.70977599,24.51359559,Significantly worse than England average
00BU,E08000009,Trafford MCD,ONS5.7,2010,n/a,n/a,6585,43290,15.21136521,14.87614887,15.55275514,Significantly better than England average
00BW,E08000010,Wigan MCD,ONS7.12,2010,n/a,n/a,11900,58500,20.34188034,20.01763506,20.67002042,Significantly better than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2010,n/a,n/a,9770,30210,32.34028467,31.81507419,32.86998575,Significantly worse than England average
00BY,E08000012,Liverpool MCD,ONS1.1,2010,n/a,n/a,26530,78840,33.65043125,33.32140568,33.98105001,Significantly worse than England average
00BZ,E08000013,St Helens MCD,ONS7.11,2010,n/a,n/a,8355,32430,25.76318224,25.29009748,26.2420082,Significantly worse than England average
00CA,E08000014,Sefton MCD,ONS7.11,2010,n/a,n/a,9820,47090,20.85368443,20.48913302,21.22299079,Not significantly different from England average
00CB,E08000015,Wirral MCD,ONS7.11,2010,n/a,n/a,14875,58890,25.25895738,24.90965366,25.61148866,Significantly worse than England average
00CC,E08000016,Barnsley MCD,ONS7.12,2010,n/a,n/a,10655,42825,24.88032691,24.47313892,25.29202103,Significantly worse than England average
00CE,E08000017,Doncaster MCD,ONS7.12,2010,n/a,n/a,14070,56520,24.89384289,24.5390808,25.25201749,Significantly worse than England average
00CF,E08000018,Rotherham MCD,ONS7.12,2010,n/a,n/a,11480,49610,23.14049587,22.77147753,23.51367351,Significantly worse than England average
00CG,E08000019,Sheffield MCD,ONS1.1,2010,n/a,n/a,23415,94575,24.75812847,24.48408397,25.03422344,Significantly worse than England average
00CH,E08000020,Gateshead MCD,ONS7.11,2010,n/a,n/a,8455,34090,24.80199472,24.34641242,25.26325529,Significantly worse than England average
00CJ,E08000021,Newcastle upon Tyne MCD,ONS1.1,2010,n/a,n/a,13645,45600,29.92324561,29.50465339,30.34522018,Significantly worse than England average
00CK,E08000022,North Tyneside MCD,ONS7.11,2010,n/a,n/a,7220,35420,20.38396386,19.96765076,20.80670026,Significantly better than England average
00CL,E08000023,South Tyneside MCD,ONS7.11,2010,n/a,n/a,7230,25775,28.05043647,27.50529396,28.60212065,Significantly worse than England average
00CM,E08000024,Sunderland MCD,ONS7.11,2010,n/a,n/a,12975,49550,26.18567104,25.80042304,26.57461125,Significantly worse than England average
00CN,E08000025,Birmingham MCD,ONS1.2,2010,n/a,n/a,79485,237540,33.46173276,33.27224811,33.65175231,Significantly worse than England average
00CQ,E08000026,Coventry MCD,ONS1.2,2010,n/a,n/a,16845,62460,26.96926033,26.62264026,27.31871313,Significantly worse than England average
00CR,E08000027,Dudley MCD,ONS7.12,2010,n/a,n/a,13330,57585,23.14838934,22.8056944,23.49466654,Significantly worse than England average
00CS,E08000028,Sandwell MCD,ONS1.2,2010,n/a,n/a,20140,65755,30.62884952,30.27766863,30.98229362,Significantly worse than England average
00CT,E08000029,Solihull MCD,ONS5.7,2010,n/a,n/a,6425,38405,16.7295925,16.35963742,17.10620266,Significantly better than England average
00CU,E08000030,Walsall MCD,ONS1.2,2010,n/a,n/a,16165,54735,29.53320544,29.15247676,29.91680676,Significantly worse than England average
00CW,E08000031,Wolverhampton MCD,ONS1.2,2010,n/a,n/a,15635,48885,31.98322594,31.57119931,32.39808392,Significantly worse than England average
00CX,E08000032,Bradford MCD,ONS1.2,2010,n/a,n/a,30940,120020,25.77903683,25.53234743,26.02727665,Significantly worse than England average
00CY,E08000033,Calderdale MCD,ONS1.2,2010,n/a,n/a,8730,40390,21.61426096,21.21554964,22.01837125,Significantly worse than England average
00CZ,E08000034,Kirklees MCD,ONS1.2,2010,n/a,n/a,17290,84345,20.49914044,20.22804606,20.77292189,Significantly better than England average
00DA,E08000035,Leeds MCD,ONS1.1,2010,n/a,n/a,30955,134625,22.99350046,22.76949615,23.21904597,Significantly worse than England average
00DB,E08000036,Wakefield MCD,ONS7.12,2010,n/a,n/a,13185,60610,21.753836,21.42717702,22.08407524,Significantly worse than England average
00EB,E06000001,Hartlepool UA,ONS7.11,2010,n/a,n/a,5435,17995,30.20283412,29.53628392,30.87783487,Significantly worse than England average
00EC,E06000002,Middlesbrough UA,ONS7.11,2010,n/a,n/a,9745,28240,34.50779037,33.95547255,35.06432239,Significantly worse than England average
00EE,E06000003,Redcar and Cleveland UA,ONS7.11,2010,n/a,n/a,6480,24685,26.25075957,25.70560025,26.80330941,Significantly worse than England average
00EF,E06000004,Stockton-on-Tees UA,ONS7.12,2010,n/a,n/a,8270,36240,22.8200883,22.39090175,23.25503641,Significantly worse than England average
00EH,E06000005,Darlington UA,ONS7.11,2010,n/a,n/a,4245,19885,21.34774956,20.78378134,21.92278594,Not significantly different from England average
00EJ,E06000047,County Durham UA,ONS7.11,2010,n/a,n/a,20445,88840,23.01328231,22.73766868,23.29122965,Significantly worse than England average
00EM,E06000048,Northumberland UA,ONS5.7,2010,n/a,n/a,9825,53325,18.42475387,18.09798172,18.75607496,Significantly better than England average
00EQ,E06000049,Cheshire East UA,ONS5.7,2010,n/a,n/a,8430,64645,13.0404517,12.78305769,13.302238,Significantly better than England average
00ET,E06000006,Halton UA,ONS7.11,2010,n/a,n/a,6770,24795,27.30389191,26.75289816,27.86191714,Significantly worse than England average
00EU,E06000007,Warrington UA,ONS5.7,2010,n/a,n/a,5710,38280,14.91640543,14.56305049,15.27680106,Significantly better than England average
00EW,E06000050,Cheshire West and Chester UA,ONS5.7,2010,n/a,n/a,9790,58855,16.63410076,16.33543015,16.93712666,Significantly better than England average
00EX,E06000008,Blackburn with Darwen UA,ONS1.2,2010,n/a,n/a,8985,34255,26.22974748,25.76660527,26.69822043,Significantly worse than England average
00EY,E06000009,Blackpool UA,ONS6.10,2010,n/a,n/a,8270,26615,31.07270336,30.51947437,31.63139528,Significantly worse than England average
00FA,E06000010,Kingston upon Hull UA,ONS7.11,2010,n/a,n/a,16145,49105,32.87852561,32.46437793,33.29535188,Significantly worse than England average
00FB,E06000011,East Riding of Yorkshire UA,ONS5.7,2010,n/a,n/a,7375,55175,13.36656094,13.0851678,13.65305481,Significantly better than England average
00FC,E06000012,North East Lincolnshire UA,ONS7.12,2010,n/a,n/a,8435,29845,28.26269057,27.75466543,28.77631076,Significantly worse than England average
