ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,50290,21731000,2.314205513,2.294023168,2.334521247,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,1800,1112000,1.618705036,1.544781077,1.695252453,Significantly better than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,4190,2935000,1.427597956,1.384695288,1.4714919,Significantly better than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,4900,2203000,2.224239673,2.162393051,2.287406433,Significantly better than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,3790,1868000,2.028907923,1.964822513,2.094551238,Significantly better than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,8560,2242000,3.818019625,3.737561303,3.899773609,Significantly worse than England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,5270,2406000,2.19035744,2.131615198,2.250308229,Significantly better than England average
H,E12000007,London,N/A,2011/12,n/a,n/a,12720,3244000,3.92108508,3.853236116,3.989828921,Significantly worse than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,5320,3480000,1.528735632,1.48792896,1.570377851,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,3750,2241000,1.673360107,1.62022619,1.727792664,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,280,196000,1.428571429,1.266126063,1.606079809,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,600,245000,2.448979592,2.256915331,2.653019166,Not significantly different from England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,410,218000,1.880733945,1.70306599,2.071898097,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,410,325000,1.261538462,1.142364264,1.389765493,Significantly better than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,360,323000,1.114551084,1.002378699,1.23584283,Significantly better than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,220,177000,1.242937853,1.084109955,1.41848727,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,330,227000,1.453744493,1.30110966,1.619365287,Significantly better than England average
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,1260,586000,2.150170648,2.033071098,2.272256109,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,300,252000,1.19047619,1.059560616,1.333099705,Significantly better than England average
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,430,531000,0.809792844,0.73505044,0.890073962,Significantly better than England average
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,870,446000,1.950672646,1.823187694,2.084721011,Significantly better than England average
