ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,291203,,30.07294133,29.98216388,30.16387523,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,13146,,28.08135095,27.68082176,28.48539286,n/a
B,E12000002,North West,N/A,2011/12,n/a,n/a,42315,,38.32365906,38.03740885,38.61072112,n/a
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,26732,,29.58791493,29.29338346,29.88415616,n/a
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,16644,,26.87474161,26.52981533,27.22249081,n/a
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,28494,,32.5879583,32.28051894,32.89690332,n/a
G,E12000006,East of England,N/A,2011/12,n/a,n/a,33719,,30.45788311,30.18819046,30.72892461,n/a
H,E12000007,London,N/A,2011/12,n/a,n/a,45799,,26.62060467,26.41244425,26.8298075,n/a
J,E12000008,South East,N/A,2011/12,n/a,n/a,52809,,27.85032236,27.6499125,28.05162162,n/a
K,E12000009,South West,N/A,2011/12,n/a,n/a,31545,,31.8834095,31.59722057,32.17097144,n/a
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,2969,,24.12070943,23.37641519,24.88100652,n/a
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,4490,,37.9095313,37.04103407,38.78584713,n/a
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,3887,,37.5410247,36.6217233,38.46939576,n/a
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,3533,,27.29229568,26.54129657,28.05642862,n/a
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,4504,,37.70602925,36.84668736,38.57317163,n/a
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,3152,,36.80745855,35.79577752,37.83088468,n/a
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,4348,,30.50525863,29.76279391,31.25800218,n/a
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,7757,,26.67818681,26.17623401,27.18622036,n/a
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,2713,,42.87358307,41.68221109,44.0732725,n/a
24,E10000014,Hampshire CC,N/A,2011/12,n/a,n/a,7781,,26.77971421,26.27876433,27.28667903,n/a
26,E10000015,Hertfordshire CC,N/A,2011/12,n/a,n/a,5290,,25.90704956,25.30885245,26.51436645,n/a
29,E10000016,Kent CC,N/A,2011/12,n/a,n/a,8701,,28.65963113,28.1584543,29.16610675,n/a
30,E10000017,Lancashire CC,N/A,2011/12,n/a,n/a,7764,,33.9729703,33.36494145,34.58632839,n/a
31,E10000018,Leicestershire CC,N/A,2011/12,n/a,n/a,1033,,29.42339075,27.94689104,30.94439604,n/a
