ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Aggregate Numerator,Aggregate Denominator,Single Year Numerator,Single Year Denominator,Indicator value,Lower 95% CI,Upper 95% CI,Significance
Eng,E92000001,England,N/A,2011/12,n/a,n/a,710249,52234000,13.59744611,13.56584146,13.62910619,n/a
A,E12000001,North East,N/A,2011/12,n/a,n/a,27344,2606600,10.49029387,10.36631936,10.61538103,Significantly better than England average
B,E12000002,North West,N/A,2011/12,n/a,n/a,92386,6935700,13.32035699,13.23460002,13.40653174,Significantly better than England average
D,E12000003,Yorkshire and the Humber,N/A,2011/12,n/a,n/a,61148,5301300,11.53452927,11.44328476,11.62632048,Significantly better than England average
E,E12000004,East Midlands,N/A,2011/12,n/a,n/a,59891,4481400,13.36435043,13.25752955,13.47181805,Significantly better than England average
F,E12000005,West Midlands,N/A,2011/12,n/a,n/a,70145,5455200,12.85837366,12.76339148,12.95388708,Significantly better than England average
G,E12000006,East of England,N/A,2011/12,n/a,n/a,69940,5831800,11.9928667,11.90414834,12.08208198,Significantly better than England average
H,E12000007,London,N/A,2011/12,n/a,n/a,154269,7825200,19.7143843,19.61612875,19.81301003,Significantly worse than England average
J,E12000008,South East,N/A,2011/12,n/a,n/a,107211,8523100,12.57887388,12.50368937,12.65439834,Significantly better than England average
K,E12000009,South West,N/A,2011/12,n/a,n/a,67915,5273700,12.87805526,12.78138142,12.97527862,Significantly better than England average
11,E10000002,Buckinghamshire CC,N/A,2011/12,n/a,n/a,4760,498100,9.556313993,9.2867418,9.831725306,Significantly better than England average
12,E10000003,Cambridgeshire CC,N/A,2011/12,n/a,n/a,5756,616300,9.339607334,9.099870275,9.584061553,Significantly better than England average
16,E10000006,Cumbria CC,N/A,2011/12,n/a,n/a,6297,494400,12.73665049,12.42398632,13.05519374,Significantly better than England average
17,E10000007,Derbyshire CC,N/A,2011/12,n/a,n/a,8120,763700,10.6324473,10.40242828,10.86627036,Significantly better than England average
18,E10000008,Devon CC,N/A,2011/12,n/a,n/a,8346,749900,11.12948393,10.89197695,11.37086477,Significantly better than England average
19,E10000009,Dorset CC,N/A,2011/12,n/a,n/a,3246,404800,8.018774704,7.745265596,8.299476105,Significantly better than England average
21,E10000011,East Sussex CC,N/A,2011/12,n/a,n/a,4963,515500,9.627546072,9.36153775,9.899195856,Significantly better than England average
22,E10000012,Essex CC,N/A,2011/12,n/a,n/a,16389,1413000,11.59872611,11.42182215,11.77768383,Significantly better than England average
23,E10000013,Gloucestershire CC,N/A,2011/12,n/a,n/a,5725,593500,9.646166807,9.397895569,9.899336479,Significantly better than England average
